,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Manuel Neuer,de GER,GK,25,33,33,2970,33.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8778c910
Thomas Müller,de GER,FWMF,21,34,33,2686,29.8,7,8,15,7,0,0,1,0,0.23,0.27,0.50,0.23,0.50,Matches,3c6089ab
Holger Badstuber,de GER,DF,22,33,32,2896,32.2,0,1,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,Matches,45b7edae
Philipp Lahm,de GER,DFMF,27,31,31,2749,30.5,0,2,2,0,0,0,3,0,0.00,0.07,0.07,0.00,0.07,Matches,de491a33
Mario Gómez,de GER,FW,26,33,30,2469,27.4,26,3,29,22,4,5,2,0,0.95,0.11,1.06,0.80,0.91,Matches,71a20ce8
Franck Ribéry,fr FRA,FWMF,28,32,27,2379,26.4,12,12,24,12,0,0,6,1,0.45,0.45,0.91,0.45,0.91,Matches,f61c7c4e
Toni Kroos,de GER,MF,21,31,27,2343,26.0,4,10,14,4,0,0,4,0,0.15,0.38,0.54,0.15,0.54,Matches,6ce1f46f
Jérôme Boateng,de GER,DF,22,27,26,2176,24.2,0,1,1,0,0,0,3,1,0.00,0.04,0.04,0.00,0.04,Matches,2db2fd7b
Rafinha,br BRA,DF,25,24,20,1779,19.8,0,1,1,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,Matches,d003e213
Bastian Schweinsteiger,de GER,DFMF,26,22,18,1726,19.2,3,3,6,3,0,0,2,0,0.16,0.16,0.31,0.16,0.31,Matches,ccc22fea
Arjen Robben,nl NED,FWMF,27,24,18,1704,18.9,12,5,17,7,5,6,1,0,0.63,0.26,0.90,0.37,0.63,Matches,09586899
Luiz Gustavo,br BRA,DFMF,24,28,18,1701,18.9,1,0,1,1,0,0,5,0,0.05,0.00,0.05,0.05,0.05,Matches,82671804
Anatoliy Tymoshchuk,ua UKR,DFMF,32,23,17,1559,17.3,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,48c971c4
David Alaba,at AUT,DFMF,19,30,14,1546,17.2,2,2,4,2,0,0,1,0,0.12,0.12,0.23,0.12,0.23,Matches,05439de2
Daniel Van Buyten,be BEL,DF,33,13,12,1050,11.7,4,0,4,4,0,0,1,0,0.34,0.00,0.34,0.34,0.34,Matches,18a7d190
Diego Contento,de GER,DF,21,11,5,496,5.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,15a21c79
Ivica Olić,hr CRO,FW,31,20,4,566,6.3,2,1,3,2,0,0,0,0,0.32,0.16,0.48,0.32,0.48,Matches,1bb54bef
Danijel Pranjić,hr CRO,DFMF,29,7,4,271,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,38929ff9
Nils Petersen,de GER,FW,22,9,2,218,2.4,2,0,2,2,0,0,0,0,0.83,0.00,0.83,0.83,0.83,Matches,f93e6e94
Takashi Usami,jp JPN,FWMF,19,3,2,167,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2bed2986
Hans-Jörg Butt,de GER,GK,37,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5c6a124a
Squad Total,,,25.4,34,374,3060,34.0,75,49,124,66,9,11,44,3,2.21,1.44,3.65,1.94,3.38,,-9999
Opponent Total,,,25.4,34,,3060,34.0,,,,,,,,,,,,,,,-9999
