,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Robert Lewandowski,pl POL,FW,22,34,34,2868,31.9,22,7,29,22,0,0,4,0,0.69,0.22,0.91,0.69,0.91,Matches,8d78e732
Mats Hummels,de GER,DF,22,33,33,2948,32.8,1,2,3,1,0,0,1,0,0.03,0.06,0.09,0.03,0.09,Matches,05d548d8
Roman Weidenfeller,de GER,GK,30,32,32,2880,32.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,16b8fabd
Łukasz Piszczek,pl POL,DFMF,26,32,32,2798,31.1,4,7,11,4,0,0,1,0,0.13,0.23,0.35,0.13,0.35,Matches,fe2db476
Shinji Kagawa,jp JPN,FWMF,22,31,29,2401,26.7,13,11,24,13,0,0,1,0,0.49,0.41,0.90,0.49,0.90,Matches,5afafbfe
Marcel Schmelzer,de GER,DF,23,28,28,2432,27.0,1,4,5,1,0,0,4,0,0.04,0.15,0.19,0.04,0.19,Matches,89565ac5
Kevin Großkreutz,de GER,DFFW,23,31,26,2333,25.9,7,5,12,7,0,0,1,0,0.27,0.19,0.46,0.27,0.46,Matches,fbeee546
Neven Subotić,rs SRB,DF,22,25,25,2205,24.5,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches,821233cc
Jakub Błaszczykowski,pl POL,MF,25,29,22,1966,21.8,6,8,14,5,1,1,0,0,0.27,0.37,0.64,0.23,0.60,Matches,2b350e6b
İlkay Gündoğan,de GER,MF,20,28,22,1905,21.2,3,3,6,3,0,0,2,0,0.14,0.14,0.28,0.14,0.28,Matches,819b3158
Sebastian Kehl,de GER,DFMF,31,27,21,1953,21.7,3,2,5,3,0,0,8,0,0.14,0.09,0.23,0.14,0.23,Matches,6167875f
Sven Bender,de GER,DFMF,22,24,21,1580,17.6,1,2,3,1,0,0,2,0,0.06,0.11,0.17,0.06,0.17,Matches,070ec0b1
Mario Götze,de GER,FWMF,19,17,14,1177,13.1,6,3,9,6,0,0,2,1,0.46,0.23,0.69,0.46,0.69,Matches,9efa1d25
Felipe Santana,br BRA,DF,25,13,10,947,10.5,1,0,1,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches,156527c0
Ivan Perišić,hr CRO,FWMF,22,28,8,974,10.8,7,2,9,7,0,0,3,1,0.65,0.18,0.83,0.65,0.83,Matches,6fe90922
Chris Löwe,de GER,DFMF,22,7,6,569,6.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c6896eab
Lucas Barrios,py PAR,FW,26,17,3,428,4.8,4,0,4,4,0,0,1,0,0.84,0.00,0.84,0.84,0.84,Matches,618feb69
Moritz Leitner,de GER,MF,18,17,2,480,5.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9460aaed
Patrick Owomoyela,de GER,DFMF,31,11,2,281,3.1,1,1,2,1,0,0,0,0,0.32,0.32,0.64,0.32,0.64,Matches,58825dc5
Antônio da Silva,br BRA,MF,33,5,2,241,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e87b31ae
Mitchell Langerak,au AUS,GK,22,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d2a184cc
Mohamed Zidan,eg EGY,FW,29,2,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,858ecfad
Florian Kringe,de GER,DFMF,28,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cbb4a154
Squad Total,,,24.4,34,374,3060,34.0,80,58,138,79,1,1,35,2,2.35,1.71,4.06,2.32,4.03,,-9999
Opponent Total,,,25.6,34,,3060,34.0,,,,,,,,,,,,,,,-9999
