,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Iker Casillas,es ESP,GK,21,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1ddbb0da
Roberto Carlos,br BRA,DF,29,37,37,3311,36.8,5,7,12,5,0,0,4,0,0.14,0.19,0.33,0.14,0.33,Matches,6a3aaf62
Míchel Salgado,es ESP,DF,26,35,35,3014,33.5,0,2,2,0,0,0,12,2,0.00,0.06,0.06,0.00,0.06,Matches,68f36bc6
Iván Helguera,es ESP,DFMF,27,33,33,2889,32.1,6,1,7,6,0,0,8,1,0.19,0.03,0.22,0.19,0.22,Matches,44151558
Luís Figo,pt POR,FWMF,29,33,33,2724,30.3,10,14,24,4,6,7,4,1,0.33,0.46,0.79,0.13,0.59,Matches,f20f347f
Zinédine Zidane,fr FRA,MF,30,33,32,2703,30.0,9,9,18,9,0,0,4,0,0.30,0.30,0.60,0.30,0.60,Matches,654f4e63
Raúl,es ESP,FW,25,31,30,2686,29.8,16,10,26,16,0,0,1,0,0.54,0.34,0.87,0.54,0.87,Matches,2b81295d
Claude Makélélé,fr FRA,MF,29,29,29,2515,27.9,0,1,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,Matches,c27d01de
Ronaldo,br BRA,FW,25,31,29,2422,26.9,23,4,27,23,0,1,1,0,0.85,0.15,1.00,0.85,1.00,Matches,57feb553
Fernando Hierro,es ESP,DFMF,34,25,25,2223,24.7,0,0,0,0,0,0,9,0,0.00,0.00,0.00,0.00,0.00,Matches,2f926dd0
Flávio Conceição,br BRA,MF,28,22,21,1679,18.7,1,0,1,1,0,0,3,0,0.05,0.00,0.05,0.05,0.05,Matches,8783b7ca
Guti,es ESP,FWMF,25,34,18,1793,19.9,4,5,9,4,0,0,6,0,0.20,0.25,0.45,0.20,0.45,Matches,dd0a0fa1
Esteban Cambiasso,ar ARG,MF,21,24,18,1460,16.2,0,2,2,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches,4d801075
Francisco Pavón,es ESP,DF,22,22,17,1577,17.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,a222a596
Santiago Solari,ar ARG,MF,25,28,6,780,8.7,0,1,1,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches,e34c6e97
Steve McManaman,eng ENG,MF,30,15,6,587,6.5,1,2,3,1,0,0,0,0,0.15,0.31,0.46,0.15,0.46,Matches,9be05f40
Óscar Miñambres,es ESP,DFMF,21,16,5,687,7.6,0,2,2,0,0,0,0,0,0.00,0.26,0.26,0.00,0.26,Matches,8e27322b
Fernando Morientes,es ESP,FW,26,18,2,445,4.9,5,1,6,5,0,0,0,0,1.01,0.20,1.21,1.01,1.21,Matches,bceebb25
Javier Portillo,es ESP,FW,20,10,1,205,2.3,5,0,5,5,0,0,0,0,2.20,0.00,2.20,2.20,2.20,Matches,99058498
Raúl Bravo,es ESP,DF,21,2,1,121,1.3,1,0,1,1,0,0,0,0,0.74,0.00,0.74,0.74,0.74,Matches,65b9e56b
Rubén,es ESP,DF,20,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d0c06281
Tote,es ESP,FWMF,23,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e3e74421
Albert Celades,es ESP,MF,26,3,0,63,0.7,0,1,1,0,0,0,1,0,0.00,1.43,1.43,0.00,1.43,Matches,61796b1f
Squad Total,,,26.9,38,418,3420,38.0,86,62,148,80,6,8,67,4,2.26,1.63,3.89,2.11,3.74,,-9999
Opponent Total,,,26.8,38,,3420,38.0,,,,,,,,,,,,,,,-9999
