,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Víctor Valdés,es ESP,GK,27,38,38,3420,38.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e029e404
Xavi,es ESP,MF,29,34,31,2797,31.1,3,13,16,3,0,0,4,0,0.10,0.42,0.51,0.10,0.51,Matches,c1b4188c
Carles Puyol,es ESP,DF,31,32,31,2712,30.1,1,1,2,1,0,0,7,0,0.03,0.03,0.07,0.03,0.07,Matches,7c0bda9b
Lionel Messi,ar ARG,FWMF,22,35,30,2805,31.2,34,9,43,33,1,1,3,0,1.09,0.29,1.38,1.06,1.35,Matches,d70ce98e
Gerard Piqué,es ESP,DF,22,32,29,2541,28.2,2,0,2,2,0,0,6,0,0.07,0.00,0.07,0.07,0.07,Matches,adfc9123
Dani Alves,br BRA,DFMF,26,29,28,2493,27.7,3,8,11,3,0,0,8,1,0.11,0.29,0.40,0.11,0.40,Matches,c9e99e49
Sergio Busquets,es ESP,MF,21,33,26,2324,25.8,0,1,1,0,0,0,9,1,0.00,0.04,0.04,0.00,0.04,Matches,5ab0ea87
Maxwell,br BRA,DF,27,25,25,2162,24.0,0,3,3,0,0,0,4,0,0.00,0.12,0.12,0.00,0.12,Matches,6f08cece
Seydou Keita,ml MLI,MF,29,29,23,2096,23.3,6,2,8,6,0,0,6,0,0.26,0.09,0.34,0.26,0.34,Matches,500c4e9b
Zlatan Ibrahimović,se SWE,FW,27,29,23,2040,22.7,16,6,22,14,2,2,5,1,0.71,0.26,0.97,0.62,0.88,Matches,4cde5509
Pedro,es ESP,FWMF,22,34,22,2087,23.2,12,2,14,12,0,0,2,0,0.52,0.09,0.60,0.52,0.60,Matches,3ca7254a
Andrés Iniesta,es ESP,MF,25,29,20,1905,21.2,1,3,4,1,0,0,2,0,0.05,0.14,0.19,0.05,0.19,Matches,cfd65a29
Yaya Touré,ci CIV,MF,26,23,18,1485,16.5,1,3,4,1,0,0,3,0,0.06,0.18,0.24,0.06,0.24,Matches,c204f844
Éric Abidal,fr FRA,DF,29,17,15,1410,15.7,0,2,2,0,0,0,3,0,0.00,0.13,0.13,0.00,0.13,Matches,016828bd
Thierry Henry,fr FRA,FW,31,21,15,1223,13.6,4,1,5,4,0,0,1,0,0.29,0.07,0.37,0.29,0.37,Matches,c0c5ee74
Bojan Krkić,es ESP,FWMF,18,23,11,1023,11.4,8,2,10,8,0,0,2,0,0.70,0.18,0.88,0.70,0.88,Matches,9fa0a0b8
Dmytro Chygrynskiy,ua UKR,DF,22,12,10,876,9.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b20f5a66
Gabriel Milito,ar ARG,DF,28,11,9,784,8.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,095009cc
Rafael Márquez,mx MEX,DFMF,30,15,7,771,8.6,1,0,1,1,0,0,2,1,0.12,0.00,0.12,0.12,0.12,Matches,ce067ffe
Jeffrén Suárez,ve VEN,FWMF,21,12,6,402,4.5,2,0,2,2,0,0,1,0,0.45,0.00,0.45,0.45,0.45,Matches,01e9c0a6
Jonathan dos Santos,mx MEX,MF,19,3,1,114,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,91872dec
Marc Bartra,es ESP,DF,18,1,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b742cc0d
Thiago Alcántara,es ESP,MF,18,1,0,15,0.2,1,0,1,1,0,0,0,0,6.00,0.00,6.00,6.00,6.00,Matches,77e84962
Andreu Fontàs,es ESP,DF,19,1,0,6,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0f138d5a
Squad Total,,,26.3,38,418,3420,38.0,95,56,151,92,3,3,78,5,2.50,1.47,3.97,2.42,3.89,,-9999
Opponent Total,,,26.4,38,,3420,38.0,,,,,,,,,,,,,,,-9999
