,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Iker Casillas,es ESP,GK,28,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1ddbb0da
Xabi Alonso,es ESP,MF,27,34,34,3010,33.4,3,3,6,2,1,1,11,0,0.09,0.09,0.18,0.06,0.15,Matches,dc001a06
Marcelo,br BRA,DFMF,21,35,34,2995,33.3,4,8,12,4,0,0,6,0,0.12,0.24,0.36,0.12,0.36,Matches,603116a7
Sergio Ramos,es ESP,DF,23,33,33,2901,32.2,4,2,6,4,0,0,12,1,0.12,0.06,0.19,0.12,0.19,Matches,08511d65
Raúl Albiol,es ESP,DF,23,33,32,2844,31.6,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,4bd414c1
Álvaro Arbeloa,es ESP,DF,26,30,30,2646,29.4,2,1,3,2,0,0,10,0,0.07,0.03,0.10,0.07,0.10,Matches,6dc73abd
Cristiano Ronaldo,pt POR,FWMF,24,29,28,2461,27.3,26,7,33,22,4,5,5,2,0.95,0.26,1.21,0.80,1.06,Matches,dea698d9
Gonzalo Higuaín,ar ARG,FWMF,21,32,28,2351,26.1,27,4,31,27,0,0,3,0,1.03,0.15,1.19,1.03,1.19,Matches,8a08491a
Esteban Granero,es ESP,MF,22,31,21,1860,20.7,3,4,7,3,0,0,2,0,0.15,0.19,0.34,0.15,0.34,Matches,1b17ed86
Kaká,br BRA,FWMF,27,25,21,1815,20.2,8,5,13,6,2,2,3,0,0.40,0.25,0.64,0.30,0.55,Matches,b2d6ea70
Ezequiel Garay,ar ARG,DF,22,20,19,1685,18.7,1,1,2,1,0,0,5,0,0.05,0.05,0.11,0.05,0.11,Matches,ac3fb1be
Lassana Diarra,fr FRA,MF,24,23,19,1672,18.6,1,0,1,1,0,0,10,1,0.05,0.00,0.05,0.05,0.05,Matches,79584585
Rafael van der Vaart,nl NED,MF,26,26,16,1198,13.3,6,6,12,6,0,0,1,0,0.45,0.45,0.90,0.45,0.90,Matches,41473b67
Karim Benzema,fr FRA,FW,21,27,14,1312,14.6,8,3,11,8,0,0,0,0,0.55,0.21,0.75,0.55,0.75,Matches,70d74ece
Fernando Gago,ar ARG,MF,23,18,14,1175,13.1,0,1,1,0,0,0,4,0,0.00,0.08,0.08,0.00,0.08,Matches,e86337bd
Guti,es ESP,FWMF,32,26,10,1273,14.1,2,6,8,2,0,0,5,0,0.14,0.42,0.57,0.14,0.57,Matches,dd0a0fa1
Pepe,pt POR,DFMF,26,10,10,853,9.5,1,0,1,1,0,0,1,0,0.11,0.00,0.11,0.11,0.11,Matches,c906ce0f
Raúl,es ESP,FW,32,30,8,1061,11.8,5,1,6,5,0,0,3,0,0.42,0.08,0.51,0.42,0.51,Matches,2b81295d
Mahamadou Diarra,ml MLI,MF,28,15,4,489,5.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,4a6c3ade
Royston Drenthe,nl NED,DFMF,22,8,3,282,3.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,3d512ff2
Christoph Metzelder,de GER,DF,28,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3f866377
Ruud van Nistelrooy,nl NED,FW,33,1,0,13,0.1,1,1,2,1,0,0,0,0,6.92,6.92,13.85,6.92,13.85,Matches,80a30989
Juanfran,es ESP,DFFW,20,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9ba48d64
Marcos Alonso,es ESP,DFMF,18,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f4290206
Pedro Mosquera,es ESP,MF,21,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c5fa58ea
Squad Total,,,25.1,38,418,3420,38.0,102,53,155,95,7,8,91,5,2.68,1.39,4.08,2.50,3.89,,-9999
Opponent Total,,,26.6,38,,3420,38.0,,,,,,,,,,,,,,,-9999
