,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Andrés Palop,es ESP,GK,35,33,33,2970,33.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,9ab4e785
Jesús Navas,es ESP,DFMF,23,34,32,2826,31.4,4,8,12,4,0,0,4,0,0.13,0.25,0.38,0.13,0.38,Matches,3f10bd22
Renato,br BRA,MF,30,33,30,2596,28.8,4,2,6,4,0,0,2,0,0.14,0.07,0.21,0.14,0.21,Matches,dc4d83fe
Fernando Navarro,es ESP,DF,27,29,26,2276,25.3,0,1,1,0,0,0,11,0,0.00,0.04,0.04,0.00,0.04,Matches,5a3f6fae
Didier Zokora,ci CIV,MF,28,26,25,2263,25.1,0,0,0,0,0,0,10,1,0.00,0.00,0.00,0.00,0.00,Matches,23921ca7
Álvaro Negredo,es ESP,FW,23,35,25,2029,22.5,11,4,15,9,2,2,0,2,0.49,0.18,0.67,0.40,0.58,Matches,63b0ca6b
Julien Escudé,fr FRA,DF,29,24,24,2147,23.9,0,2,2,0,0,0,6,0,0.00,0.08,0.08,0.00,0.08,Matches,6aa5bd41
Adriano,br BRA,DFMF,24,27,23,2079,23.1,0,4,4,0,0,0,6,0,0.00,0.17,0.17,0.00,0.17,Matches,9d8586c4
Diego Perotti,ar ARG,FWMF,21,28,22,1807,20.1,4,2,6,4,0,0,4,0,0.20,0.10,0.30,0.20,0.30,Matches,a40d5a0c
Ivica Dragutinović,rs SRB,DF,33,20,20,1794,19.9,2,0,2,2,0,0,7,0,0.10,0.00,0.10,0.10,0.10,Matches,7ab82833
Frédéric Kanouté,ml MLI,FW,31,27,20,1780,19.8,12,2,14,10,2,2,5,1,0.61,0.10,0.71,0.51,0.61,Matches,1a24d5b6
Luís Fabiano,br BRA,FW,28,23,18,1641,18.2,15,3,18,14,1,1,9,0,0.82,0.16,0.99,0.77,0.93,Matches,eaaeef7b
Abdoulay Konko,fr FRA,DFMF,25,18,17,1406,15.6,1,0,1,1,0,0,4,1,0.06,0.00,0.06,0.06,0.06,Matches,43857861
Diego Capel,es ESP,MF,21,29,14,1395,15.5,1,1,2,1,0,0,4,0,0.06,0.06,0.13,0.06,0.13,Matches,4933a2f2
Sébastien Squillaci,fr FRA,DF,28,16,14,1259,14.0,1,1,2,1,0,0,5,0,0.07,0.07,0.14,0.07,0.14,Matches,f7ec06db
Marius Stankevičius,lt LTU,DFMF,28,16,14,1244,13.8,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,7c3a4a58
Romaric,ci CIV,MF,26,19,10,862,9.6,1,0,1,1,0,0,4,1,0.10,0.00,0.10,0.10,0.10,Matches,9bb5c5e0
Federico Fazio,ar ARG,DF,22,10,10,821,9.1,1,0,1,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11,Matches,4e358a2d
Lolo,es ESP,DFMF,24,21,9,958,10.6,1,0,1,1,0,0,3,0,0.09,0.00,0.09,0.09,0.09,Matches,31c71140
Aldo Duscher,ar ARG,MF,30,10,7,619,6.9,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,44944ca7
Sergio Sánchez,es ESP,DF,23,7,6,560,6.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,83a83b0a
Cala,es ESP,DF,19,5,5,450,5.0,3,0,3,3,0,0,1,0,0.60,0.00,0.60,0.60,0.60,Matches,fe05804b
Javi Varas,es ESP,GK,26,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6db3da37
Arouna Koné,ci CIV,FW,25,12,3,368,4.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f9a72ca4
José Carlos,es ESP,FWMF,22,10,2,252,2.8,1,0,1,1,0,0,0,0,0.36,0.00,0.36,0.36,0.36,Matches,6738f3c6
Marc Valiente,es ESP,DF,22,3,2,176,2.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,fd333066
Lautaro Acosta,ar ARG,FWMF,21,6,1,199,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2a3af4d5
Antonio Luna,es ESP,DF,18,1,1,90,1.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches,ed239245
Enrique Carreño,es ESP,FW,22,1,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d5f7d1ea
Javier Chevantón,uy URU,FW,28,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5824ef34
Rodri,es ESP,FW,19,2,0,13,0.1,1,0,1,1,0,0,1,0,6.92,0.00,6.92,6.92,6.92,Matches,5200dce9
Squad Total,,,27.4,38,417,3420,38.0,63,30,93,58,5,5,107,10,1.66,0.79,2.45,1.53,2.32,,-9999
Opponent Total,,,26.5,38,,3420,38.0,,,,,,,,,,,,,,,-9999
