,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Éver Banega,ar ARG,MF,21,36,33,2806,31.2,2,6,8,2,0,0,11,0,0.06,0.19,0.26,0.06,0.26,Matches,fa937f7a
David Villa,es ESP,FWMF,27,32,31,2703,30.0,21,3,24,18,3,3,5,0,0.70,0.10,0.80,0.60,0.70,Matches,ade08a67
César Sánchez,es ESP,GK,37,30,30,2700,30.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,c6e6e5d6
Juan Mata,es ESP,FWMF,21,35,30,2570,28.6,9,4,13,9,0,0,1,0,0.32,0.14,0.46,0.32,0.46,Matches,29733c72
David Silva,es ESP,FWMF,23,30,28,2409,26.8,8,6,14,8,0,0,6,0,0.30,0.22,0.52,0.30,0.52,Matches,e2716bd0
Pablo Hernández,es ESP,FWMF,24,33,25,2181,24.2,5,4,9,5,0,0,1,0,0.21,0.17,0.37,0.21,0.37,Matches,c0398aca
Bruno,es ESP,DF,28,26,25,2136,23.7,0,0,0,0,0,0,10,0,0.00,0.00,0.00,0.00,0.00,Matches,78803d03
David Albelda,es ESP,DFMF,31,28,22,2037,22.6,1,1,2,1,0,0,12,0,0.04,0.04,0.09,0.04,0.09,Matches,def14f68
Ángel Dealbert,es ESP,DF,26,24,22,1989,22.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,8242a7ad
Alexis,es ESP,DF,23,24,21,1912,21.2,1,0,1,1,0,0,9,1,0.05,0.00,0.05,0.05,0.05,Matches,db0cd1ae
Miguel Monteiro,pt POR,DF,29,25,20,1756,19.5,0,1,1,0,0,0,4,1,0.00,0.05,0.05,0.00,0.05,Matches,930ef69d
David Navarro,es ESP,DF,29,19,19,1610,17.9,2,0,2,2,0,0,7,0,0.11,0.00,0.11,0.11,0.11,Matches,5dbdb37b
Joaquín,es ESP,FWMF,28,28,17,1620,18.0,2,2,4,2,0,0,2,0,0.11,0.11,0.22,0.11,0.22,Matches,4c5b14d2
Carlos Marchena,es ESP,DFMF,30,24,17,1492,16.6,2,0,2,2,0,0,6,1,0.12,0.00,0.12,0.12,0.12,Matches,48ddb821
Jérémy Mathieu,fr FRA,DF,25,17,14,1227,13.6,1,0,1,1,0,0,2,0,0.07,0.00,0.07,0.07,0.07,Matches,5b887c7a
Hedwiges Maduro,nl NED,DFMF,24,18,12,1131,12.6,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches,5918cc84
Jordi Alba,es ESP,DFMF,20,15,12,1123,12.5,1,0,1,1,0,0,3,0,0.08,0.00,0.08,0.08,0.08,Matches,4601e194
Manuel Fernandes,pt POR,MF,23,15,8,799,8.9,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,13ac19de
Miguel Ángel Moyá,es ESP,GK,25,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,011d8c56
Rubén Baraja,es ESP,MF,34,18,7,779,8.7,0,1,1,0,0,0,3,0,0.00,0.12,0.12,0.00,0.12,Matches,31a8e5c3
Nikola Žigić,rs SRB,FW,28,13,5,561,6.2,4,1,5,4,0,0,9,1,0.64,0.16,0.80,0.64,0.80,Matches,aad584e0
Vicente Rodríguez,es ESP,FWMF,28,11,5,501,5.6,0,1,1,0,0,0,1,0,0.00,0.18,0.18,0.00,0.18,Matches,73b8c719
Chori Domínguez,ar ARG,FWMF,28,13,4,459,5.1,0,2,2,0,0,0,2,0,0.00,0.39,0.39,0.00,0.39,Matches,bbb66f34
Joel Johnson,lr LBR,DFMF,16,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,29a972e4
Miku,ve VEN,FWMF,23,2,1,70,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4eba9598
Lillo,es ESP,DF,20,1,1,45,0.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,476ca810
Míchel,es ESP,MF,21,3,0,32,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,418f8f61
Squad Total,,,26.9,38,418,3420,38.0,59,32,91,56,3,3,116,8,1.55,0.84,2.39,1.47,2.32,,-9999
Opponent Total,,,26.7,38,,3420,38.0,,,,,,,,,,,,,,,-9999
