,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Bobby Mimms,eng ENG,GK,28,42,42,3780,42.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cf942807
Colin Hendry,sct SCO,DF,26,41,41,3690,41.0,1,2,3,1,0,0,6,0,0.02,0.05,0.07,0.02,0.07,Matches,9acd6d0d
Mike Newell,eng ENG,FW,27,40,40,3526,39.2,13,5,18,13,0,1,2,1,0.33,0.13,0.46,0.33,0.46,Matches,a54bad44
Tim Sherwood,eng ENG,MF,23,39,38,3370,37.4,3,5,8,3,0,0,4,1,0.08,0.13,0.21,0.08,0.21,Matches,885f0b51
Stuart Ripley,eng ENG,FWMF,24,40,38,3307,36.7,7,6,13,7,0,0,1,0,0.19,0.16,0.35,0.19,0.35,Matches,6516188c
Kevin Moran,ie IRL,DF,36,36,36,3210,35.7,4,0,4,4,0,0,4,0,0.11,0.00,0.11,0.11,0.11,Matches,98539753
David May,eng ENG,DF,22,34,34,3039,33.8,1,3,4,1,0,0,6,0,0.03,0.09,0.12,0.03,0.12,Matches,1c719a79
Jason Wilcox,eng ENG,FWMF,21,33,31,2745,30.5,4,10,14,4,0,0,2,0,0.13,0.33,0.46,0.13,0.46,Matches,6b9fa9ad
Alan Wright,eng ENG,DF,20,25,25,2123,23.6,0,1,1,0,0,0,0,0,0.00,0.04,0.04,0.00,0.04,Matches,df6cf3fe
Mark Atkins,eng ENG,DFMF,23,31,24,2332,25.9,5,3,8,5,0,0,1,0,0.19,0.12,0.31,0.19,0.31,Matches,e4c3d857
Gordon Cowans,eng ENG,MF,33,24,23,2124,23.6,1,4,5,1,0,0,1,0,0.04,0.17,0.21,0.04,0.21,Matches,85478ea1
Alan Shearer,eng ENG,FW,21,21,21,1830,20.3,16,4,20,13,3,3,3,0,0.79,0.20,0.98,0.64,0.84,Matches,438b3a51
Tony Dobson,eng ENG,DF,23,18,14,1244,13.8,0,1,1,0,0,0,2,1,0.00,0.07,0.07,0.00,0.07,Matches,bccd4c3e
Roy Wegerle,us USA,FWMF,28,22,11,1189,13.2,4,0,4,4,0,0,2,0,0.30,0.00,0.30,0.30,0.30,Matches,9dccac09
Nicky Marker,eng ENG,DF,27,14,11,914,10.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,e667189c
Kevin Gallacher,sct SCO,FWMF,25,9,9,810,9.0,5,5,10,5,0,0,1,0,0.56,0.56,1.11,0.56,1.11,Matches,dc257810
Graeme Le Saux,eng ENG,DF,23,9,9,810,9.0,0,2,2,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22,Matches,0bd42c09
Patrik Andersson,se SWE,DF,20,11,6,455,5.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,95749f23
Henning Berg,no NOR,DF,22,4,2,213,2.4,0,1,1,0,0,0,0,0,0.00,0.42,0.42,0.00,0.42,Matches,ad77f84e
Chris Price,eng ENG,DF,32,6,2,212,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,07f153bc
Richard Brown,eng ENG,DF,25,2,2,174,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,15649dba
Lee Makel,eng ENG,MF,19,2,2,170,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,317b6dd3
Steve Livingstone,eng ENG,FW,22,2,1,106,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9d1188a1
Keith Hill,eng ENG,DF,23,2,0,12,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b9100d1e
Simon Ireland,eng ENG,MF,20,1,0,10,0.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6764c6a0
Squad Total,,,26.0,42,480,3780,42.0,66,52,118,63,3,4,37,3,1.57,1.24,2.81,1.50,2.74,,-9999
Opponent Total,,,26.6,42,,3780,42.0,,,,,,,,,,,,,,,-9999
