,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Nigel Martyn,eng ENG,GK,25,42,42,3780,42.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,8977904e
Eddie McGoldrick,ie IRL,DFFW,27,42,42,3765,41.8,8,4,12,8,0,0,4,0,0.19,0.10,0.29,0.19,0.29,Matches,a85fecd3
Eric Young,wls WAL,DF,32,38,38,3085,34.3,6,0,6,6,0,0,7,0,0.18,0.00,0.18,0.18,0.18,Matches,81777ab3
Chris Armstrong,eng ENG,FW,21,35,35,3104,34.5,15,2,17,15,0,1,3,1,0.43,0.06,0.49,0.43,0.49,Matches,effa559a
Andy Thorn,eng ENG,DF,25,34,34,2948,32.8,1,2,3,1,0,0,6,1,0.03,0.06,0.09,0.03,0.09,Matches,5da80251
Gareth Southgate,eng ENG,DF,21,33,33,2953,32.8,3,4,7,3,0,0,1,0,0.09,0.12,0.21,0.09,0.21,Matches,a29c3ed6
Richard Shaw,eng ENG,DF,23,33,32,2848,31.6,0,1,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Matches,88b5bd84
Chris Coleman,wls WAL,DF,22,38,31,2777,30.9,5,4,9,5,0,0,1,0,0.16,0.13,0.29,0.16,0.29,Matches,811de5ec
Geoff Thomas,eng ENG,MF,27,29,28,2577,28.6,2,2,4,2,0,0,3,0,0.07,0.07,0.14,0.07,0.14,Matches,6e7dda12
John Humphrey,eng ENG,DF,31,32,28,2542,28.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fd4b4bf4
Simon Osborn,eng ENG,MF,20,31,27,2477,27.5,2,1,3,2,0,0,0,0,0.07,0.04,0.11,0.07,0.11,Matches,f8c8fb04
Simon Rodger,eng ENG,MF,20,23,22,1965,21.8,2,2,4,2,0,0,0,0,0.09,0.09,0.18,0.09,0.18,Matches,673eb256
Lee Sinnott,eng ENG,DF,27,19,18,1633,18.1,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,b8ad14aa
Paul Williams,eng ENG,FW,26,18,15,1333,14.8,0,2,2,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches,1c904a24
John Salako,eng ENG,MF,23,13,12,1021,11.3,0,6,6,0,0,0,0,0,0.00,0.53,0.53,0.00,0.53,Matches,2749f5b7
Dean Gordon,eng ENG,DFMF,19,10,6,670,7.4,0,1,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches,6405b4da
Bobby Bowry,kn SKN,FWMF,21,11,6,412,4.6,1,2,3,1,0,0,0,0,0.22,0.44,0.66,0.22,0.66,Matches,d242b1cd
Mark Bright,eng ENG,FW,30,5,5,450,5.0,1,0,1,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches,681a0456
George Ndah,eng ENG,FW,17,13,4,464,5.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8439f41c
Grant Watts,eng ENG,FW,18,4,2,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,95bacaa1
Ricky Newman,eng ENG,MF,21,2,1,112,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9e407813
Paul Mortimer,eng ENG,MF,24,1,1,68,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f9df85b2
Stan Collymore,eng ENG,FW,21,2,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eed4ff30
Stuart Massey,eng ENG,MF,27,1,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,db4eec2e
Squad Total,,,25.2,42,457,3780,42.0,45,30,75,45,0,1,31,3,1.07,0.71,1.79,1.07,1.79,,-9999
Opponent Total,,,26.4,42,,3780,42.0,,,,,,,,,,,,,,,-9999
