,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Mark Bowen,wls WAL,DF,28,42,42,3780,42.0,1,2,3,0,1,1,0,0,0.02,0.05,0.07,0.00,0.05,Matches,ee6208fa
Bryan Gunn,sct SCO,GK,28,42,42,3780,42.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bacfce7a
David Phillips,wls WAL,DFMF,29,42,42,3715,41.3,9,6,15,7,2,3,0,0,0.22,0.15,0.36,0.17,0.31,Matches,28f79f34
Ian Culverhouse,eng ENG,DF,27,41,41,3685,40.9,0,2,2,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matches,dc97e307
John Polston,eng ENG,DF,24,34,34,2999,33.3,1,0,1,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,Matches,d0823126
Mark Robins,eng ENG,FW,22,37,34,2964,32.9,15,6,21,15,0,0,1,0,0.46,0.18,0.64,0.46,0.64,Matches,d3d59d26
Chris Sutton,eng ENG,DFFW,19,38,32,2969,33.0,8,1,9,8,0,0,5,0,0.24,0.03,0.27,0.24,0.27,Matches,83c38e36
Ruel Fox,ms MSR,MF,24,34,32,2884,32.0,4,8,12,4,0,0,0,0,0.12,0.25,0.37,0.12,0.37,Matches,ec357eb1
Ian Crook,eng ENG,MF,29,34,32,2745,30.5,3,5,8,3,0,0,0,0,0.10,0.16,0.26,0.10,0.26,Matches,8d96b719
Ian Butterworth,eng ENG,DF,28,26,26,2340,26.0,1,0,1,1,0,0,0,0,0.04,0.00,0.04,0.04,0.04,Matches,e318bc09
Jeremy Goss,wls WAL,MF,27,25,25,2140,23.8,1,6,7,1,0,0,5,0,0.04,0.25,0.29,0.04,0.29,Matches,bd9739a7
Gary Megson,eng ENG,MF,33,23,20,1744,19.4,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches,8d21ed00
Rob Newman,eng ENG,DF,28,18,16,1473,16.4,2,3,5,2,0,0,2,0,0.12,0.18,0.31,0.12,0.31,Matches,f516029b
Daryl Sutch,eng ENG,DF,20,22,14,1344,14.9,2,3,5,2,0,0,0,0,0.13,0.20,0.33,0.13,0.33,Matches,783174b8
Lee Power,ie IRL,FW,20,18,11,1102,12.2,6,1,7,6,0,0,1,0,0.49,0.08,0.57,0.49,0.57,Matches,937a026a
Darren Beckford,eng ENG,FW,25,8,7,546,6.1,1,0,1,1,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches,7fc3f860
Colin Woodthorpe,eng ENG,DF,23,7,5,434,4.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,15d5ad57
David Smith,eng ENG,MF,21,6,5,433,4.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7a1f48eb
Efan Ekoku,ng NGA,FW,25,4,1,190,2.1,3,0,3,3,0,0,0,0,1.42,0.00,1.42,1.42,1.42,Matches,d0d589ec
Andy Johnson,wls WAL,MF,18,2,1,92,1.0,1,0,1,1,0,0,0,0,0.98,0.00,0.98,0.98,0.98,Matches,8333a39e
Jason Minett,,DF,20,1,0,15,0.2,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,669a5fc1
Squad Total,,,26.4,42,455,3780,42.0,58,43,101,55,3,4,22,0,1.38,1.02,2.40,1.31,2.33,,-9999
Opponent Total,,,26.6,42,,3780,42.0,,,,,,,,,,,,,,,-9999
