,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Nigel Clough,eng ENG,FWMF,26,42,42,3780,42.0,10,2,12,7,3,4,2,0,0.24,0.05,0.29,0.17,0.21,Matches,3cd439de
Roy Keane,ie IRL,MF,20,40,40,3539,39.3,6,2,8,6,0,0,7,0,0.15,0.05,0.20,0.15,0.20,Matches,8f218498
Mark Crossley,wls WAL,GK,23,37,37,3330,37.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,51a772b8
Carl Tiler,eng ENG,DF,22,37,37,3330,37.0,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,319d0cea
Scot Gemmill,sct SCO,MF,21,33,33,2960,32.9,1,5,6,1,0,0,1,0,0.03,0.15,0.18,0.03,0.18,Matches,27e0c651
Brian Laws,eng ENG,DF,30,33,32,2944,32.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,7e1aa183
Steve Chettle,eng ENG,DF,23,30,30,2700,30.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9a59ff12
Gary Bannister,eng ENG,FW,32,31,27,2531,28.1,8,2,10,8,0,0,1,0,0.28,0.07,0.36,0.28,0.36,Matches,5940c7e2
Ian Woan,eng ENG,MF,24,28,27,2361,26.2,3,9,12,3,0,0,2,0,0.11,0.34,0.46,0.11,0.46,Matches,c70172f3
Stuart Pearce,eng ENG,DF,30,23,23,2070,23.0,2,2,4,1,1,1,1,0,0.09,0.09,0.17,0.04,0.13,Matches,39243ce6
Gary Crosby,,MF,28,23,20,1422,15.8,1,0,1,1,0,0,0,0,0.06,0.00,0.06,0.06,0.06,Matches,b53402ca
Kingsley Black,nir NIR,MF,24,24,19,1887,21.0,5,2,7,5,0,0,0,0,0.24,0.10,0.33,0.24,0.33,Matches,6a82444b
Þorvaldur Örlygsson,is ISL,MF,25,20,15,1428,15.9,1,0,1,1,0,0,0,0,0.06,0.00,0.06,0.06,0.06,Matches,5864c0ad
Gary Charles,eng ENG,DF,22,14,14,1254,13.9,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,c20cb242
Steve Stone,eng ENG,MF,20,12,11,936,10.4,1,0,1,1,0,0,2,0,0.10,0.00,0.10,0.10,0.10,Matches,4592c48e
Robert Rosario,eng ENG,FW,26,10,10,834,9.3,1,1,2,,,,0,0,0.11,0.11,0.22,,,Matches,0d4641b8
Lee Glover,sct SCO,FW,22,14,9,942,10.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7780de33
Neil Webb,eng ENG,DFMF,29,9,9,804,8.9,0,2,2,0,0,0,0,0,0.00,0.22,0.22,0.00,0.22,Matches,602d0a35
Brett Williams,eng ENG,DF,24,6,5,503,5.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,05d60168
Andy Marriott,wls WAL,GK,21,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dff6c9f3
Terry Wilson,sct SCO,DF,23,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c826601e
Ray McKinnon,sct SCO,MF,21,6,5,446,5.0,1,0,1,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches,d31b62d6
Teddy Sheringham,eng ENG,FW,26,3,3,243,2.7,1,0,1,,,,0,0,0.37,0.00,0.37,,,Matches,4e56eef6
Squad Total,,,25.1,42,458,3780,42.0,41,30,71,37,4,5,30,1,0.98,0.71,1.69,0.88,1.60,,-9999
Opponent Total,,,26.3,42,,3780,42.0,,,,,,,,,,,,,,,-9999
