,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Mike Milligan,ie IRL,MF,25,42,42,3728,41.4,3,1,4,3,0,0,3,0,0.07,0.02,0.10,0.07,0.10,Matches,2261208b
Gunnar Halle,no NOR,DF,26,41,41,3644,40.5,5,7,12,5,0,0,2,0,0.12,0.17,0.30,0.12,0.30,Matches,5c1170da
Richard Jobson,eng ENG,DF,29,40,40,3600,40.0,2,5,7,2,0,0,7,0,0.05,0.12,0.17,0.05,0.17,Matches,dfdb7d16
Neil Pointon,eng ENG,DF,27,34,34,3015,33.5,3,1,4,3,0,0,5,0,0.09,0.03,0.12,0.09,0.12,Matches,54836dbe
Paul Bernard,sct SCO,MF,19,33,32,2904,32.3,4,2,6,4,0,0,0,0,0.12,0.06,0.19,0.12,0.19,Matches,6262985f
Ian Olney,eng ENG,FW,22,34,32,2866,31.8,12,3,15,12,0,0,2,0,0.38,0.09,0.47,0.38,0.47,Matches,7b18357f
Nick Henry,eng ENG,MF,23,32,32,2748,30.5,6,5,11,6,0,0,3,0,0.20,0.16,0.36,0.20,0.36,Matches,7c8e02a1
Steve Redmond,eng ENG,DF,24,31,28,2644,29.4,0,3,3,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches,f2be6fcd
Neil Adams,eng ENG,MF,26,32,26,2477,27.5,9,2,11,8,1,2,2,0,0.33,0.07,0.40,0.29,0.36,Matches,3ffdc43f
Ian Marshall,eng ENG,DFFW,26,27,26,2259,25.1,2,4,6,2,0,0,4,0,0.08,0.16,0.24,0.08,0.24,Matches,859cc903
Paul Gerrard,eng ENG,GK,19,25,25,2250,25.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fb9646e3
Craig Fleming,eng ENG,DF,20,24,23,2115,23.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,14cfdd19
Graeme Sharp,sct SCO,FW,31,21,20,1854,20.6,7,5,12,7,0,0,0,0,0.34,0.24,0.58,0.34,0.58,Matches,9c8e711c
Jon Hallworth,eng ENG,GK,26,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e0c9dc73
Mark Brennan,eng ENG,MF,27,14,14,1245,13.8,3,4,7,3,0,0,1,0,0.22,0.29,0.51,0.22,0.51,Matches,e0dd384f
Andy Ritchie,eng ENG,MF,31,12,10,788,8.8,3,3,6,3,0,0,1,0,0.34,0.34,0.69,0.34,0.69,Matches,36580ede
Darren Beckford,eng ENG,FW,25,7,6,545,6.1,3,1,4,3,0,0,1,0,0.50,0.17,0.66,0.50,0.66,Matches,7fc3f860
Andy Barlow,eng ENG,DF,26,6,6,499,5.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,58c76810
Roger Palmer,eng ENG,FW,33,17,5,588,6.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bdc4a56a
Neil McDonald,eng ENG,DFMF,26,4,2,253,2.8,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ebb357f9
Paul Moulden,eng ENG,FW,24,4,1,187,2.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,01d1332c
John Keeley,eng ENG,GK,31,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b443d2d5
Neil Tolson,eng ENG,FW,18,3,0,57,0.6,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d2f7d4da
Orpheo Keizerweerd,nl NED,FW,23,1,0,45,0.5,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e75e2c27
Squad Total,,,25.5,42,466,3780,42.0,61,42,103,60,1,2,38,0,1.45,1.00,2.45,1.43,2.43,,-9999
Opponent Total,,,26.2,42,,3780,42.0,,,,,,,,,,,,,,,-9999
