,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Clive Wilson,eng ENG,DF,30,41,41,3571,39.7,3,5,8,1,2,2,0,0,0.08,0.13,0.20,0.03,0.15,Matches,de2ad53e
David Bardsley,eng ENG,DF,27,40,40,3600,40.0,3,7,10,3,0,0,3,0,0.07,0.17,0.25,0.07,0.25,Matches,e2cfaafb
Andy Impey,eng ENG,DFMF,20,40,39,3547,39.4,2,2,4,2,0,0,1,0,0.05,0.05,0.10,0.05,0.10,Matches,67cbd956
Alan McDonald,nir NIR,DF,28,39,39,3446,38.3,0,4,4,0,0,0,6,0,0.00,0.10,0.10,0.00,0.10,Matches,ae5144ed
Les Ferdinand,eng ENG,FW,25,37,37,3177,35.3,20,5,25,20,0,0,7,0,0.57,0.14,0.71,0.57,0.71,Matches,aad47f5a
Andy Sinton,eng ENG,MF,26,36,36,3083,34.3,7,9,16,6,1,2,2,0,0.20,0.26,0.47,0.18,0.44,Matches,d74cafe4
Darren Peacock,eng ENG,DF,24,38,35,3232,35.9,2,0,2,2,0,0,6,0,0.06,0.00,0.06,0.06,0.06,Matches,957c8f17
Tony Roberts,wls WAL,GK,22,28,28,2447,27.2,0,1,1,0,0,0,0,0,0.00,0.04,0.04,0.00,0.04,Matches,ba8f0ea1
Ray Wilkins,eng ENG,MF,35,27,27,2430,27.0,2,4,6,2,0,0,2,0,0.07,0.15,0.22,0.07,0.22,Matches,05f2d7e3
Ian Holloway,eng ENG,MF,29,24,23,2071,23.0,2,1,3,2,0,0,2,0,0.09,0.04,0.13,0.09,0.13,Matches,8c116e30
Bradley Allen,eng ENG,FW,20,25,21,2044,22.7,10,4,14,10,0,0,0,0,0.44,0.18,0.62,0.44,0.62,Matches,49a6d30d
Simon Barker,eng ENG,MF,27,25,21,1884,20.9,1,1,2,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,Matches,e76255e1
Jan Stejskal,cz CZE,GK,30,15,14,1288,14.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4f796947
Rufus Brevett,eng ENG,DF,22,15,14,1263,14.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e7ebaace
Dennis Bailey,eng ENG,FW,26,15,13,1145,12.7,1,1,2,1,0,0,0,0,0.08,0.08,0.16,0.08,0.16,Matches,bedff268
Gary Penrice,eng ENG,FWMF,28,15,10,1014,11.3,6,0,6,6,0,0,1,0,0.53,0.00,0.53,0.53,0.53,Matches,19821c3d
Danny Maddix,jm JAM,DF,24,14,9,1012,11.2,0,1,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches,6b4bd218
Maurice Doyle,eng ENG,MF,22,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1b9e260d
Devon White,eng ENG,FW,28,7,3,312,3.5,2,0,2,2,0,0,1,0,0.58,0.00,0.58,0.58,0.58,Matches,5db8501e
Michael Meaker,wls WAL,MF,20,3,3,270,3.0,0,1,1,0,0,,1,0,0.00,0.33,0.33,0.00,0.33,Matches,0d0db805
Karl Ready,wls WAL,DF,19,3,2,185,2.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3df79848
Justin Channing,,DFMF,23,2,2,178,2.0,1,0,1,1,0,,1,0,0.51,0.00,0.51,0.51,0.51,Matches,a40d7602
Garry Thompson,eng ENG,FW,32,4,0,87,1.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6ae2c340
Squad Total,,,26.7,42,455,3780,42.0,61,45,106,58,3,4,37,0,1.45,1.07,2.52,1.38,2.45,,-9999
Opponent Total,,,26.3,42,,3780,42.0,,,,,,,,,,,,,,,-9999
