,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Brian Deane,eng ENG,FW,24,41,41,3674,40.8,15,10,25,14,1,2,6,0,0.37,0.24,0.61,0.34,0.59,Matches,909a4bb4
Paul Beesley,eng ENG,DF,27,39,39,3453,38.4,2,1,3,2,0,0,4,0,0.05,0.03,0.08,0.05,0.08,Matches,526b869a
Alan Kelly Jr.,ie IRL,GK,23,33,32,2944,32.7,0,1,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,Matches,fc4c6bb9
Brian Gayle,eng ENG,DF,27,31,31,2544,28.3,2,3,5,2,0,0,4,0,0.07,0.11,0.18,0.07,0.18,Matches,861b6aef
Glyn Hodges,wls WAL,MF,29,31,28,2414,26.8,4,7,11,4,0,0,3,1,0.15,0.26,0.41,0.15,0.41,Matches,b1f3b623
Kevin Gage,eng ENG,MF,28,27,27,2341,26.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,d9c359b5
Paul Rogers,eng ENG,MF,27,27,26,2376,26.4,3,1,4,3,0,0,2,0,0.11,0.04,0.15,0.11,0.15,Matches,3191f5c4
John Gannon,eng ENG,MF,25,27,26,2215,24.6,1,2,3,1,0,0,3,0,0.04,0.08,0.12,0.04,0.12,Matches,a9647537
Carl Bradshaw,eng ENG,DF,23,32,24,2249,25.0,1,2,3,1,0,0,7,1,0.04,0.08,0.12,0.04,0.12,Matches,552c893a
Mitch Ward,eng ENG,MF,21,26,22,2002,22.2,0,1,1,0,0,0,3,0,0.00,0.04,0.04,0.00,0.04,Matches,4e9e8915
Tom Cowan,sct SCO,DF,22,21,21,1820,20.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,26a2b2eb
John Pemberton,eng ENG,DF,27,19,19,1710,19.0,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,b89cfe47
Adrian Littlejohn,eng ENG,FWMF,21,27,18,1782,19.8,8,2,10,8,0,0,4,0,0.40,0.10,0.51,0.40,0.51,Matches,fc10e469
Jamie Hoyland,eng ENG,MF,26,22,15,1345,14.9,2,2,4,2,0,0,0,0,0.13,0.13,0.27,0.13,0.27,Matches,335bdb87
Dane Whitehouse,eng ENG,MF,21,14,14,1255,13.9,5,2,7,5,0,0,1,0,0.36,0.14,0.50,0.36,0.50,Matches,a79bcbf8
David Barnes,eng ENG,DF,30,13,13,1170,13.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,7d42b1d6
Charlie Hartfield,eng ENG,MF,20,17,12,976,10.8,0,1,1,0,0,,3,0,0.00,0.09,0.09,0.00,0.09,Matches,b5aff393
Alan Cork,eng ENG,FW,33,27,11,989,11.0,2,0,2,2,0,0,0,0,0.18,0.00,0.18,0.18,0.18,Matches,0db374cb
Simon Tracey,eng ENG,GK,24,10,10,876,9.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,7950228f
Ian Bryson,sct SCO,MF,29,16,9,944,10.5,3,0,3,3,0,0,0,0,0.29,0.00,0.29,0.29,0.29,Matches,85ad80b9
Franz Carr,eng ENG,FWMF,25,8,8,704,7.8,3,1,4,3,0,0,0,0,0.38,0.13,0.51,0.38,0.51,Matches,bf5f4723
Chris Kamara,eng ENG,MF,34,8,6,533,5.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,e61d2fb4
Mike Lake,eng ENG,MF,25,6,6,522,5.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,503ddfa8
Alan McLeary,eng ENG,DF,27,3,3,227,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dd18fff7
Andy Scott,eng ENG,FW,19,2,1,92,1.0,1,0,1,1,0,,0,0,0.98,0.00,0.98,0.98,0.98,Matches,5690e16b
Squad Total,,,25.9,42,440,3780,42.0,50,36,86,49,1,2,55,4,1.19,0.86,2.05,1.17,2.02,,-9999
Opponent Total,,,26.3,42,,3780,42.0,,,,,,,,,,,,,,,-9999
