,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Robbie Earle,jm JAM,MF,27,42,42,3769,41.9,7,5,12,7,0,0,5,0,0.17,0.12,0.29,0.17,0.29,Matches,3a757429
Hans Segers,nl NED,GK,30,41,41,3690,41.0,0,1,1,0,0,0,0,0,0.00,0.02,0.02,0.00,0.02,Matches,3c3c4afb
Dean Holdsworth,eng ENG,FW,23,36,34,2998,33.3,19,1,20,19,0,0,2,0,0.57,0.03,0.60,0.57,0.60,Matches,fdb64aeb
John Scales,eng ENG,DF,26,32,32,2837,31.5,1,2,3,1,0,0,2,0,0.03,0.06,0.10,0.03,0.10,Matches,1c67bd76
Roger Joseph,eng ENG,DF,26,32,31,2774,30.8,0,1,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,Matches,824d75c1
John Fashanu,eng ENG,FW,29,29,27,2384,26.5,6,2,8,5,1,1,3,1,0.23,0.08,0.30,0.19,0.26,Matches,e9430452
Vinnie Jones,wls WAL,MF,27,27,27,2316,25.7,1,1,2,0,1,2,8,1,0.04,0.04,0.08,0.00,0.04,Matches,eec5fbba
Brian McAllister,sct SCO,DF,21,27,26,2272,25.2,0,1,1,0,0,0,9,2,0.00,0.04,0.04,0.00,0.04,Matches,e43b1ade
Neal Ardley,eng ENG,MF,19,26,24,2103,23.4,4,7,11,4,0,0,1,0,0.17,0.30,0.47,0.17,0.47,Matches,124a61d8
Lawrie Sanchez,nir NIR,MF,32,27,23,2144,23.8,4,3,7,4,0,0,8,0,0.17,0.13,0.29,0.17,0.29,Matches,2fd8fd97
Andy Clarke,eng ENG,FW,25,33,23,2088,23.2,5,2,7,5,0,0,1,0,0.22,0.09,0.30,0.22,0.30,Matches,c8479463
Warren Barton,eng ENG,DF,23,23,23,2070,23.0,2,0,2,2,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches,7e732709
Dean Blackwell,eng ENG,DF,22,24,19,1787,19.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9ed3d8ed
Scott Fitzgerald,ie IRL,DF,22,20,18,1604,17.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f5416c14
Gary Elkins,eng ENG,DF,26,18,17,1322,14.7,0,1,1,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches,10a1ca0f
Gerald Dobbs,eng ENG,MF,21,19,16,1412,15.7,1,2,3,1,0,0,3,1,0.06,0.13,0.19,0.06,0.19,Matches,6001e18f
Paul Miller,eng ENG,MF,24,19,11,1040,11.6,1,2,3,1,0,0,1,0,0.09,0.17,0.26,0.09,0.26,Matches,2b4e0ea0
Terry Gibson,eng ENG,FW,29,8,6,612,6.8,1,1,2,1,0,0,1,0,0.15,0.15,0.29,0.15,0.29,Matches,bf1940b9
Steve Anthrobus,eng ENG,FW,23,5,4,401,4.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c3e7232b
Alan McLeary,eng ENG,DF,27,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dd18fff7
Steve Cotterill,eng ENG,FW,28,7,4,344,3.8,3,1,4,3,0,0,0,0,0.78,0.26,1.05,0.78,1.05,Matches,3fd373f2
Steve Talboys,eng ENG,MF,25,7,3,312,3.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,db8d0ce4
Peter Fear,eng ENG,MF,18,4,2,259,2.9,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,584ebbeb
Greg Berry,eng ENG,MF,21,3,2,158,1.8,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ac7a1b3b
Justin Skinner,eng ENG,DF,19,1,1,90,1.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ef9234b4
Neil Sullivan,sct SCO,GK,22,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2ea16583
Paul McGee,ie IRL,MF,24,3,1,86,1.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cc456a15
Aidan Newhouse,eng ENG,FW,20,1,0,68,0.8,1,0,1,1,0,,0,0,1.32,0.00,1.32,1.32,1.32,Matches,6031b7d7
Squad Total,,,25.9,42,452,3780,42.0,54,40,94,52,2,3,50,3,1.29,0.95,2.24,1.24,2.19,,-9999
Opponent Total,,,26.3,42,,3780,42.0,,,,,,,,,,,,,,,-9999
