,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Dmitri Kharine,ru RUS,GK,24,40,40,3600,40.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,48a7d00f
Steve Clarke,sct SCO,DF,29,39,39,3455,38.4,0,1,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,Matches,eb327112
Gavin Peacock,eng ENG,FWMF,25,37,37,3280,36.4,8,5,13,8,0,0,2,0,0.22,0.14,0.36,0.22,0.36,Matches,a3faaf35
Frank Sinclair,jm JAM,DF,21,35,35,3150,35.0,0,1,1,0,0,0,6,0,0.00,0.03,0.03,0.00,0.03,Matches,02942593
Dennis Wise,eng ENG,MF,26,35,35,3080,34.2,4,9,13,3,1,2,2,1,0.12,0.26,0.38,0.09,0.35,Matches,e718c23d
Eddie Newton,eng ENG,MF,21,36,33,3028,33.6,0,4,4,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches,c5e71e43
Jakob Kjeldbjerg,dk DEN,DF,23,29,29,2610,29.0,1,0,1,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,Matches,10ea8f3b
Erland Johnsen,no NOR,DFMF,26,28,27,2403,26.7,1,1,2,1,0,0,4,0,0.04,0.04,0.07,0.04,0.07,Matches,14735b09
Mal Donaghy,nir NIR,DF,35,28,24,2093,23.3,1,0,1,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,Matches,16397886
Craig Burley,sct SCO,MF,21,23,20,1792,19.9,3,3,6,3,0,0,1,0,0.15,0.15,0.30,0.15,0.30,Matches,718a4c38
Neil Shipperley,eng ENG,FW,18,24,18,1646,18.3,4,1,5,4,0,0,0,0,0.22,0.05,0.27,0.22,0.27,Matches,82dabdf3
Mark Stein,eng ENG,FW,27,18,18,1616,18.0,13,4,17,11,2,3,0,0,0.72,0.22,0.95,0.61,0.84,Matches,c72afccf
Glenn Hoddle,eng ENG,MF,35,19,16,1508,16.8,1,2,3,1,0,0,0,0,0.06,0.12,0.18,0.06,0.18,Matches,231f7c03
Tony Cascarino,ie IRL,FW,30,20,16,1370,15.2,4,1,5,4,0,0,0,0,0.26,0.07,0.33,0.26,0.33,Matches,a0d2673d
John Spencer,sct SCO,FW,22,19,13,1184,13.2,5,1,6,5,0,0,2,0,0.38,0.08,0.46,0.38,0.46,Matches,81922efe
David Hopkin,sct SCO,MF,22,21,12,1116,12.4,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches,f411e76b
Andy Dow,sct SCO,DF,20,13,12,1044,11.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,47950b10
Darren Barnard,wls WAL,DFMF,21,12,9,779,8.7,1,2,3,1,0,0,0,0,0.12,0.23,0.35,0.12,0.35,Matches,85edbb30
Robert Fleck,sct SCO,FW,27,9,7,615,6.8,1,1,2,1,0,0,1,0,0.15,0.15,0.29,0.15,0.29,Matches,ce632461
Andy Myers,eng ENG,DF,19,6,6,457,5.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e5b54539
Nigel Spackman,eng ENG,MF,32,9,5,545,6.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b6f521e0
Gareth Hall,wls WAL,DF,24,7,4,413,4.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,283329e8
David Lee,eng ENG,DF,23,7,3,364,4.0,1,0,1,1,0,0,0,1,0.25,0.00,0.25,0.25,0.25,Matches,724e2a7d
Kevin Hitchcock,,GK,30,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ee2a3876
Michael Duberry,eng ENG,DF,17,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,db61b520
Squad Total,,,25.7,42,481,3780,42.0,51,28,79,48,3,5,29,2,1.21,0.67,1.88,1.14,1.81,,-9999
Opponent Total,,,26.7,42,,3780,42.0,,,,,,,,,,,,,,,-9999
