,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Gary Kelly,ie IRL,DF,19,42,42,3780,42.0,0,5,5,0,0,0,2,0,0.00,0.12,0.12,0.00,0.12,Matches,1832e33c
Gary McAllister,sct SCO,MF,28,42,42,3780,42.0,9,5,14,8,1,1,3,0,0.21,0.12,0.33,0.19,0.31,Matches,19f7edbc
Brian Deane,eng ENG,FW,25,41,41,3685,40.9,11,11,22,11,0,0,3,0,0.27,0.27,0.54,0.27,0.54,Matches,909a4bb4
Chris Fairclough,eng ENG,DF,29,40,40,3600,40.0,4,0,4,4,0,0,5,0,0.10,0.00,0.10,0.10,0.10,Matches,d9181fa3
Tony Dorigo,eng ENG,DF,27,37,37,3258,36.2,0,2,2,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches,451c459e
Gary Speed,wls WAL,MF,23,36,35,3076,34.2,10,5,15,10,0,0,3,0,0.29,0.15,0.44,0.29,0.44,Matches,5ca13d11
Rod Wallace,eng ENG,FW,23,37,34,2993,33.3,17,6,23,17,0,1,3,0,0.51,0.18,0.69,0.51,0.69,Matches,89421101
Gordon Strachan,sct SCO,MF,36,33,32,2860,31.8,3,5,8,3,0,0,0,0,0.09,0.16,0.25,0.09,0.25,Matches,90aef1c6
David Wetherall,eng ENG,DF,22,32,31,2722,30.2,1,2,3,1,0,0,1,0,0.03,0.07,0.10,0.03,0.10,Matches,ceb3f12d
Jon Newsome,eng ENG,DF,22,29,25,2356,26.2,1,1,2,1,0,0,6,0,0.04,0.04,0.08,0.04,0.08,Matches,4e8e407f
Mark Beeney,eng ENG,GK,25,22,22,1980,22.0,0,1,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,Matches,958f12e8
John Lukic,eng ENG,GK,32,20,20,1800,20.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,99095d88
David O'Leary,ie IRL,DF,35,10,10,776,8.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9d311ed4
David White,eng ENG,FWMF,25,15,9,823,9.1,5,1,6,,,,0,0,0.55,0.11,0.66,,,Matches,b296c9ab
David Batty,eng ENG,MF,24,9,8,760,8.4,0,1,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches,21b2e37b
Steve Hodge,eng ENG,MF,30,8,7,615,6.8,1,0,1,1,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,5cd08cec
Kevin Sharp,eng ENG,DF,18,10,7,551,6.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ab94537e
Noel Whelan,eng ENG,FW,18,16,6,676,7.5,0,2,2,0,0,0,1,0,0.00,0.27,0.27,0.00,0.27,Matches,901c3bdf
John Pemberton,eng ENG,DF,28,9,6,615,6.8,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,b89cfe47
David Rocastle,eng ENG,MF,26,7,6,452,5.0,1,2,3,,,,0,0,0.20,0.40,0.60,,,Matches,e52cce17
Jamie Forrester,eng ENG,FW,18,3,2,171,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,32f6c811
Mark Tinkler,eng ENG,MF,18,3,1,82,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b6649d48
Frank Strandli,no NOR,FW,21,4,0,38,0.4,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,efcb1598
Mark Ford,eng ENG,MF,17,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,94ed2b9c
Ray Wallace,eng ENG,DF,23,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9da3ad2f
Squad Total,,,26.2,42,468,3780,42.0,63,38,101,62,1,2,37,0,1.50,0.90,2.40,1.48,2.38,,-9999
Opponent Total,,,26.9,42,,3780,42.0,,,,,,,,,,,,,,,-9999
