,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Steve McMahon,eng ENG,DFFW,31,35,35,3107,34.5,0,3,3,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,Matches,98faf70c
Michel Vonk,nl NED,DF,24,35,34,3029,33.7,1,1,2,1,0,0,5,0,0.03,0.03,0.06,0.03,0.06,Matches,52633e1c
Tony Coton,eng ENG,GK,32,31,31,2790,31.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,e469c1d8
Terry Phelan,ie IRL,DF,26,30,30,2676,29.7,1,0,1,1,0,0,1,0,0.03,0.00,0.03,0.03,0.03,Matches,9f53867c
Mike Sheron,eng ENG,FW,21,33,29,2554,28.4,6,1,7,6,0,0,0,0,0.21,0.04,0.25,0.21,0.25,Matches,4377334a
Keith Curle,eng ENG,DF,29,29,29,2524,28.0,1,0,1,0,1,2,4,0,0.04,0.00,0.04,0.00,0.00,Matches,dfdd51ba
Alan Kernaghan,ie IRL,DF,26,24,23,2127,23.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0b110943
Richard Edghill,eng ENG,DF,18,22,22,1935,21.5,0,1,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matches,8f8263f1
David Rocastle,eng ENG,MF,26,21,21,1849,20.5,2,2,4,,,,3,0,0.10,0.10,0.19,,,Matches,e52cce17
Garry Flitcroft,eng ENG,MF,20,21,19,1758,19.5,3,3,6,3,0,0,2,0,0.15,0.15,0.31,0.15,0.31,Matches,dc6356ad
David Brightwell,eng ENG,DF,22,22,19,1612,17.9,1,1,2,1,0,0,0,0,0.06,0.06,0.11,0.06,0.11,Matches,9634adf6
Steve Lomas,nir NIR,MF,19,23,17,1617,18.0,0,1,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches,9e58673a
David White,eng ENG,FWMF,25,16,16,1392,15.5,1,0,1,,,,2,0,0.06,0.00,0.06,,,Matches,b296c9ab
Andy Hill,eng ENG,DF,28,17,15,1305,14.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4a6decfb
Niall Quinn,ie IRL,FW,26,15,14,1234,13.7,5,2,7,5,0,0,0,0,0.36,0.15,0.51,0.36,0.51,Matches,050093a9
Fitzroy Simpson,jm JAM,MF,23,15,12,1062,11.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,54cd615c
Uwe Rösler,de GER,FW,24,12,12,1031,11.5,5,1,6,5,0,0,1,0,0.44,0.09,0.52,0.44,0.52,Matches,77a6a70d
Carl Griffiths,wls WAL,FW,22,16,11,1016,11.3,4,2,6,4,0,0,0,0,0.35,0.18,0.53,0.35,0.53,Matches,5eb4529d
Andy Dibble,wls WAL,GK,28,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c39f9f94
Paul Walsh,eng ENG,FW,30,11,11,976,10.8,4,1,5,4,0,0,0,0,0.37,0.09,0.46,0.37,0.46,Matches,4bf0b7a5
Peter Beagrie,eng ENG,FW,27,9,9,810,9.0,1,5,6,,,,1,0,0.11,0.56,0.67,,,Matches,edcefdc4
Rick Holden,eng ENG,MF,28,9,9,789,8.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d92c2591
Alfons Groenendijk,nl NED,MF,29,9,9,622,6.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2474c9f0
Ian Brightwell,eng ENG,DF,25,7,6,574,6.4,0,2,2,0,0,0,0,0,0.00,0.31,0.31,0.00,0.31,Matches,f2d15cfe
Carl Shutt,eng ENG,FW,31,6,5,477,5.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,231532c1
Steffen Karl,de GER,DFMF,23,6,4,347,3.9,1,0,1,1,0,0,0,0,0.26,0.00,0.26,0.26,0.26,Matches,d12e8ce3
David Kerr,sct SCO,MF,18,3,3,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,29d1b9d5
Peter Reid,eng ENG,MF,37,4,3,142,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c44c56e1
Kåre Ingebrigtsen,no NOR,MF,27,8,2,321,3.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6ff7c50e
Adie Mike,eng ENG,FW,19,9,1,290,3.2,1,0,1,1,0,0,0,0,0.31,0.00,0.31,0.31,0.31,Matches,61e479e1
Mike Quigley,eng ENG,MF,22,2,1,120,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d783b632
John Foster,eng ENG,DF,19,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,54c740c2
Squad Total,,,26.0,42,433,3780,42.0,35,15,50,34,1,2,34,0,0.83,0.36,1.19,0.81,1.17,,-9999
Opponent Total,,,26.8,42,,3780,42.0,,,,,,,,,,,,,,,-9999
