,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Clive Wilson,eng ENG,DF,31,42,42,3780,42.0,3,0,3,0,3,4,0,0,0.07,0.00,0.07,0.00,0.00,Matches,de2ad53e
Ray Wilkins,eng ENG,MF,36,39,39,3412,37.9,1,9,10,1,0,0,1,0,0.03,0.24,0.26,0.03,0.26,Matches,05f2d7e3
Simon Barker,eng ENG,MF,28,37,35,3156,35.1,5,3,8,5,0,0,5,1,0.14,0.09,0.23,0.14,0.23,Matches,e76255e1
Les Ferdinand,eng ENG,FW,26,36,35,3072,34.1,16,8,24,14,2,2,4,1,0.47,0.23,0.70,0.41,0.64,Matches,aad47f5a
David Bardsley,eng ENG,DF,28,32,32,2880,32.0,0,5,5,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,Matches,e2cfaafb
Andy Impey,eng ENG,DFMF,21,33,31,2751,30.6,3,1,4,3,0,0,2,0,0.10,0.03,0.13,0.10,0.13,Matches,67cbd956
Darren Peacock,eng ENG,DF,25,30,30,2700,30.0,3,2,5,,,,4,0,0.10,0.07,0.17,,,Matches,957c8f17
Trevor Sinclair,eng ENG,MF,20,32,30,2664,29.6,4,3,7,4,0,0,1,0,0.14,0.10,0.24,0.14,0.24,Matches,d2f7373c
Steve Yates,eng ENG,DF,23,29,27,2458,27.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5645fac6
Jan Stejskal,cz CZE,GK,31,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4f796947
Gary Penrice,eng ENG,FWMF,29,26,23,1954,21.7,8,3,11,8,0,0,1,0,0.37,0.14,0.51,0.37,0.51,Matches,19821c3d
Karl Ready,wls WAL,DF,20,22,19,1770,19.7,1,0,1,1,0,0,4,1,0.05,0.00,0.05,0.05,0.05,Matches,3df79848
Ian Holloway,eng ENG,MF,30,25,19,1734,19.3,0,3,3,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches,8c116e30
Tony Roberts,wls WAL,GK,23,16,16,1440,16.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ba8f0ea1
Bradley Allen,eng ENG,FW,21,21,14,1389,15.4,7,1,8,7,0,0,0,0,0.45,0.06,0.52,0.45,0.52,Matches,49a6d30d
Devon White,eng ENG,FW,29,18,12,1189,13.2,7,3,10,7,0,0,2,0,0.53,0.23,0.76,0.53,0.76,Matches,5db8501e
Alan McDonald,nir NIR,DF,29,12,12,1057,11.7,1,1,2,1,0,0,2,0,0.09,0.09,0.17,0.09,0.17,Matches,ae5144ed
Michael Meaker,wls WAL,MF,21,14,11,949,10.5,1,0,1,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,Matches,0d0db805
Alan McCarthy,eng ENG,DF,21,4,4,360,4.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6aea5635
Rufus Brevett,eng ENG,DF,23,7,3,308,3.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e7ebaace
Maurice Doyle,eng ENG,MF,23,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1b9e260d
Tony Witter,eng ENG,DF,28,1,1,90,1.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e81b47f3
Squad Total,,,27.3,42,461,3780,42.0,60,37,97,55,5,6,31,3,1.43,0.88,2.31,1.31,2.19,,-9999
Opponent Total,,,26.6,42,,3780,42.0,,,,,,,,,,,,,,,-9999
