,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Carl Bradshaw,eng ENG,DF,24,40,39,3505,38.9,1,2,3,1,0,0,2,1,0.03,0.05,0.08,0.03,0.08,Matches,552c893a
Dane Whitehouse,eng ENG,MF,22,38,35,3072,34.1,5,6,11,5,0,0,10,0,0.15,0.18,0.32,0.15,0.32,Matches,a79bcbf8
Jostein Flo,no NOR,FW,28,33,32,2895,32.2,9,4,13,9,0,0,3,0,0.28,0.12,0.40,0.28,0.40,Matches,f230f9d1
Dave Tuttle,eng ENG,DF,21,31,31,2626,29.2,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,f2984cf9
Alan Kelly Jr.,ie IRL,GK,24,30,29,2683,29.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fc4c6bb9
Paul Rogers,eng ENG,MF,28,25,24,2080,23.1,3,0,3,3,0,0,3,0,0.13,0.00,0.13,0.13,0.13,Matches,3191f5c4
Paul Beesley,eng ENG,DF,28,25,22,2060,22.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,526b869a
Willie Falconer,sct SCO,FW,27,23,21,1864,20.7,4,1,5,4,0,0,1,0,0.19,0.05,0.24,0.19,0.24,Matches,cb6882b6
Roger Nilsen,no NOR,DF,23,22,21,1786,19.8,0,1,1,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matches,56ba277a
Mitch Ward,eng ENG,MF,22,22,20,1799,20.0,1,1,2,1,0,0,2,0,0.05,0.05,0.10,0.05,0.10,Matches,4e9e8915
Glyn Hodges,wls WAL,MF,30,31,19,1947,21.6,2,3,5,2,0,0,4,0,0.09,0.14,0.23,0.09,0.23,Matches,b1f3b623
Jamie Hoyland,eng ENG,MF,27,18,17,1506,16.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,335bdb87
Kevin Gage,eng ENG,MF,29,21,16,1465,16.3,0,2,2,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,Matches,d9c359b5
Chris Kamara,eng ENG,MF,35,16,15,1298,14.4,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,e61d2fb4
John Gannon,eng ENG,MF,26,14,14,1198,13.3,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches,a9647537
Simon Tracey,eng ENG,GK,25,15,13,1257,14.0,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,7950228f
Brian Gayle,eng ENG,DF,28,13,13,1170,13.0,3,1,4,3,0,0,0,0,0.23,0.08,0.31,0.23,0.31,Matches,861b6aef
Adrian Littlejohn,eng ENG,FWMF,22,19,12,1080,12.0,3,1,4,3,0,0,0,0,0.25,0.08,0.33,0.25,0.33,Matches,fc10e469
Andy Scott,eng ENG,FW,20,15,12,1028,11.4,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,5690e16b
Franz Carr,eng ENG,FWMF,26,10,10,872,9.7,1,1,2,1,0,0,0,0,0.10,0.10,0.21,0.10,0.21,Matches,bf5f4723
John Pemberton,eng ENG,DF,28,8,8,720,8.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b89cfe47
Jonas Wirmola,se SWE,DF,24,8,8,675,7.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,44cb4797
Bobby Davison,eng ENG,FW,34,9,8,665,7.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0acf32a6
Alan Cork,eng ENG,FW,34,19,7,847,9.4,3,1,4,3,0,0,0,1,0.32,0.11,0.43,0.32,0.43,Matches,0db374cb
Nathan Blake,wls WAL,FW,21,12,7,727,8.1,5,0,5,5,0,0,0,0,0.62,0.00,0.62,0.62,0.62,Matches,6c447486
Tom Cowan,sct SCO,DF,23,4,4,360,4.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,26a2b2eb
Charlie Hartfield,eng ENG,MF,21,5,3,322,3.6,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b5aff393
David Barnes,eng ENG,DF,31,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7d42b1d6
Squad Total,,,26.3,42,447,3780,42.0,41,26,67,41,0,0,43,4,0.98,0.62,1.60,0.98,1.60,,-9999
Opponent Total,,,26.8,42,,3780,42.0,,,,,,,,,,,,,,,-9999
