,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Des Walker,eng ENG,DF,27,42,42,3718,41.3,0,1,1,0,0,0,1,0,0.00,0.02,0.02,0.00,0.02,Matches,4e1b2261
Roland Nilsson,se SWE,DFFW,29,38,38,3350,37.2,0,1,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Matches,0ab916bf
Carlton Palmer,eng ENG,MF,27,37,37,3251,36.1,5,2,7,5,0,0,4,1,0.14,0.06,0.19,0.14,0.19,Matches,45fdede4
Mark Bright,eng ENG,FW,31,40,36,3241,36.0,19,6,25,19,0,0,3,0,0.53,0.17,0.69,0.53,0.69,Matches,681a0456
Kevin Pressman,eng ENG,GK,25,32,32,2880,32.0,0,1,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,Matches,3f2ff0b9
Chris Bart-Williams,eng ENG,DFMF,19,37,30,2739,30.4,8,5,13,8,0,0,1,0,0.26,0.16,0.43,0.26,0.43,Matches,250d1973
Nigel Worthington,nir NIR,DFMF,31,31,30,2661,29.6,1,2,3,1,0,0,0,0,0.03,0.07,0.10,0.03,0.10,Matches,20a32162
Andy Pearce,eng ENG,DF,27,32,29,2560,28.4,3,2,5,3,0,0,2,1,0.11,0.07,0.18,0.11,0.18,Matches,fd9d0118
Graham Hyde,eng ENG,MF,22,36,27,2590,28.8,1,3,4,1,0,0,1,0,0.03,0.10,0.14,0.03,0.14,Matches,1cedc407
Andy Sinton,eng ENG,MF,27,25,25,2073,23.0,3,4,7,3,0,0,0,0,0.13,0.17,0.30,0.13,0.30,Matches,d74cafe4
Ryan Jones,wls WAL,MF,20,27,24,2181,24.2,6,6,12,6,0,0,1,0,0.25,0.25,0.50,0.25,0.50,Matches,ca07d0a8
Chris Waddle,eng ENG,FWMF,32,19,19,1710,19.0,3,8,11,3,0,0,0,0,0.16,0.42,0.58,0.16,0.58,Matches,27215170
John Sheridan,ie IRL,MF,28,20,19,1605,17.8,3,3,6,1,2,3,4,0,0.17,0.17,0.34,0.06,0.22,Matches,85f0a5ee
Gordon Watson,eng ENG,FW,22,23,15,1513,16.8,12,2,14,12,0,0,2,0,0.71,0.12,0.83,0.71,0.83,Matches,53c30561
Nigel Jemson,eng ENG,FW,23,18,10,958,10.6,5,3,8,5,0,0,0,0,0.47,0.28,0.75,0.47,0.75,Matches,96df0b19
Simon Coleman,eng ENG,DF,25,15,10,953,10.6,1,1,2,1,0,0,0,0,0.09,0.09,0.19,0.09,0.19,Matches,88d709a1
Chris Woods,eng ENG,GK,33,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6148af60
Phil King,eng ENG,DF,25,10,7,723,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c7c33967
David Hirst,eng ENG,FW,25,7,6,541,6.0,1,0,1,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,Matches,e274c78d
Nigel Pearson,eng ENG,DF,29,6,5,405,4.5,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,abe6b945
Paul Warhurst,eng ENG,DFMF,23,4,4,319,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,86810d2a
Mike Williams,eng ENG,FW,23,4,4,280,3.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c0b1df23
Adem Poric,au AUS,MF,20,6,2,241,2.7,0,1,1,0,0,0,1,0,0.00,0.37,0.37,0.00,0.37,Matches,5f0a91c5
Julian Watts,eng ENG,DF,22,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4e30bcf6
Brian Linighan,,DF,19,1,1,45,0.5,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8dabe458
Lee Briscoe,eng ENG,DFMF,17,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,49c0435b
Trevor Francis,eng ENG,FW,39,1,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,849dbec1
Squad Total,,,26.8,42,450,3780,42.0,71,47,118,69,2,3,21,2,1.69,1.12,2.81,1.64,2.76,,-9999
Opponent Total,,,26.7,42,,3780,42.0,,,,,,,,,,,,,,,-9999
