,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Shaun Taylor,eng ENG,DF,30,42,42,3780,42.0,4,0,4,4,0,0,0,0,0.10,0.00,0.10,0.10,0.10,Matches,4f2f15d2
John Moncur,eng ENG,MF,26,41,41,3627,40.3,4,3,7,4,0,0,4,0,0.10,0.07,0.17,0.10,0.17,Matches,e982f824
Nicky Summerbee,eng ENG,MF,21,38,36,3142,34.9,3,4,7,3,0,0,3,0,0.09,0.11,0.20,0.09,0.20,Matches,7e6a7ed4
Adrian Whitbread,eng ENG,DF,21,35,34,2987,33.2,1,0,1,1,0,0,3,0,0.03,0.00,0.03,0.03,0.03,Matches,46ca0fc6
Kevin Horlock,nir NIR,MF,20,38,32,2985,33.2,0,1,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matches,2bd566d6
Luc Nijholt,nl NED,DFMF,32,32,31,2702,30.0,1,1,2,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,Matches,c323e2d9
Martin Ling,eng ENG,MF,27,33,29,2549,28.3,1,1,2,1,0,0,4,0,0.04,0.04,0.07,0.04,0.07,Matches,a6eb61c9
Paul Bodin,wls WAL,DF,28,32,28,2483,27.6,7,5,12,2,5,6,2,0,0.25,0.18,0.43,0.07,0.25,Matches,0643a008
Fraser Digby,eng ENG,GK,26,28,28,2471,27.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,e78cfda8
Andy Mutch,eng ENG,FW,29,30,27,2381,26.5,6,4,10,6,0,0,3,1,0.23,0.15,0.38,0.23,0.38,Matches,dec1808e
Jan Åge Fjørtoft,no NOR,FW,26,36,26,2301,25.6,12,1,13,10,2,2,2,0,0.47,0.04,0.51,0.39,0.43,Matches,c5694827
Terry Fenwick,eng ENG,DF,33,26,23,2069,23.0,0,2,2,0,0,0,3,0,0.00,0.09,0.09,0.00,0.09,Matches,437743fd
Keith Scott,eng ENG,FW,26,27,22,1985,22.1,4,1,5,4,0,0,0,0,0.18,0.05,0.23,0.18,0.23,Matches,cdeeb91b
Nick Hammond,eng ENG,GK,25,13,11,1084,12.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c1e37691
Ross MacLaren,sct SCO,MF,31,12,10,927,10.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ade7f9df
Brian Kilcline,eng ENG,DF,31,10,10,900,10.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,37814088
Craig Maskell,eng ENG,FW,25,14,8,772,8.6,1,0,1,1,0,0,0,0,0.12,0.00,0.12,0.12,0.12,Matches,1a81532d
Micky Hazard,eng ENG,MF,33,9,7,667,7.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,33cc8433
Lawrie Sanchez,nir NIR,MF,33,8,6,598,6.6,0,2,2,0,0,0,1,0,0.00,0.30,0.30,0.00,0.30,Matches,2fd8fd97
Frank McAvennie,sct SCO,FW,33,7,3,298,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,c02f2ce8
Ty Gooden,eng ENG,MF,20,4,3,228,2.5,0,1,1,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39,Matches,a7da2742
Steve White,eng ENG,FW,34,6,2,262,2.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,cc62cb5a
Jon Sheffield,eng ENG,GK,24,2,2,152,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7dd9ad97
Paul Heald,eng ENG,GK,24,2,1,115,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7c9385a5
Andy Thomson,eng ENG,DF,19,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9faa99b2
Chris Hamon,eng ENG,FW,23,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,18a742c0
Squad Total,,,27.3,42,464,3780,42.0,45,28,73,38,7,8,39,1,1.07,0.67,1.74,0.90,1.57,,-9999
Opponent Total,,,26.6,42,,3780,42.0,,,,,,,,,,,,,,,-9999
