,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
John Polston,eng ENG,DF,26,38,38,3392,37.7,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,d0823126
Jon Newsome,eng ENG,DF,23,35,35,3116,34.6,3,2,5,3,0,0,5,0,0.09,0.06,0.14,0.09,0.14,Matches,4e8e407f
Mark Bowen,wls WAL,DF,30,36,34,3113,34.6,2,1,3,2,0,0,7,0,0.06,0.03,0.09,0.06,0.09,Matches,ee6208fa
Ian Crook,eng ENG,MF,31,34,33,2923,32.5,0,4,4,0,0,0,6,0,0.00,0.12,0.12,0.00,0.12,Matches,8d96b719
Robert Ullathorne,eng ENG,DF,22,27,27,2151,23.9,2,0,2,2,0,0,5,0,0.08,0.00,0.08,0.08,0.08,Matches,c251e372
Ashley Ward,eng ENG,FW,23,25,25,2250,25.0,8,3,11,7,1,1,5,0,0.32,0.12,0.44,0.28,0.40,Matches,3df77824
Mike Milligan,ie IRL,MF,27,26,25,2140,23.8,2,1,3,2,0,0,8,0,0.08,0.04,0.13,0.08,0.13,Matches,2261208b
Carl Bradshaw,eng ENG,DF,25,26,25,2109,23.4,1,0,1,0,1,2,0,0,0.04,0.00,0.04,0.00,0.00,Matches,552c893a
Neil Adams,eng ENG,MF,28,33,23,2171,24.1,3,1,4,3,0,0,2,0,0.12,0.04,0.17,0.12,0.17,Matches,3ffdc43f
Rob Newman,eng ENG,DF,30,32,23,2081,23.1,1,1,2,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,Matches,f516029b
Daryl Sutch,eng ENG,DF,22,31,22,2141,23.8,1,3,4,1,0,0,2,0,0.04,0.13,0.17,0.04,0.17,Matches,783174b8
Darren Eadie,eng ENG,MF,19,26,22,2045,22.7,2,3,5,2,0,0,0,0,0.09,0.13,0.22,0.09,0.22,Matches,60d2d491
Bryan Gunn,sct SCO,GK,30,21,21,1809,20.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bacfce7a
Andy Marshall,eng ENG,GK,19,21,20,1881,20.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a25b2b24
Jeremy Goss,wls WAL,MF,29,25,19,1799,20.0,2,0,2,2,0,0,5,0,0.10,0.00,0.10,0.10,0.10,Matches,bd9739a7
Mike Sheron,eng ENG,FW,22,21,17,1517,16.9,1,0,1,1,0,0,0,0,0.06,0.00,0.06,0.06,0.06,Matches,4377334a
Mark Robins,eng ENG,FW,24,17,14,1195,13.3,4,3,7,4,0,,0,0,0.30,0.23,0.53,0.30,0.53,Matches,d3d59d26
Spencer Prior,eng ENG,DF,23,17,12,1198,13.3,0,2,2,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,Matches,d68181d1
Jamie Cureton,eng ENG,FW,18,17,9,861,9.6,4,0,4,4,0,0,0,0,0.42,0.00,0.42,0.42,0.42,Matches,42f6103b
Ade Akinbiyi,ng NGA,FW,19,13,6,544,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6a723914
Andy Johnson,wls WAL,MF,20,7,6,513,5.7,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,8333a39e
Efan Ekoku,ng NGA,FW,27,6,5,390,4.3,0,1,1,0,0,0,1,0,0.00,0.23,0.23,0.00,0.23,Matches,d0d589ec
Simon Tracey,eng ENG,GK,26,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7950228f
Gary Megson,eng ENG,MF,35,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8d21ed00
Johnny Wright,nir NIR,DF,18,2,0,40,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,da5fb43d
Keith O'Neill,ie IRL,MF,18,1,0,38,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f3761381
Squad Total,,,25.7,42,445,3780,42.0,31,27,58,29,2,3,70,1,0.74,0.64,1.38,0.69,1.33,,-9999
Opponent Total,,,26.7,42,,3780,42.0,,,,,,,,,,,,,,,-9999
