,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Mark Crossley,wls WAL,GK,25,42,42,3780,42.0,0,2,2,0,0,0,1,0,0.00,0.05,0.05,0.00,0.05,Matches,51a772b8
Steve Chettle,eng ENG,DF,25,41,41,3684,40.9,0,1,1,0,0,0,3,1,0.00,0.02,0.02,0.00,0.02,Matches,9a59ff12
Steve Stone,eng ENG,MF,22,41,41,3679,40.9,5,8,13,5,0,0,4,0,0.12,0.20,0.32,0.12,0.32,Matches,4592c48e
Des Lyttle,eng ENG,DF,22,38,38,3412,37.9,0,2,2,0,0,0,7,0,0.00,0.05,0.05,0.00,0.05,Matches,8cc40692
David Phillips,wls WAL,DFMF,31,38,38,3352,37.2,1,3,4,1,0,0,2,0,0.03,0.08,0.11,0.03,0.11,Matches,28f79f34
Stan Collymore,eng ENG,FW,23,37,37,3325,36.9,22,6,28,21,1,2,4,0,0.60,0.16,0.76,0.57,0.73,Matches,eed4ff30
Bryan Roy,nl NED,FWMF,24,37,37,3104,34.5,13,11,24,13,0,0,4,0,0.38,0.32,0.70,0.38,0.70,Matches,f30a9664
Stuart Pearce,eng ENG,DF,32,36,36,3240,36.0,8,0,8,4,4,4,7,0,0.22,0.00,0.22,0.11,0.11,Matches,39243ce6
Ian Woan,eng ENG,MF,26,37,35,3115,34.6,5,7,12,5,0,0,6,0,0.14,0.20,0.35,0.14,0.35,Matches,c70172f3
Colin Cooper,eng ENG,DF,27,35,35,3089,34.3,1,1,2,1,0,0,7,0,0.03,0.03,0.06,0.03,0.06,Matches,42f93b8f
Lars Bohinen,no NOR,MF,24,34,30,2724,30.3,6,5,11,6,0,0,8,0,0.20,0.17,0.36,0.20,0.36,Matches,bdb7e1b5
Scot Gemmill,sct SCO,MF,23,19,19,1528,17.0,1,1,2,1,0,0,1,0,0.06,0.06,0.12,0.06,0.12,Matches,27e0c651
Alf-Inge Haaland,no NOR,DFMF,21,20,18,1672,18.6,1,1,2,1,0,0,1,0,0.05,0.05,0.11,0.05,0.11,Matches,3ae21039
Jason Lee,eng ENG,FW,23,21,5,700,7.8,3,2,5,3,0,0,3,0,0.39,0.26,0.64,0.39,0.64,Matches,e9c268b6
Kingsley Black,nir NIR,MF,26,10,5,533,5.9,2,1,3,2,0,0,0,0,0.34,0.17,0.51,0.34,0.51,Matches,6a82444b
Carl Tiler,eng ENG,DF,24,3,3,270,3.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,319d0cea
Gary Bull,eng ENG,FW,28,1,1,90,1.0,1,0,1,1,0,0,0,0,1.00,0.00,1.00,1.00,1.00,Matches,b58bb4fa
Vance Warner,eng ENG,DF,19,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0a18ed58
Paul McGregor,eng ENG,FW,19,11,0,146,1.6,1,0,1,1,0,0,1,0,0.62,0.00,0.62,0.62,0.62,Matches,ac63a2ed
Robert Rosario,eng ENG,FW,28,1,0,24,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0d4641b8
Squad Total,,,25.7,42,462,3780,42.0,71,68,139,66,5,6,62,1,1.69,1.62,3.31,1.57,3.19,,-9999
Opponent Total,,,26.6,42,,3780,42.0,,,,,,,,,,,,,,,-9999
