,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
David Seaman,eng ENG,GK,31,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2d578837
Lee Dixon,eng ENG,DF,31,38,38,3379,37.5,2,3,5,2,0,0,2,0,0.05,0.08,0.13,0.05,0.13,Matches,b6ba1615
Paul Merson,eng ENG,FWMF,27,38,38,3379,37.5,5,5,10,5,0,0,2,0,0.13,0.13,0.27,0.13,0.27,Matches,eba7e6fd
Nigel Winterburn,eng ENG,DF,31,36,36,3238,36.0,2,1,3,2,0,0,6,0,0.06,0.03,0.08,0.06,0.08,Matches,0672e24e
Martin Keown,eng ENG,DFMF,29,34,34,2981,33.1,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,b844a204
Dennis Bergkamp,nl NED,FW,26,33,33,2925,32.5,11,8,19,11,0,0,5,0,0.34,0.25,0.58,0.34,0.58,Matches,d8703fda
Ian Wright,eng ENG,FW,31,31,31,2734,30.4,15,2,17,12,3,5,8,0,0.49,0.07,0.56,0.40,0.46,Matches,60c275b3
David Platt,eng ENG,MF,29,29,27,2488,27.6,6,3,9,6,0,0,3,0,0.22,0.11,0.33,0.22,0.33,Matches,eded06bf
Tony Adams,eng ENG,DF,28,21,21,1853,20.6,1,1,2,1,0,0,4,1,0.05,0.05,0.10,0.05,0.10,Matches,26b5e727
Ray Parlour,eng ENG,MF,22,22,20,1739,19.3,0,1,1,0,0,0,8,0,0.00,0.05,0.05,0.00,0.05,Matches,d567e937
Steve Bould,eng ENG,DF,32,19,19,1677,18.6,0,2,2,0,0,0,8,1,0.00,0.11,0.11,0.00,0.11,Matches,42e0fd3a
Andy Linighan,eng ENG,DF,33,18,17,1534,17.0,0,1,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,Matches,d2acfbec
Glenn Helder,nl NED,FWMF,26,24,15,1412,15.7,1,3,4,1,0,0,0,0,0.06,0.19,0.25,0.06,0.25,Matches,9cd12958
John Hartson,wls WAL,FW,20,19,15,1360,15.1,4,2,6,4,0,0,3,0,0.26,0.13,0.40,0.26,0.40,Matches,10d28fb8
John Jensen,dk DEN,MF,30,15,13,1092,12.1,0,3,3,0,0,0,4,0,0.00,0.25,0.25,0.00,0.25,Matches,77e1f19b
Scott Marshall,sct SCO,DF,22,11,10,920,10.2,1,0,1,1,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Matches,85bcb2e5
Adrian Clarke,eng ENG,MF,20,6,4,359,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1e5959dc
David Hillier,eng ENG,MF,25,5,3,289,3.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c3861872
Steve Morrow,nir NIR,DFMF,25,4,3,203,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6d8a536c
Paul Dickov,sct SCO,FW,22,7,1,246,2.7,1,2,3,1,0,0,0,0,0.37,0.73,1.10,0.37,1.10,Matches,1ea43e27
Matthew Rose,eng ENG,DF,19,4,1,204,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ed4d2206
Gavin McGowan,eng ENG,DFMF,19,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e4be205a
Paul Shaw,eng ENG,FWMF,21,3,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,26828c9a
Stephen Hughes,eng ENG,MF,18,1,0,21,0.2,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fe278764
Eddie McGoldrick,ie IRL,DFFW,30,1,0,14,0.2,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a85fecd3
Squad Total,,,28.8,38,418,3420,38.0,49,35,84,46,3,5,63,2,1.29,0.92,2.21,1.21,2.13,,-9999
Opponent Total,,,26.9,38,,3420,38.0,,,,,,,,,,,,,,,-9999
