,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Henning Berg,no NOR,DF,25,38,38,3381,37.6,0,1,1,0,0,0,4,1,0.00,0.03,0.03,0.00,0.03,Matches,ad77f84e
Tim Flowers,eng ENG,GK,28,37,37,3313,36.8,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,df3b6e40
Alan Shearer,eng ENG,FW,24,35,35,3150,35.0,31,7,38,28,3,3,4,0,0.89,0.20,1.09,0.80,1.00,Matches,438b3a51
Colin Hendry,sct SCO,DF,29,33,33,2930,32.6,1,0,1,1,0,0,9,0,0.03,0.00,0.03,0.03,0.03,Matches,9acd6d0d
Tim Sherwood,eng ENG,MF,26,33,33,2930,32.6,3,3,6,3,0,0,9,0,0.09,0.09,0.18,0.09,0.18,Matches,885f0b51
Jeff Kenna,ie IRL,DF,24,32,32,2859,31.8,0,3,3,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches,cf4038bb
Stuart Ripley,eng ENG,FWMF,27,28,28,2224,24.7,0,9,9,0,0,0,1,0,0.00,0.36,0.36,0.00,0.36,Matches,6516188c
Mike Newell,eng ENG,FW,30,30,26,2118,23.5,3,9,12,3,0,0,7,0,0.13,0.38,0.51,0.13,0.51,Matches,a54bad44
David Batty,eng ENG,MF,26,23,23,2025,22.5,1,1,2,,,,5,0,0.04,0.04,0.09,,,Matches,21b2e37b
Chris Coleman,wls WAL,DF,25,20,19,1746,19.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,811de5ec
Lars Bohinen,no NOR,MF,25,19,17,1532,17.0,4,1,5,,,,3,0,0.23,0.06,0.29,,,Matches,bdb7e1b5
Kevin Gallacher,sct SCO,FWMF,28,16,14,1198,13.3,2,1,3,2,0,0,1,0,0.15,0.08,0.23,0.15,0.23,Matches,dc257810
Billy McKinlay,sct SCO,MF,26,19,13,1326,14.7,2,0,2,2,0,0,6,1,0.14,0.00,0.14,0.14,0.14,Matches,a5e06511
Graeme Le Saux,eng ENG,DF,26,14,13,1105,12.3,1,1,2,1,0,0,2,0,0.08,0.08,0.16,0.08,0.16,Matches,0bd42c09
Ian Pearce,eng ENG,DF,21,12,12,1052,11.7,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,3537c18f
Jason Wilcox,eng ENG,FWMF,24,10,10,837,9.3,3,3,6,3,0,0,0,0,0.32,0.32,0.65,0.32,0.65,Matches,6b9fa9ad
Chris Sutton,eng ENG,DFFW,22,13,9,819,9.1,0,1,1,0,0,0,3,0,0.00,0.11,0.11,0.00,0.11,Matches,83c38e36
Nicky Marker,eng ENG,DF,30,10,8,711,7.9,1,1,2,1,0,0,0,0,0.13,0.13,0.25,0.13,0.25,Matches,e667189c
Matty Holmes,eng ENG,MF,25,9,8,670,7.4,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches,fc77951f
Graham Fenton,eng ENG,MF,21,14,4,596,6.6,6,2,8,,,,2,0,0.91,0.30,1.21,,,Matches,d2fd5e70
Garry Flitcroft,eng ENG,MF,22,3,3,183,2.0,0,0,0,,,,1,1,0.00,0.00,0.00,,,Matches,dc6356ad
Paul Warhurst,eng ENG,DFMF,25,10,1,346,3.8,0,1,1,0,0,0,0,0,0.00,0.26,0.26,0.00,0.26,Matches,86810d2a
Niklas Gudmundsson,se SWE,MF,23,4,1,110,1.2,0,1,1,0,0,0,0,0,0.00,0.82,0.82,0.00,0.82,Matches,d00d367e
Bobby Mimms,eng ENG,GK,31,2,1,102,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cf942807
Lee Makel,eng ENG,MF,22,3,0,113,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,317b6dd3
Mark Atkins,eng ENG,DFMF,26,4,0,59,0.7,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,e4c3d857
Squad Total,,,26.6,38,427,3420,38.0,60,45,105,57,3,3,66,4,1.58,1.18,2.76,1.50,2.68,,-9999
Opponent Total,,,26.9,38,,3420,38.0,,,,,,,,,,,,,,,-9999
