,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Jimmy Phillips,eng ENG,DF,29,37,37,3317,36.9,0,2,2,0,0,0,4,0,0.00,0.05,0.05,0.00,0.05,Matches,d1f18d9f
Guðni Bergsson,is ISL,DF,30,34,34,3014,33.5,4,1,5,4,0,0,7,1,0.12,0.03,0.15,0.12,0.15,Matches,bfc3b538
Chris Fairclough,eng ENG,DF,31,33,33,2916,32.4,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,d9181fa3
Keith Branagan,ie IRL,GK,29,31,31,2790,31.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2415cbc7
John McGinlay,sct SCO,FW,31,32,29,2463,27.4,6,3,9,5,1,1,4,0,0.22,0.11,0.33,0.18,0.29,Matches,1c87585f
Saša Ćurčić,,MF,23,27,27,2431,27.0,4,7,11,4,0,0,3,0,0.15,0.26,0.41,0.15,0.41,Matches,c62ba448
Scott Green,eng ENG,DF,25,31,27,2385,26.5,3,0,3,3,0,0,2,0,0.11,0.00,0.11,0.11,0.11,Matches,11413f20
Alan Stubbs,eng ENG,DF,23,25,24,2180,24.2,4,2,6,4,0,0,1,0,0.17,0.08,0.25,0.17,0.25,Matches,474865f9
Alan Thompson,eng ENG,MF,21,26,23,2087,23.2,1,3,4,0,1,1,7,0,0.04,0.13,0.17,0.00,0.13,Matches,2eaac012
Scott Sellars,eng ENG,MF,29,22,22,1958,21.8,3,4,7,,,,2,0,0.14,0.18,0.32,,,Matches,f767b113
Fabian de Freitas,nl NED,FW,23,27,18,1648,18.3,5,1,6,5,0,0,0,0,0.27,0.05,0.33,0.27,0.33,Matches,85a11078
Richard Sneekes,nl NED,MF,26,17,15,1362,15.1,1,1,2,1,0,0,4,0,0.07,0.07,0.13,0.07,0.13,Matches,981afdb1
Nathan Blake,wls WAL,FW,23,18,14,1209,13.4,1,0,1,1,0,0,4,0,0.07,0.00,0.07,0.07,0.07,Matches,6c447486
Mixu Paatelainen,fi FIN,FW,28,15,13,1044,11.6,1,1,2,1,0,0,1,0,0.09,0.09,0.17,0.09,0.17,Matches,23e78267
Simon Coleman,eng ENG,DF,27,12,12,1075,11.9,1,1,2,1,0,0,2,0,0.08,0.08,0.17,0.08,0.17,Matches,88d709a1
Mark Patterson,eng ENG,MF,30,16,12,987,11.0,1,3,4,0,1,1,5,1,0.09,0.27,0.36,0.00,0.27,Matches,89bab945
Gerry Taggart,nir NIR,DF,24,11,11,953,10.6,1,0,1,1,0,0,6,0,0.09,0.00,0.09,0.09,0.09,Matches,2bf06765
David Lee,eng ENG,MF,27,18,10,1141,12.7,1,0,1,1,0,0,2,0,0.08,0.00,0.08,0.08,0.08,Matches,f6c7c3ec
Andy Todd,eng ENG,DF,20,12,9,728,8.1,2,0,2,2,0,0,2,0,0.25,0.00,0.25,0.25,0.25,Matches,1b9ecd06
Steve McAnespie,sct SCO,DF,23,9,7,632,7.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8b402622
Gavin Ward,eng ENG,GK,25,5,5,450,5.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ab0ee28f
Jason McAteer,ie IRL,MF,24,4,4,360,4.0,0,0,0,,,,1,0,0.00,0.00,0.00,,,Matches,8a09067c
Owen Coyle,ie IRL,FW,29,5,2,199,2.2,0,2,2,0,0,0,0,0,0.00,0.90,0.90,0.00,0.90,Matches,ba54c6f8
Aidan Davison,nir NIR,GK,27,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,adb9d3d3
Bryan Small,eng ENG,DF,23,1,1,90,1.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a4614157
Greg Strong,eng ENG,DF,19,1,0,45,0.5,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,12469566
Wayne Burnett,eng ENG,MF,23,1,0,22,0.2,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,af7999d7
Scott Taylor,eng ENG,FW,19,1,0,9,0.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9082c63e
Squad Total,,,27.1,38,418,3420,38.0,39,27,66,36,3,3,61,3,1.03,0.71,1.74,0.95,1.66,,-9999
Opponent Total,,,26.8,38,,3420,38.0,,,,,,,,,,,,,,,-9999
