,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Neville Southall,wls WAL,GK,36,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4ef5450a
Dave Watson,eng ENG,DF,33,34,34,2987,33.2,1,2,3,1,0,0,7,1,0.03,0.06,0.09,0.03,0.09,Matches,f41fba43
Andrei Kanchelskis,ru RUS,DFMF,26,32,32,2785,30.9,16,8,24,16,0,0,2,0,0.52,0.26,0.78,0.52,0.78,Matches,82fa1e78
David Unsworth,eng ENG,DF,21,31,28,2580,28.7,2,3,5,0,2,2,4,1,0.07,0.10,0.17,0.00,0.10,Matches,05fcbb55
Joe Parkinson,eng ENG,MF,24,28,28,2385,26.5,3,1,4,3,0,0,9,0,0.11,0.04,0.15,0.11,0.15,Matches,6782fb8f
Graham Stuart,eng ENG,FWMF,24,29,27,2488,27.6,9,3,12,9,0,0,3,0,0.33,0.11,0.43,0.33,0.43,Matches,159c714f
Barry Horne,wls WAL,MF,33,26,25,2249,25.0,1,2,3,1,0,0,9,1,0.04,0.08,0.12,0.04,0.12,Matches,2c1d83f7
John Ebbrell,eng ENG,MF,25,25,24,2126,23.6,4,1,5,4,0,0,5,0,0.17,0.04,0.21,0.17,0.21,Matches,175bbf7c
Andy Hinchcliffe,eng ENG,DF,26,28,23,2190,24.3,2,3,5,0,2,2,4,0,0.08,0.12,0.21,0.00,0.12,Matches,4bb95ffe
Craig Short,eng ENG,DF,27,23,22,1961,21.8,2,1,3,2,0,0,6,0,0.09,0.05,0.14,0.09,0.14,Matches,ff7178f7
Anders Limpar,se SWE,MF,29,28,22,1833,20.4,3,5,8,3,0,0,5,0,0.15,0.25,0.39,0.15,0.39,Matches,897b32c0
Paul Rideout,eng ENG,FW,30,25,19,1745,19.4,6,4,10,6,0,0,2,0,0.31,0.21,0.52,0.31,0.52,Matches,3ee2a1e0
Daniel Amokachi,ng NGA,FW,22,25,17,1745,19.4,6,3,9,6,0,0,1,0,0.31,0.15,0.46,0.31,0.46,Matches,e48e3d4e
Duncan Ferguson,sct SCO,FW,23,18,16,1462,16.2,5,2,7,5,0,0,4,0,0.31,0.12,0.43,0.31,0.43,Matches,9593e964
Matt Jackson,eng ENG,DF,23,14,14,1225,13.6,0,2,2,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,Matches,4b8b0f54
Gary Ablett,eng ENG,DF,29,13,13,1017,11.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,ab708080
Tony Grant,eng ENG,MF,20,13,11,949,10.5,1,5,6,1,0,0,1,0,0.09,0.47,0.57,0.09,0.57,Matches,e982e153
Marc Hottiger,ch SUI,DF,27,9,9,810,9.0,1,1,2,1,0,0,0,0,0.11,0.11,0.22,0.11,0.22,Matches,90a29591
Earl Barrett,eng ENG,DF,28,8,8,720,8.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,225696d1
Vinny Samways,eng ENG,MF,26,4,3,299,3.3,1,0,1,1,0,0,0,0,0.30,0.00,0.30,0.30,0.30,Matches,9dc41793
Jon O'Connor,eng ENG,DF,18,4,3,272,3.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,e13590f1
Michael Branch,eng ENG,FW,16,3,1,108,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2197c576
Paul Holmes,eng ENG,DF,27,1,1,90,1.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6d4ace8b
Stuart Barlow,eng ENG,FW,27,3,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,abea9969
Squad Total,,,27.7,38,423,3420,38.0,63,45,108,59,4,4,64,3,1.66,1.18,2.84,1.55,2.74,,-9999
Opponent Total,,,26.8,38,,3420,38.0,,,,,,,,,,,,,,,-9999
