,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Luděk Mikloško,cz CZE,GK,33,36,36,3191,35.5,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,e410880a
Marc Rieper,dk DEN,DF,27,36,35,3195,35.5,2,0,2,2,0,0,2,0,0.06,0.00,0.06,0.06,0.06,Matches,21e20305
Ian Bishop,eng ENG,MF,30,35,35,3106,34.5,1,4,5,1,0,0,3,0,0.03,0.12,0.14,0.03,0.14,Matches,40198f42
Julian Dicks,eng ENG,DF,26,34,34,3024,33.6,10,3,13,5,5,6,6,1,0.30,0.09,0.39,0.15,0.24,Matches,08be0359
Steve Potts,eng ENG,DF,28,34,34,3007,33.4,0,1,1,0,0,0,4,1,0.00,0.03,0.03,0.00,0.03,Matches,3607a95d
Iain Dowie,nir NIR,FW,30,33,33,2967,33.0,8,0,8,8,0,0,7,0,0.24,0.00,0.24,0.24,0.24,Matches,7853411c
Tony Cottee,eng ENG,FW,30,33,30,2598,28.9,10,2,12,10,0,0,1,0,0.35,0.07,0.42,0.35,0.42,Matches,111e8515
Danny Williamson,eng ENG,MF,21,29,28,2477,27.5,4,2,6,4,0,0,4,0,0.15,0.07,0.22,0.15,0.22,Matches,df79c399
Michael Hughes,nir NIR,MF,23,27,27,2377,26.4,0,6,6,0,0,0,2,0,0.00,0.23,0.23,0.00,0.23,Matches,65085487
Tim Breacker,eng ENG,DF,30,22,19,1808,20.1,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,298a0444
Keith Rowland,nir NIR,DF,23,23,19,1702,18.9,0,2,2,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,Matches,59b07c21
John Moncur,eng ENG,MF,28,20,19,1643,18.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,e982f824
Robbie Slater,au AUS,MF,30,22,16,1435,15.9,2,1,3,2,0,0,1,0,0.13,0.06,0.19,0.13,0.19,Matches,61b90583
Slaven Bilić,hr CRO,DF,26,13,13,1149,12.8,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,030928e4
Alvin Martin,eng ENG,DF,37,14,10,895,9.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2eb72478
Don Hutchison,sct SCO,MF,24,12,8,720,8.0,2,0,2,2,0,0,3,0,0.25,0.00,0.25,0.25,0.25,Matches,158494ce
John Harkes,us USA,MF,28,11,6,544,6.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,961ac34a
Dani,pt POR,FWMF,18,9,3,312,3.5,2,2,4,2,0,0,0,0,0.58,0.58,1.15,0.58,1.15,Matches,8215fbee
Martin Allen,eng ENG,MF,29,3,3,270,3.0,1,0,1,1,0,0,1,0,0.33,0.00,0.33,0.33,0.33,Matches,5cff621e
Kenny Brown,eng ENG,DF,28,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2e3ab301
Stan Lazaridis,au AUS,DFMF,22,4,2,197,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5350fc7f
Ilie Dumitrescu,ro ROU,FWMF,26,3,2,178,2.0,0,0,0,,,,0,0,0.00,0.00,0.00,,,Matches,c49a32f4
Neil Finn,eng ENG,GK,16,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4fda3659
Les Sealey,eng ENG,GK,37,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,45be8b64
Marco Boogers,nl NED,FW,28,4,0,100,1.1,0,1,1,0,0,0,0,1,0.00,0.90,0.90,0.00,0.90,Matches,a3d955cd
Frank Lampard,eng ENG,MF,17,2,0,30,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,268df6b1
Rio Ferdinand,eng ENG,DF,16,1,0,21,0.2,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,52465662
Mark Watson,eng ENG,FW,21,1,0,14,0.2,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f9a79736
Jeroen Boere,nl NED,FW,27,1,0,9,0.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6578819d
Adrian Whitbread,eng ENG,DF,23,2,0,7,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,46ca0fc6
Dale Gordon,eng ENG,MF,28,1,0,3,0.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,90aaef09
Squad Total,,,28.3,38,422,3420,38.0,43,29,72,38,5,6,52,4,1.13,0.76,1.89,1.00,1.76,,-9999
Opponent Total,,,26.9,38,,3420,38.0,,,,,,,,,,,,,,,-9999
