,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Nigel Winterburn,eng ENG,DF,32,38,38,3375,37.5,0,3,3,0,0,0,5,0,0.00,0.08,0.08,0.00,0.08,Matches,0672e24e
Martin Keown,eng ENG,DFMF,30,33,33,2951,32.8,1,2,3,1,0,0,7,0,0.03,0.06,0.09,0.03,0.09,Matches,b844a204
Steve Bould,eng ENG,DF,33,33,33,2908,32.3,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,42e0fd3a
Paul Merson,eng ENG,FWMF,28,32,32,2760,30.7,6,5,11,5,1,1,1,0,0.20,0.16,0.36,0.16,0.33,Matches,eba7e6fd
Lee Dixon,eng ENG,DF,32,32,31,2743,30.5,2,2,4,2,0,0,8,0,0.07,0.07,0.13,0.07,0.13,Matches,b6ba1615
Patrick Vieira,fr FRA,MF,20,31,30,2738,30.4,2,4,6,2,0,0,11,0,0.07,0.13,0.20,0.07,0.20,Matches,f90f1086
Ian Wright,eng ENG,FW,32,35,30,2702,30.0,23,4,27,19,4,4,10,1,0.77,0.13,0.90,0.63,0.77,Matches,60c275b3
Dennis Bergkamp,nl NED,FW,27,29,28,2379,26.4,12,9,21,9,3,3,5,1,0.45,0.34,0.79,0.34,0.68,Matches,d8703fda
David Platt,eng ENG,MF,30,28,27,2346,26.1,4,1,5,4,0,0,4,0,0.15,0.04,0.19,0.15,0.19,Matches,eded06bf
Tony Adams,eng ENG,DF,29,28,27,2254,25.0,3,1,4,3,0,0,7,2,0.12,0.04,0.16,0.12,0.16,Matches,26b5e727
David Seaman,eng ENG,GK,32,22,22,1980,22.0,0,1,1,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,Matches,2d578837
Ray Parlour,eng ENG,MF,23,30,17,1606,17.8,2,3,5,2,0,0,5,0,0.11,0.17,0.28,0.11,0.28,Matches,d567e937
John Lukic,eng ENG,GK,35,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,99095d88
John Hartson,wls WAL,FW,21,19,14,1221,13.6,3,2,5,3,0,0,7,1,0.22,0.15,0.37,0.22,0.37,Matches,10d28fb8
Andy Linighan,eng ENG,DF,34,11,10,948,10.5,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches,d2acfbec
Stephen Hughes,eng ENG,MF,19,14,9,877,9.7,1,0,1,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches,fe278764
Rémi Garde,fr FRA,DFMF,30,11,7,587,6.5,0,1,1,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,Matches,e603c6a9
Scott Marshall,sct SCO,DF,23,8,6,533,5.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,85bcb2e5
Steve Morrow,nir NIR,DFMF,26,14,5,546,6.1,0,1,1,0,0,0,1,0,0.00,0.16,0.16,0.00,0.16,Matches,6d8a536c
Paul Shaw,eng ENG,FWMF,22,8,1,207,2.3,2,2,4,2,0,0,0,0,0.87,0.87,1.74,0.87,1.74,Matches,26828c9a
Lee Harper,eng ENG,GK,24,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f2b5049d
Gavin McGowan,eng ENG,DFMF,20,1,1,89,1.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e4be205a
Matthew Rose,eng ENG,DF,20,1,1,76,0.8,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ed4d2206
Nicolas Anelka,fr FRA,FW,17,4,0,134,1.5,0,1,1,0,0,,0,0,0.00,0.67,0.67,0.00,0.67,Matches,931ed5e9
David Hillier,eng ENG,MF,26,2,0,22,0.2,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c3861872
Glenn Helder,nl NED,FWMF,27,2,0,15,0.2,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9cd12958
Paul Dickov,sct SCO,FW,23,1,0,7,0.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1ea43e27
Ian Selley,eng ENG,MF,22,1,0,6,0.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b01c7a45
Squad Total,,,29.2,38,402,3420,38.0,59,36,95,51,8,8,84,4,1.55,0.95,2.50,1.34,2.29,,-9999
Opponent Total,,,26.9,38,,3420,38.0,,,,,,,,,,,,,,,-9999
