,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Chris Powell,eng ENG,DF,26,35,35,3051,33.9,0,2,2,0,0,0,5,0,0.00,0.06,0.06,0.00,0.06,Matches,721060d9
Gary Rowett,eng ENG,DF,22,35,35,3003,33.4,1,1,2,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,Matches,92c33b52
Jacob Laursen,dk DEN,DF,24,36,35,2933,32.6,1,1,2,1,0,0,2,0,0.03,0.03,0.06,0.03,0.06,Matches,a976b649
Aljoša Asanović,hr CRO,MF,30,34,34,2928,32.5,6,3,9,3,3,4,3,0,0.18,0.09,0.28,0.09,0.18,Matches,fa316f21
Russell Hoult,eng ENG,GK,23,32,31,2835,31.5,0,1,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,Matches,92f8fb89
Christian Dailly,sct SCO,DF,22,36,31,2747,30.5,3,3,6,3,0,0,7,1,0.10,0.10,0.20,0.10,0.20,Matches,0210c453
Dean Sturridge,eng ENG,FW,23,30,29,2565,28.5,11,2,13,11,0,0,8,0,0.39,0.07,0.46,0.39,0.46,Matches,70e13fa1
Darryl Powell,jm JAM,MF,24,33,27,2461,27.3,1,2,3,1,0,0,6,1,0.04,0.07,0.11,0.04,0.11,Matches,4b351524
Ashley Ward,eng ENG,FW,25,30,25,2172,24.1,8,2,10,8,0,0,2,0,0.33,0.08,0.41,0.33,0.41,Matches,3df77824
Paul McGrath,ie IRL,DF,36,24,23,2059,22.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,2f129582
Igor Štimac,hr CRO,DF,28,21,21,1874,20.8,1,2,3,1,0,0,11,0,0.05,0.10,0.14,0.05,0.14,Matches,7bcb9285
Lee Carsley,ie IRL,MF,22,24,15,1526,17.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,8393a60b
Robin van der Laan,nl NED,MF,27,16,15,1286,14.3,2,0,2,2,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches,ed85c206
Paul Trollope,wls WAL,MF,24,14,13,1215,13.5,1,1,2,1,0,0,0,0,0.07,0.07,0.15,0.07,0.15,Matches,35dfdd2a
Sean Flynn,eng ENG,MF,28,17,10,983,10.9,1,1,2,1,0,0,0,0,0.09,0.09,0.18,0.09,0.18,Matches,256609db
Dean Yates,eng ENG,DF,28,10,8,712,7.9,0,1,1,0,0,0,0,0,0.00,0.13,0.13,0.00,0.13,Matches,b83001b0
Ron Willems,nl NED,FW,29,16,7,670,7.4,2,0,2,2,0,0,0,0,0.27,0.00,0.27,0.27,0.27,Matches,8d5a668a
Matt Carbon,eng ENG,DF,21,10,6,564,6.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,74497147
Marco Gabbiadini,eng ENG,FW,28,14,5,618,6.9,0,1,1,0,0,0,1,0,0.00,0.15,0.15,0.00,0.15,Matches,62eb5084
Paul Parker,eng ENG,DF,32,4,4,355,3.9,0,0,0,,,,1,0,0.00,0.00,0.00,,,Matches,90464ad8
Mart Poom,ee EST,GK,24,4,4,315,3.5,0,1,1,0,0,0,0,0,0.00,0.29,0.29,0.00,0.29,Matches,f60f19b7
Martin Taylor,eng ENG,GK,29,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,16934f3d
Paulo Wanchope,cr CRC,FW,20,5,2,232,2.6,1,1,2,1,0,0,0,0,0.39,0.39,0.78,0.39,0.78,Matches,3ab888b3
Paul Simpson,eng ENG,MF,30,19,0,311,3.5,2,0,2,2,0,0,0,0,0.58,0.00,0.58,0.58,0.58,Matches,be091fcf
Mauricio Solís,cr CRC,MF,23,2,0,28,0.3,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6f4d46f4
Marino Rahmberg,se SWE,FW,21,1,0,9,0.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fc7170a9
Squad Total,,,26.1,38,414,3420,38.0,42,34,76,39,3,4,63,1,1.11,0.89,2.00,1.03,1.92,,-9999
Opponent Total,,,27.0,38,,3420,38.0,,,,,,,,,,,,,,,-9999
