,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Juninho Paulista,br BRA,MF,23,35,34,3036,33.7,12,8,20,12,0,0,5,0,0.36,0.24,0.59,0.36,0.59,Matches,093373a5
Fabrizio Ravanelli,it ITA,FW,27,33,33,2853,31.7,16,4,20,13,3,4,7,1,0.50,0.13,0.63,0.41,0.54,Matches,dc462766
Emerson,br BRA,MF,24,32,32,2793,31.0,4,7,11,3,1,2,11,0,0.13,0.23,0.35,0.10,0.32,Matches,7b167dbb
Robbie Mustoe,eng ENG,MF,27,31,31,2790,31.0,3,3,6,3,0,0,10,0,0.10,0.10,0.19,0.10,0.19,Matches,2c02df03
Curtis Fleming,ie IRL,DF,27,30,30,2700,30.0,0,2,2,0,0,0,4,0,0.00,0.07,0.07,0.00,0.07,Matches,2b507014
Neil Cox,eng ENG,DF,24,31,29,2650,29.4,0,2,2,0,0,0,9,0,0.00,0.07,0.07,0.00,0.07,Matches,dee2b65d
Steve Vickers,eng ENG,DF,28,29,26,2349,26.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,4b0dbeef
Mikkel Beck,dk DEN,FW,23,25,22,2006,22.3,5,3,8,5,0,0,0,0,0.22,0.13,0.36,0.22,0.36,Matches,e68ed370
Derek Whyte,sct SCO,DF,27,21,20,1705,18.9,0,1,1,0,0,0,6,0,0.00,0.05,0.05,0.00,0.05,Matches,97e8d820
Craig Hignett,eng ENG,FWMF,26,22,19,1627,18.1,4,3,7,3,1,2,3,0,0.22,0.17,0.39,0.17,0.33,Matches,04f2da3e
Nigel Pearson,eng ENG,DF,32,18,17,1479,16.4,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,abe6b945
Phil Stamp,eng ENG,MF,20,24,15,1499,16.7,1,2,3,1,0,0,4,0,0.06,0.12,0.18,0.06,0.18,Matches,f50ed0f5
Clayton Blackmore,wls WAL,DFMF,31,16,14,1257,14.0,2,0,2,2,0,0,2,1,0.14,0.00,0.14,0.14,0.14,Matches,bd616538
Gianluca Festa,it ITA,DF,27,13,13,1170,13.0,1,0,1,1,0,0,5,0,0.08,0.00,0.08,0.08,0.08,Matches,1cada5ff
Gary Walsh,eng ENG,GK,28,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,82dc3961
Alan Miller,eng ENG,GK,26,10,10,900,10.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ba82c15d
Nick Barmby,eng ENG,FWMF,22,10,10,889,9.9,1,1,2,1,0,0,0,0,0.10,0.10,0.20,0.10,0.20,Matches,4af0a400
Alan Moore,ie IRL,MF,21,17,10,796,8.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,ee3b147f
Ben Roberts,eng ENG,GK,21,10,9,850,9.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c6816db7
Phil Whelan,eng ENG,DF,24,9,9,783,8.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,e2887e98
Mark Schwarzer,au AUS,GK,23,7,7,612,6.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,da409c6f
Craig Liddle,eng ENG,DF,24,5,5,450,5.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2b5b82c1
Vladimír Kinder,sk SVK,DF,27,6,4,372,4.1,1,0,1,1,0,0,0,0,0.24,0.00,0.24,0.24,0.24,Matches,1fd4f002
Chris Morris,ie IRL,DF,32,4,3,287,3.2,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0412a4df
Jan Åge Fjørtoft,no NOR,FW,29,5,2,214,2.4,1,0,1,1,0,0,0,0,0.42,0.00,0.42,0.42,0.42,Matches,c5694827
Branco,br BRA,DF,32,2,1,92,1.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7691db8d
Bryan Robson,eng ENG,MF,39,1,1,90,1.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,40d8240b
Andy Campbell,eng ENG,FW,17,3,0,98,1.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8dde3e19
Chris Freestone,eng ENG,FW,24,3,0,87,1.0,0,1,1,0,0,,0,0,0.00,1.03,1.03,0.00,1.03,Matches,bc5ee3a8
Mark Summerbell,eng ENG,MF,19,2,0,67,0.7,0,0,0,0,0,,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f92c694b
Squad Total,,,26.2,38,403,3420,38.0,50,29,79,45,5,8,74,3,1.32,0.76,2.08,1.18,1.95,,-9999
Opponent Total,,,27.1,38,,3420,38.0,,,,,,,,,,,,,,,-9999
