,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Neil Redfearn,eng ENG,MF,32,37,37,3330,37.0,10,2,12,8,2,3,3,0,0.27,0.05,0.32,0.22,0.27,Matches,f4e2bac4
Darren Barnard,wls WAL,DFMF,25,35,33,2919,32.4,2,4,6,2,0,0,6,1,0.06,0.12,0.18,0.06,0.18,Matches,85edbb30
Nicky Eaden,eng ENG,DF,24,35,32,2997,33.3,0,1,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matches,6963d1d1
Adie Moses,eng ENG,DF,22,35,32,2916,32.4,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,97d3ebea
David Watson,eng ENG,GK,23,30,30,2645,29.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,26efe836
Ashley Ward,eng ENG,FW,26,29,28,2468,27.4,8,2,10,8,0,0,5,0,0.29,0.07,0.36,0.29,0.36,Matches,3df77824
Arjan de Zeeuw,nl NED,DF,27,26,26,2340,26.0,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches,93d6bcd9
Martin Bullock,eng ENG,MF,22,33,23,2195,24.4,0,8,8,0,0,,4,0,0.00,0.33,0.33,0.00,0.33,Matches,c8d9b61d
Eric Tinkler,za RSA,MF,27,25,21,1841,20.5,2,0,2,2,0,0,4,0,0.10,0.00,0.10,0.10,0.10,Matches,39eca2f3
Darren Sheridan,eng ENG,MF,29,26,20,1855,20.6,0,2,2,0,0,0,6,1,0.00,0.10,0.10,0.00,0.10,Matches,15e22c0f
Andy Liddell,sct SCO,FWMF,24,26,13,1207,13.4,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches,3d58e4b8
Jovo Bosančić,rs SRB,MF,26,17,13,1192,13.2,2,0,2,1,1,2,7,1,0.15,0.00,0.15,0.08,0.08,Matches,e5932d17
Matty Appleby,eng ENG,MF,25,15,13,1056,11.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,99a2a4ce
Scott Jones,eng ENG,DF,22,12,12,1013,11.3,1,0,1,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,Matches,e7549c33
Jan Åge Fjørtoft,no NOR,FW,30,15,12,954,10.6,6,0,6,6,0,0,0,0,0.57,0.00,0.57,0.57,0.57,Matches,c5694827
Aleš Križan,si SVN,DF,26,12,12,895,9.9,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches,4a7ee20d
Gjorgji Hristov,mk MKD,FW,21,23,11,1144,12.7,4,0,4,4,0,0,4,1,0.31,0.00,0.31,0.31,0.31,Matches,8e236141
Chris Morgan,eng ENG,DF,19,11,10,906,10.1,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,1af5f23a
Clint Marcelle,tt TRI,FW,28,20,9,905,10.1,0,1,1,0,0,0,0,0,0.00,0.10,0.10,0.00,0.10,Matches,eec485ca
Lars Leese,de GER,GK,27,9,8,775,8.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5b6cf7ff
John Hendrie,sct SCO,FWMF,33,20,7,823,9.1,1,0,1,1,0,0,0,0,0.11,0.00,0.11,0.11,0.11,Matches,aedb61c3
Peter Markstedt,se SWE,DFFW,25,7,6,510,5.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,0912d07c
Peter Shirtliff,eng ENG,DF,36,4,4,286,3.2,0,0,0,0,0,,1,0,0.00,0.00,0.00,0.00,0.00,Matches,4311bcd2
Neil Thompson,eng ENG,DF,33,3,3,248,2.8,0,0,0,0,0,,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7f572947
Paul Wilkinson,eng ENG,FW,32,4,3,232,2.6,0,1,1,0,0,,0,0,0.00,0.39,0.39,0.00,0.39,Matches,05b94f7b
Laurens ten Heuvel,nl NED,FW,21,2,0,57,0.6,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2ad975e2
Squad Total,,,26.2,38,387,3420,38.0,37,18,55,34,3,5,69,5,0.97,0.47,1.45,0.89,1.37,,-9999
Opponent Total,,,26.8,38,,3420,38.0,,,,,,,,,,,,,,,-9999
