,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Dion Dublin,eng ENG,DFFW,28,36,36,3191,35.5,18,10,28,13,5,7,4,1,0.51,0.28,0.79,0.37,0.65,Matches,a0886d18
David Burrows,eng ENG,DF,28,33,33,2970,33.0,0,2,2,0,0,0,8,0,0.00,0.06,0.06,0.00,0.06,Matches,d806427e
Richard Shaw,eng ENG,DF,28,33,33,2959,32.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,88b5bd84
Paul Telfer,sct SCO,DFMF,25,33,33,2906,32.3,3,3,6,3,0,0,9,0,0.09,0.09,0.19,0.09,0.19,Matches,7b3990c5
Roland Nilsson,se SWE,DFFW,33,32,32,2880,32.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,0ab916bf
Darren Huckerby,eng ENG,FWMF,21,34,32,2775,30.8,14,1,15,14,0,0,9,0,0.45,0.03,0.49,0.45,0.49,Matches,906c8f78
Gary Breen,ie IRL,DF,23,30,30,2646,29.4,1,1,2,1,0,0,2,1,0.03,0.03,0.07,0.03,0.07,Matches,9922c8b8
Trond Egil Soltvedt,no NOR,MF,30,30,26,2309,25.7,1,4,5,1,0,0,1,0,0.04,0.16,0.19,0.04,0.19,Matches,6b5cedc7
Steve Ogrizovic,eng ENG,GK,39,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3f847d67
Noel Whelan,eng ENG,FW,22,21,21,1851,20.6,6,2,8,6,0,0,4,0,0.29,0.10,0.39,0.29,0.39,Matches,901c3bdf
Marcus Hall,eng ENG,DF,21,25,20,1846,20.5,1,1,2,1,0,0,8,0,0.05,0.05,0.10,0.05,0.10,Matches,10a2c499
Paul Williams,eng ENG,DF,26,20,17,1487,16.5,0,0,0,0,0,0,11,2,0.00,0.00,0.00,0.00,0.00,Matches,651f09cc
Magnus Hedman,se SWE,GK,24,14,14,1260,14.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,258a16fd
Gary McAllister,sct SCO,MF,32,14,14,1147,12.7,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches,19f7edbc
George Boateng,nl NED,MF,21,14,14,1140,12.7,1,0,1,1,0,0,5,1,0.08,0.00,0.08,0.08,0.08,Matches,a44a9f65
John Salako,eng ENG,MF,28,11,11,941,10.5,0,1,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches,2749f5b7
Willie Boland,ie IRL,MF,21,19,8,927,10.3,0,1,1,0,0,0,4,0,0.00,0.10,0.10,0.00,0.10,Matches,be13a103
Viorel Moldovan,ro ROU,FW,25,10,5,477,5.3,1,0,1,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches,cc1b9a50
Simon Haworth,wls WAL,FW,20,10,4,398,4.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,817ff2ee
Kevin Richardson,eng ENG,MF,34,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cffbb5c8
Michael O'Neill,nir NIR,MF,28,4,2,163,1.8,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9c4b0f99
Sam Shilton,eng ENG,DFMF,19,2,2,159,1.8,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eae18630
Gavin Strachan,sct SCO,MF,18,7,1,232,2.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d12f06f6
Kyle Lightbourne,bm BER,FW,28,7,1,200,2.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,b8e74187
Andy Ducros,eng ENG,FW,19,3,1,140,1.6,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eaa019f3
Martin Johansen,dk DEN,MF,25,2,0,39,0.4,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cb34f4de
Squad Total,,,27.3,38,398,3420,38.0,46,32,78,41,5,7,72,5,1.21,0.84,2.05,1.08,1.92,,-9999
Opponent Total,,,26.6,38,,3420,38.0,,,,,,,,,,,,,,,-9999
