,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Kevin Miller,eng ENG,GK,28,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0311ee41
Dean Gordon,eng ENG,DFMF,24,37,36,3268,36.3,2,3,5,2,0,0,3,0,0.06,0.08,0.14,0.06,0.14,Matches,6405b4da
Marc Edworthy,eng ENG,DF,24,34,33,2938,32.6,0,1,1,0,0,0,6,1,0.00,0.03,0.03,0.00,0.03,Matches,fc761a49
Simon Rodger,eng ENG,MF,25,29,27,2380,26.4,2,4,6,2,0,0,2,0,0.08,0.15,0.23,0.08,0.23,Matches,673eb256
Hermann Hreiðarsson,is ISL,DF,23,30,26,2396,26.6,2,0,2,2,0,0,8,0,0.08,0.00,0.08,0.08,0.08,Matches,18e3787e
Andy Linighan,eng ENG,DF,35,26,26,2312,25.7,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches,d2acfbec
Andy Roberts,eng ENG,MF,23,25,25,2207,24.5,0,1,1,0,0,0,5,0,0.00,0.04,0.04,0.00,0.04,Matches,7666f4b8
Paul Warhurst,eng ENG,DFMF,27,22,22,1860,20.7,3,3,6,3,0,0,3,0,0.15,0.15,0.29,0.15,0.29,Matches,86810d2a
Attilio Lombardo,it ITA,MF,31,24,21,1844,20.5,5,6,11,5,0,0,3,0,0.24,0.29,0.54,0.24,0.54,Matches,367b041c
Bruce Dyer,eng ENG,FW,22,24,21,1692,18.8,4,1,5,3,1,2,4,0,0.21,0.05,0.27,0.16,0.21,Matches,7d5f8f39
Jamie Fullarton,sct SCO,MF,23,25,19,1781,19.8,1,1,2,1,0,0,11,0,0.05,0.05,0.10,0.05,0.10,Matches,f002f9e6
Neil Shipperley,eng ENG,FW,22,26,17,1593,17.7,7,2,9,7,0,0,1,0,0.40,0.11,0.51,0.40,0.51,Matches,82dabdf3
Jamie Smith,eng ENG,DF,22,18,16,1456,16.2,0,2,2,0,0,0,2,1,0.00,0.12,0.12,0.00,0.12,Matches,35b9ebac
Tomas Brolin,se SWE,FWMF,27,13,13,1104,12.3,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,73ff83e0
Valérien Ismaël,fr FRA,DF,21,13,13,1074,11.9,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,a3d06a0f
Marcus Bent,eng ENG,FW,19,16,10,931,10.3,5,1,6,5,0,0,2,0,0.48,0.10,0.58,0.48,0.58,Matches,69166246
Kevin Muscat,au AUS,DFMF,23,9,9,741,8.2,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,9bd18f14
Neil Emblen,eng ENG,DFMF,26,13,8,704,7.8,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,d9627cd6
Dave Tuttle,eng ENG,DF,25,9,8,692,7.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,f2984cf9
Michele Padovano,it ITA,FW,30,10,8,586,6.5,1,0,1,1,0,,2,0,0.15,0.00,0.15,0.15,0.15,Matches,560b9183
Saša Ćurčić,,MF,25,8,6,529,5.9,1,1,2,1,0,0,0,0,0.17,0.17,0.34,0.17,0.34,Matches,c62ba448
Matt Jansen,eng ENG,FW,19,8,5,546,6.1,3,0,3,3,0,0,0,0,0.49,0.00,0.49,0.49,0.49,Matches,fac73006
Itzik Zohar,il ISR,MF,26,6,4,231,2.6,0,1,1,0,0,0,0,0,0.00,0.39,0.39,0.00,0.39,Matches,a4e6752e
Dougie Freedman,sct SCO,FW,23,8,2,275,3.1,0,1,1,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches,40d2372e
