,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Mart Poom,ee EST,GK,25,36,36,3240,36.0,0,1,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,Matches,f60f19b7
Chris Powell,eng ENG,DF,27,37,35,3187,35.4,1,2,3,1,0,0,3,0,0.03,0.06,0.08,0.03,0.08,Matches,721060d9
Lee Carsley,ie IRL,MF,23,34,34,3060,34.0,1,0,1,1,0,0,10,0,0.03,0.00,0.03,0.03,0.03,Matches,8393a60b
Gary Rowett,eng ENG,DF,23,35,32,2897,32.2,1,3,4,1,0,0,4,0,0.03,0.09,0.12,0.03,0.12,Matches,92c33b52
Francesco Baiano,it ITA,FW,29,34,31,2542,28.2,12,6,18,12,0,0,2,0,0.42,0.21,0.64,0.42,0.64,Matches,ae7e3208
Christian Dailly,sct SCO,DF,23,30,30,2700,30.0,1,1,2,1,0,0,7,0,0.03,0.03,0.07,0.03,0.07,Matches,0210c453
Paulo Wanchope,cr CRC,FW,21,32,30,2659,29.5,13,5,18,12,1,2,8,0,0.44,0.17,0.61,0.41,0.58,Matches,3ab888b3
Jacob Laursen,dk DEN,DF,25,28,27,2328,25.9,1,0,1,1,0,0,5,0,0.04,0.00,0.04,0.04,0.04,Matches,a976b649
Dean Sturridge,eng ENG,FW,24,30,24,2180,24.2,9,3,12,9,0,0,8,0,0.37,0.12,0.50,0.37,0.50,Matches,70e13fa1
Stefano Eranio,it ITA,MF,30,23,23,1687,18.7,5,2,7,1,4,4,11,2,0.27,0.11,0.37,0.05,0.16,Matches,a16efcb5
Igor Štimac,hr CRO,DF,29,22,22,1943,21.6,1,0,1,1,0,0,6,0,0.05,0.00,0.05,0.05,0.05,Matches,7bcb9285
Deon Burton,jm JAM,FW,20,29,12,1254,13.9,3,4,7,3,0,0,0,0,0.22,0.29,0.50,0.22,0.50,Matches,c0567c0f
Darryl Powell,jm JAM,MF,25,23,12,1131,12.6,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,4b351524
Rory Delap,ie IRL,MF,21,13,10,924,10.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,9b0dac73
Dean Yates,eng ENG,DF,29,9,8,753,8.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b83001b0
Lars Bohinen,no NOR,MF,27,8,8,709,7.9,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches,bdb7e1b5
Jonathan Hunt,eng ENG,MF,25,19,7,837,9.3,1,1,2,1,0,0,3,0,0.11,0.11,0.22,0.11,0.22,Matches,454fa3cd
Robin van der Laan,nl NED,MF,28,10,7,585,6.5,0,1,1,0,0,0,2,0,0.00,0.15,0.15,0.00,0.15,Matches,ed85c206
Rob Kozluk,eng ENG,DF,19,9,6,607,6.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9c6a1f88
Paul Trollope,wls WAL,MF,25,10,4,521,5.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,35dfdd2a
Ron Willems,nl NED,FW,30,10,3,425,4.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8d5a668a
Mauricio Solís,cr CRC,MF,24,9,3,287,3.2,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6f4d46f4
Aljoša Asanović,hr CRO,MF,31,4,3,253,2.8,1,1,2,0,1,,1,0,0.36,0.36,0.71,0.00,0.36,Matches,fa316f21
Matt Carbon,eng ENG,DF,22,4,3,210,2.3,0,0,0,0,0,,1,0,0.00,0.00,0.00,0.00,0.00,Matches,74497147
Steve Elliott,eng ENG,DF,18,3,3,189,2.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2fc040aa
Ashley Ward,eng ENG,FW,26,3,2,225,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3df77824
Russell Hoult,eng ENG,GK,24,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,92f8fb89
Paul Simpson,eng ENG,MF,31,1,1,45,0.5,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,be091fcf
Squad Total,,,25.5,38,416,3420,38.0,52,36,88,47,5,6,84,2,1.37,0.95,2.32,1.24,2.18,,-9999
Opponent Total,,,26.7,38,,3420,38.0,,,,,,,,,,,,,,,-9999
