,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Matt Elliott,sct SCO,DF,28,37,37,3330,37.0,7,3,10,6,1,1,7,0,0.19,0.08,0.27,0.16,0.24,Matches,c1033941
Steve Guppy,eng ENG,MF,28,37,37,3314,36.8,2,10,12,2,0,0,4,0,0.05,0.27,0.33,0.05,0.33,Matches,3c05bb47
Neil Lennon,nir NIR,MF,26,37,37,3314,36.8,2,2,4,2,0,0,6,0,0.05,0.05,0.11,0.05,0.11,Matches,ad2d42ae
Muzzy Izzet,tr TUR,MF,22,36,36,3119,34.7,4,4,8,4,0,0,5,0,0.12,0.12,0.23,0.12,0.23,Matches,aeeddfc4
Emile Heskey,eng ENG,FW,19,35,35,3131,34.8,10,5,15,10,0,0,4,1,0.29,0.14,0.43,0.29,0.43,Matches,30184789
Pontus Kåmark,se SWE,DF,28,35,35,3119,34.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,564eb30e
Kasey Keller,us USA,GK,27,32,32,2880,32.0,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,5b5bcd83
Robbie Savage,wls WAL,MF,22,35,28,2577,28.6,2,2,4,2,0,0,4,0,0.07,0.07,0.14,0.07,0.14,Matches,f60a24de
Spencer Prior,eng ENG,DF,26,30,28,2477,27.5,0,1,1,0,0,0,2,0,0.00,0.04,0.04,0.00,0.04,Matches,d68181d1
Steve Walsh,eng ENG,DF,32,26,23,1897,21.1,3,1,4,3,0,0,4,0,0.14,0.05,0.19,0.14,0.19,Matches,3e59c893
Ian Marshall,eng ENG,DFFW,31,24,22,1828,20.3,7,0,7,7,0,0,2,0,0.34,0.00,0.34,0.34,0.34,Matches,859cc903
Garry Parker,eng ENG,MF,31,22,15,1311,14.6,3,2,5,0,3,3,1,0,0.21,0.14,0.34,0.00,0.14,Matches,54ae7f03
Theodoros Zagorakis,gr GRE,MF,25,14,12,997,11.1,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,d3397c3e
Steve Claridge,eng ENG,FW,31,17,10,886,9.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,77fcd60c
Graham Fenton,eng ENG,MF,23,23,9,978,10.9,3,1,4,3,0,0,1,0,0.28,0.09,0.37,0.28,0.37,Matches,d2fd5e70
Tony Cottee,eng ENG,FW,32,19,7,714,7.9,4,0,4,4,0,0,0,0,0.50,0.00,0.50,0.50,0.50,Matches,111e8515
Pegguy Arphexad,fr FRA,GK,24,6,6,540,6.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,611e7e91
Stuart Campbell,sct SCO,MF,19,11,6,532,5.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,59996464
Robert Ullathorne,eng ENG,DF,25,6,3,276,3.1,1,0,1,1,0,0,0,1,0.33,0.00,0.33,0.33,0.33,Matches,c251e372
Stuart Wilson,eng ENG,MF,19,11,0,222,2.5,2,1,3,2,0,0,0,0,0.81,0.41,1.22,0.81,1.22,Matches,52003774
Julian Watts,eng ENG,DF,26,3,0,117,1.3,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4e30bcf6
Sam McMahon,eng ENG,MF,21,1,0,14,0.2,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0f3338a6
Squad Total,,,26.6,38,418,3420,38.0,51,40,91,47,4,4,46,2,1.34,1.05,2.39,1.24,2.29,,-9999
Opponent Total,,,26.8,38,,3420,38.0,,,,,,,,,,,,,,,-9999
