,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Stephen Carr,ie IRL,DF,20,38,37,3274,36.4,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,eb0ae1e9
Sol Campbell,eng ENG,DFFW,22,34,34,2938,32.6,0,1,1,0,0,0,5,0,0.00,0.03,0.03,0.00,0.03,Matches,3e3b2fbd
David Ginola,fr FRA,FWMF,30,34,34,2911,32.3,6,9,15,6,0,1,7,0,0.19,0.28,0.46,0.19,0.46,Matches,189225b3
Ruel Fox,ms MSR,MF,29,32,32,2706,30.1,3,5,8,3,0,0,4,0,0.10,0.17,0.27,0.10,0.27,Matches,ec357eb1
Ian Walker,eng ENG,GK,25,29,29,2610,29.0,0,1,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,Matches,78a90cec
Ramon Vega,ch SUI,DF,26,25,22,2073,23.0,3,1,4,3,0,0,7,1,0.13,0.04,0.17,0.13,0.17,Matches,dc2ddfb5
Colin Calderwood,sct SCO,DF,32,26,21,1980,22.0,4,0,4,4,0,0,3,0,0.18,0.00,0.18,0.18,0.18,Matches,2903aa4a
Allan Nielsen,dk DEN,MF,26,26,21,1890,21.0,3,3,6,3,0,0,3,0,0.14,0.14,0.29,0.14,0.29,Matches,daa8f643
Les Ferdinand,eng ENG,FW,30,21,19,1597,17.7,5,5,10,5,0,1,2,0,0.28,0.28,0.56,0.28,0.56,Matches,aad47f5a
Nicola Berti,it ITA,MF,30,17,17,1418,15.8,3,3,6,3,0,0,5,0,0.19,0.19,0.38,0.19,0.38,Matches,b957fe09
Clive Wilson,eng ENG,DF,35,16,16,1287,14.3,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,de2ad53e
Jürgen Klinsmann,de GER,FW,33,15,15,1281,14.2,9,5,14,9,0,0,1,0,0.63,0.35,0.98,0.63,0.98,Matches,7f97bf11
David Howells,eng ENG,MF,29,20,14,1398,15.5,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,cc7c360e
Andy Sinton,eng ENG,MF,31,19,14,1141,12.7,0,4,4,0,0,0,1,0,0.00,0.32,0.32,0.00,0.32,Matches,d74cafe4
Chris Armstrong,eng ENG,FW,26,19,13,1284,14.3,5,0,5,5,0,0,2,0,0.35,0.00,0.35,0.35,0.35,Matches,effa559a
Justin Edinburgh,eng ENG,DF,27,16,13,1050,11.7,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches,17743284
Stephen Clemence,eng ENG,MF,19,17,12,1211,13.5,0,1,1,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,31f20410
John Scales,eng ENG,DF,31,10,9,837,9.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1c67bd76
Espen Baardsen,no NOR,GK,19,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7bfd3eff
José Dominguez,pt POR,MF,23,18,8,883,9.8,2,1,3,2,0,0,4,0,0.20,0.10,0.31,0.20,0.31,Matches,472117c8
Steffen Iversen,no NOR,FW,20,13,8,818,9.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,6454b97e
Gary Mabbutt,eng ENG,DFMF,35,11,8,745,8.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,be519c25
Darren Anderton,eng ENG,MF,25,15,7,653,7.3,0,1,1,0,0,0,0,0,0.00,0.14,0.14,0.00,0.14,Matches,09cebe50
Moussa Saïb,dz ALG,MF,28,9,3,317,3.5,1,1,2,1,0,0,0,0,0.28,0.28,0.57,0.28,0.57,Matches,5f923d76
Paul Mahorn,eng ENG,FW,23,2,2,126,1.4,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f39c7cf5
Rory Allen,eng ENG,FW,19,4,1,75,0.8,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a6e9d64f
Garry Brady,sct SCO,MF,20,9,0,145,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,28cefe8a
Neale Fenn,ie IRL,FW,20,4,0,88,1.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a6603b18
Squad Total,,,27.3,38,415,3420,38.0,44,39,83,44,0,2,60,2,1.16,1.03,2.18,1.16,2.18,,-9999
Opponent Total,,,26.7,38,,3420,38.0,,,,,,,,,,,,,,,-9999
