,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Gareth Southgate,eng ENG,DF,27,38,38,3420,38.0,1,0,1,1,0,0,5,0,0.03,0.00,0.03,0.03,0.03,Matches,a29c3ed6
Alan Wright,eng ENG,DF,26,38,38,3405,37.8,0,2,2,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches,df6cf3fe
Lee Hendrie,eng ENG,MF,21,32,31,2796,31.1,3,6,9,2,1,1,8,0,0.10,0.19,0.29,0.06,0.26,Matches,8716663c
Ian Taylor,eng ENG,MF,30,33,31,2665,29.6,4,4,8,4,0,0,7,0,0.14,0.14,0.27,0.14,0.27,Matches,daa71b88
Julian Joachim,eng ENG,FW,23,36,29,2689,29.9,14,4,18,13,1,1,1,0,0.47,0.13,0.60,0.44,0.57,Matches,2a0f531a
Gareth Barry,eng ENG,MF,17,32,27,2439,27.1,2,1,3,2,0,0,3,0,0.07,0.04,0.11,0.07,0.11,Matches,7dbbe367
Steve Watson,eng ENG,DFMF,24,27,26,2233,24.8,0,3,3,0,0,0,2,1,0.00,0.12,0.12,0.00,0.12,Matches,302d8e76
Dion Dublin,eng ENG,DFFW,29,24,24,2013,22.4,11,2,13,,,,4,0,0.49,0.09,0.58,,,Matches,a0886d18
Ugo Ehiogu,eng ENG,DF,25,25,23,2065,22.9,2,2,4,2,0,0,3,0,0.09,0.09,0.17,0.09,0.17,Matches,bd8d3cd5
Michael Oakes,eng ENG,GK,24,23,23,2037,22.6,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,af24b12a
Paul Merson,eng ENG,FWMF,30,26,21,1889,21.0,5,2,7,5,0,1,2,0,0.24,0.10,0.33,0.24,0.33,Matches,eba7e6fd
Alan Thompson,eng ENG,MF,24,25,20,1764,19.6,2,3,5,2,0,1,6,0,0.10,0.15,0.26,0.10,0.26,Matches,2eaac012
Riccardo Scimeca,eng ENG,DFMF,23,18,16,1386,15.4,2,0,2,2,0,0,3,0,0.13,0.00,0.13,0.13,0.13,Matches,a0a691c9
Mark Bosnich,au AUS,GK,26,15,15,1350,15.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9b46bcb7
Mark Draper,eng ENG,MF,27,23,13,1175,13.1,2,0,2,2,0,0,4,0,0.15,0.00,0.15,0.15,0.15,Matches,bf597500
Stan Collymore,eng ENG,FW,27,20,11,1129,12.5,1,3,4,1,0,0,7,1,0.08,0.24,0.32,0.08,0.32,Matches,eed4ff30
Gary Charles,eng ENG,DF,28,11,10,844,9.4,1,0,1,1,0,0,2,0,0.11,0.00,0.11,0.11,0.11,Matches,c20cb242
Steve Stone,eng ENG,MF,26,10,9,814,9.0,0,3,3,,,,1,0,0.00,0.33,0.33,,,Matches,4592c48e
Colin Calderwood,sct SCO,DF,33,8,8,678,7.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2903aa4a
Simon Grayson,eng ENG,DF,28,15,4,531,5.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,c4c559e6
Dwight Yorke,tt TRI,FWMF,26,1,1,90,1.0,0,0,0,,,,0,0,0.00,0.00,0.00,,,Matches,2d0a99d3
Darius Vassell,eng ENG,FWMF,18,6,0,88,1.0,0,1,1,0,0,0,0,0,0.00,1.02,1.02,0.00,1.02,Matches,e342b5e7
Adam Rachel,eng ENG,GK,21,1,0,33,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,68cc1cd3
Mark Delaney,wls WAL,DF,22,2,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,882f42b8
Squad Total,,,25.9,38,436,3420,38.0,50,32,82,48,2,4,65,2,1.32,0.84,2.16,1.26,2.11,,-9999
Opponent Total,,,27.0,38,,3420,38.0,,,,,,,,,,,,,,,-9999
