,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Steve Guppy,eng ENG,MF,29,38,38,3420,38.0,4,11,15,4,0,0,3,0,0.11,0.29,0.39,0.11,0.39,Matches,3c05bb47
Matt Elliott,sct SCO,DF,29,37,37,3306,36.7,3,2,5,2,1,2,7,0,0.08,0.05,0.14,0.05,0.11,Matches,c1033941
Neil Lennon,nir NIR,MF,27,37,37,3295,36.6,1,3,4,1,0,0,6,0,0.03,0.08,0.11,0.03,0.11,Matches,ad2d42ae
Kasey Keller,us USA,GK,28,36,36,3167,35.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,5b5bcd83
Muzzy Izzet,tr TUR,MF,23,31,31,2686,29.8,5,2,7,5,0,0,2,0,0.17,0.07,0.23,0.17,0.23,Matches,aeeddfc4
Frank Sinclair,jm JAM,DF,26,31,30,2640,29.3,1,0,1,1,0,0,11,1,0.03,0.00,0.03,0.03,0.03,Matches,02942593
Emile Heskey,eng ENG,FW,20,30,29,2589,28.8,6,3,9,6,0,0,3,0,0.21,0.10,0.31,0.21,0.31,Matches,30184789
Tony Cottee,eng ENG,FW,33,31,29,2511,27.9,10,0,10,10,0,0,1,0,0.36,0.00,0.36,0.36,0.36,Matches,111e8515
Robbie Savage,wls WAL,MF,23,34,29,2509,27.9,1,2,3,1,0,0,3,0,0.04,0.07,0.11,0.04,0.11,Matches,f60a24de
Robert Ullathorne,eng ENG,DF,26,25,25,2170,24.1,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches,c251e372
Steve Walsh,eng ENG,DF,33,22,17,1594,17.7,3,1,4,3,0,0,2,0,0.17,0.06,0.23,0.17,0.23,Matches,3e59c893
Andy Impey,eng ENG,DFMF,26,18,17,1498,16.6,0,1,1,0,0,0,0,0,0.00,0.06,0.06,0.00,0.06,Matches,67cbd956
Theodoros Zagorakis,gr GRE,MF,26,20,16,1317,14.6,1,2,3,1,0,0,4,0,0.07,0.14,0.21,0.07,0.21,Matches,d3397c3e
Pontus Kåmark,se SWE,DF,29,19,15,1419,15.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,564eb30e
Gerry Taggart,nir NIR,DF,27,15,9,823,9.1,0,2,2,0,0,0,3,0,0.00,0.22,0.22,0.00,0.22,Matches,2bf06765
Ian Marshall,eng ENG,DFFW,32,10,6,635,7.1,3,0,3,3,0,0,0,0,0.43,0.00,0.43,0.43,0.43,Matches,859cc903
Arnar Gunnlaugsson,is ISL,FWMF,25,9,5,403,4.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3a06ea31
Graham Fenton,eng ENG,MF,24,9,3,260,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d2fd5e70
Pegguy Arphexad,fr FRA,GK,25,4,2,253,2.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,611e7e91
Garry Parker,eng ENG,MF,32,7,2,210,2.3,0,0,0,-1,1,1,0,0,0.00,0.00,0.00,-0.43,-0.43,Matches,54ae7f03
Stefan Oakes,eng ENG,MF,19,3,2,162,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7827fda9
Stuart Campbell,sct SCO,MF,20,12,1,411,4.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,59996464
Stuart Wilson,eng ENG,MF,20,9,1,196,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,52003774
Charlie Miller,sct SCO,MF,22,4,1,114,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f0747c44
Squad Total,,,27.4,38,424,3420,38.0,40,32,72,38,2,3,53,1,1.05,0.84,1.89,1.00,1.84,,-9999
Opponent Total,,,26.9,38,,3420,38.0,,,,,,,,,,,,,,,-9999
