,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Paul Ince,eng ENG,MF,30,34,34,2999,33.3,6,4,10,6,0,0,9,0,0.18,0.12,0.30,0.18,0.30,Matches,3ce58c27
Jamie Carragher,eng ENG,DFMF,20,34,34,2984,33.2,1,3,4,1,0,0,5,1,0.03,0.09,0.12,0.03,0.12,Matches,d0ebce19
Jamie Redknapp,eng ENG,MF,25,34,33,2936,32.6,8,4,12,6,2,2,6,,0.25,0.12,0.37,0.18,0.31,Matches,c337443d
Steve Staunton,ie IRL,DFMF,29,31,31,2568,28.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,cb617782
Patrik Berger,cz CZE,MF,24,32,30,2573,28.6,7,4,11,7,0,0,4,0,0.24,0.14,0.38,0.24,0.38,Matches,f16325b3
Michael Owen,eng ENG,FW,18,30,30,2518,28.0,18,5,23,17,1,1,0,0,0.64,0.18,0.82,0.61,0.79,Matches,88b3f52c
Vegard Heggem,no NOR,DFMF,23,29,27,2316,25.7,2,3,5,2,0,0,2,0,0.08,0.12,0.19,0.08,0.19,Matches,b7c6e000
David James,eng ENG,GK,27,26,26,2340,26.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,86841dfb
Steve McManaman,eng ENG,MF,26,28,25,2221,24.7,4,6,10,4,0,0,2,0,0.16,0.24,0.41,0.16,0.41,Matches,9be05f40
Phil Babb,ie IRL,DF,27,25,24,2106,23.4,0,1,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,Matches,37af386a
Robbie Fowler,eng ENG,FW,23,25,23,2010,22.3,14,5,19,10,4,4,4,0,0.63,0.22,0.85,0.45,0.67,Matches,7cd34266
Stig Inge Bjørnebye,no NOR,DF,28,23,20,1858,20.6,0,2,2,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,Matches,b8e08ea6
Karl-Heinz Riedle,de GER,FW,32,34,16,1746,19.4,5,2,7,5,0,0,7,0,0.26,0.10,0.36,0.26,0.36,Matches,2c7f0e9f
Dominic Matteo,sct SCO,DFMF,24,20,16,1565,17.4,1,2,3,1,0,0,2,1,0.06,0.12,0.17,0.06,0.17,Matches,f6ea8457
Brad Friedel,us USA,GK,27,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b8c0a975
Rigobert Song,cm CMR,DF,22,13,10,903,10.0,0,1,1,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches,d884e39b
Øyvind Leonhardsen,no NOR,MF,27,9,7,653,7.3,1,0,1,1,0,0,0,0,0.14,0.00,0.14,0.14,0.14,Matches,490a8799
Jason McAteer,ie IRL,MF,27,13,6,719,8.0,0,1,1,0,0,0,2,1,0.00,0.13,0.13,0.00,0.13,Matches,8a09067c
David Thompson,eng ENG,MF,20,14,4,531,5.9,1,1,2,1,0,0,3,0,0.17,0.17,0.34,0.17,0.34,Matches,5696222a
Steven Gerrard,eng ENG,MF,18,12,4,404,4.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,caeb5442
Steve Harkness,eng ENG,DF,26,6,4,233,2.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,e4fa02d3
Bjørn Tore Kvarme,no NOR,DF,26,7,2,215,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,07965324
Jean-Michel Ferri,fr FRA,DFMF,28,2,0,50,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,88cda7bb
Sean Dundee,de GER,FW,25,3,0,37,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,733d341b
Danny Murphy,eng ENG,MF,21,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,03a97c40
Squad Total,,,25.7,38,412,3420,38.0,68,43,111,61,7,7,66,3,1.79,1.13,2.92,1.61,2.74,,-9999
Opponent Total,,,26.9,38,,3420,38.0,,,,,,,,,,,,,,,-9999
