,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Dean Gordon,eng ENG,DFMF,25,38,38,3420,38.0,3,4,7,3,0,0,3,0,0.08,0.11,0.18,0.08,0.18,Matches,6405b4da
Andy Townsend,ie IRL,MF,35,35,35,3083,34.3,1,3,4,1,0,0,10,0,0.03,0.09,0.12,0.03,0.12,Matches,976c90a4
Mark Schwarzer,au AUS,GK,25,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,da409c6f
Robbie Mustoe,eng ENG,MF,29,33,32,2772,30.8,4,1,5,4,0,0,9,1,0.13,0.03,0.16,0.13,0.16,Matches,2c02df03
Hámilton Ricard,co COL,FW,24,36,32,2691,29.9,15,3,18,14,1,1,5,0,0.50,0.10,0.60,0.47,0.57,Matches,e08d8909
Colin Cooper,eng ENG,DF,31,32,31,2719,30.2,1,1,2,1,0,0,5,0,0.03,0.03,0.07,0.03,0.07,Matches,42f93b8f
Steve Vickers,eng ENG,DF,30,31,30,2686,29.8,1,0,1,1,0,0,4,0,0.03,0.00,0.03,0.03,0.03,Matches,4b0dbeef
Gary Pallister,eng ENG,DF,33,26,26,2222,24.7,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,f99beca9
Gianluca Festa,it ITA,DF,29,25,25,2181,24.2,2,1,3,2,0,0,9,0,0.08,0.04,0.12,0.08,0.12,Matches,1cada5ff
Paul Gascoigne,eng ENG,MF,31,26,25,1990,22.1,3,2,5,3,0,0,12,0,0.14,0.09,0.23,0.14,0.23,Matches,56c33229
Brian Deane,eng ENG,FW,30,26,24,2139,23.8,6,2,8,6,0,0,2,0,0.25,0.08,0.34,0.25,0.34,Matches,909a4bb4
Robbie Stockdale,sct SCO,DF,18,19,17,1489,16.5,0,3,3,0,0,0,3,0,0.00,0.18,0.18,0.00,0.18,Matches,7d0a8842
Mikkel Beck,dk DEN,FW,25,27,13,1343,14.9,5,4,9,,,,2,0,0.34,0.27,0.60,,,Matches,e68ed370
Curtis Fleming,ie IRL,DF,29,14,12,1156,12.8,1,2,3,1,0,0,2,0,0.08,0.16,0.23,0.08,0.23,Matches,2b507014
Neil Maddison,eng ENG,DFMF,28,21,10,1072,11.9,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches,10691ae9
Mark Summerbell,eng ENG,MF,21,11,7,664,7.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,f92c694b
Phil Stamp,eng ENG,MF,22,16,5,561,6.2,2,0,2,2,0,0,1,1,0.32,0.00,0.32,0.32,0.32,Matches,f50ed0f5
Marlon Beresford,eng ENG,GK,28,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d68e864b
Keith O'Neill,ie IRL,MF,22,6,4,351,3.9,0,2,2,0,0,0,2,0,0.00,0.51,0.51,0.00,0.51,Matches,f3761381
Craig Harrison,eng ENG,DF,20,4,3,271,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6307abd1
Paul Merson,eng ENG,FWMF,30,3,3,270,3.0,0,2,2,0,0,0,0,0,0.00,0.67,0.67,0.00,0.67,Matches,eba7e6fd
Alan Moore,ie IRL,MF,23,4,3,213,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ee3b147f
Jason Gavin,ie IRL,DF,18,2,2,162,1.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,692450a7
Andy Campbell,eng ENG,FW,19,8,1,162,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8dde3e19
Steve Baker,eng ENG,DF,19,2,1,135,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,90940e28
Micky Cummins,ie IRL,MF,20,1,1,45,0.5,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,34740908
Alun Armstrong,eng ENG,FW,23,6,0,161,1.8,1,1,2,1,0,0,0,0,0.56,0.56,1.12,0.56,1.12,Matches,36cbc674
Vladimír Kinder,sk SVK,DF,29,5,0,144,1.6,2,0,2,2,0,0,1,0,1.25,0.00,1.25,1.25,1.25,Matches,1fd4f002
Marco Branca,it ITA,FW,33,1,0,23,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7827d9c3
Squad Total,,,28.4,38,417,3420,38.0,47,30,77,46,1,1,82,4,1.24,0.79,2.03,1.21,2.00,,-9999
Opponent Total,,,26.7,38,,3420,38.0,,,,,,,,,,,,,,,-9999
