,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
David Wetherall,eng ENG,DF,28,38,38,3420,38.0,2,2,4,2,0,0,7,0,0.05,0.05,0.11,0.05,0.11,Matches,ceb3f12d
Gunnar Halle,no NOR,DF,33,38,37,3160,35.1,0,5,5,0,0,0,8,0,0.00,0.14,0.14,0.00,0.14,Matches,5c1170da
Andy O'Brien,ie IRL,DF,20,36,36,3195,35.5,1,0,1,1,0,0,2,0,0.03,0.00,0.03,0.03,0.03,Matches,1719f6b2
Dean Windass,eng ENG,FWMF,30,38,36,3123,34.7,10,2,12,10,0,0,6,0,0.29,0.06,0.35,0.29,0.35,Matches,5d318f2d
Stuart McCall,sct SCO,MF,35,34,33,2997,33.3,1,2,3,1,0,0,6,0,0.03,0.06,0.09,0.03,0.09,Matches,e935fea0
Peter Beagrie,eng ENG,FW,33,35,30,2759,30.7,7,5,12,2,5,5,4,0,0.23,0.16,0.39,0.07,0.23,Matches,edcefdc4
Dean Saunders,wls WAL,FW,35,34,28,2451,27.2,3,2,5,3,0,0,1,0,0.11,0.07,0.18,0.11,0.18,Matches,c1435456
Wayne Jacobs,eng ENG,DF,30,24,22,1859,20.7,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,8ff638d4
Matt Clarke,eng ENG,GK,25,21,21,1874,20.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,673a6776
Lee Mills,eng ENG,FW,29,21,19,1719,19.1,5,3,8,5,0,0,1,0,0.26,0.16,0.42,0.26,0.42,Matches,7cf78e41
Jamie Lawrence,jm JAM,MF,29,23,19,1657,18.4,3,0,3,3,0,0,3,0,0.16,0.00,0.16,0.16,0.16,Matches,25117d43
Gareth Whalley,eng ENG,MF,25,16,16,1292,14.4,1,1,2,1,0,0,0,0,0.07,0.07,0.14,0.07,0.14,Matches,4f2783db
Robbie Blake,eng ENG,FWMF,23,28,15,1661,18.5,2,1,3,2,0,0,1,0,0.11,0.05,0.16,0.11,0.16,Matches,ddc0a1fd
Neil Redfearn,eng ENG,MF,34,17,14,1254,13.9,1,0,1,1,0,0,6,0,0.07,0.00,0.07,0.07,0.07,Matches,f4e2bac4
Lee Sharpe,eng ENG,MF,28,18,13,1191,13.2,0,1,1,0,0,0,1,0,0.00,0.08,0.08,0.00,0.08,Matches,2143398b
Gary Walsh,eng ENG,GK,31,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,82dc3961
John Dreyer,eng ENG,DFMF,36,14,11,979,10.9,1,1,2,1,0,0,4,0,0.09,0.09,0.18,0.09,0.18,Matches,c5121a7b
Andy Myers,eng ENG,DF,25,13,10,887,9.9,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,e5b54539
Aidan Davison,nir NIR,GK,31,6,5,466,5.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,adb9d3d3
Jorge Cadete,pt POR,FW,30,7,2,264,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cd677e75
Ashley Westwood,eng ENG,DF,22,5,1,113,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,ef0bcd17
Neville Southall,wls WAL,GK,40,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4ef5450a
Isaiah Rankin,eng ENG,FWMF,21,9,0,139,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,306bb797
Bruno Rodriguez,fr FRA,FW,26,2,0,56,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,81def070
Gareth Grant,eng ENG,FW,18,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dbbdc263
Squad Total,,,29.8,38,418,3420,38.0,37,21,58,32,5,5,55,1,0.97,0.55,1.53,0.84,1.39,,-9999
Opponent Total,,,26.8,38,,3420,38.0,,,,,,,,,,,,,,,-9999
