,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Sami Hyypiä,fi FIN,DF,25,38,38,3376,37.5,2,2,4,2,0,0,2,0,0.05,0.05,0.11,0.05,0.11,Matches,087b932d
Sander Westerveld,nl NED,GK,24,36,36,3223,35.8,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,dc8d38a2
Patrik Berger,cz CZE,MF,25,34,34,2902,32.2,9,3,12,8,1,1,2,0,0.28,0.09,0.37,0.25,0.34,Matches,f16325b3
Jamie Carragher,eng ENG,DFMF,21,36,33,2987,33.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,d0ebce19
Dominic Matteo,sct SCO,DFMF,25,32,32,2872,31.9,0,6,6,0,0,0,2,0,0.00,0.19,0.19,0.00,0.19,Matches,f6ea8457
Stéphane Henchoz,ch SUI,DF,24,29,29,2604,28.9,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,17476497
Dietmar Hamann,de GER,MF,25,28,27,2249,25.0,1,2,3,1,0,0,6,0,0.04,0.08,0.12,0.04,0.12,Matches,01c05efb
Steven Gerrard,eng ENG,MF,19,29,26,2143,23.8,1,3,4,1,0,0,5,1,0.04,0.13,0.17,0.04,0.17,Matches,caeb5442
Titi Camara,gn GUI,FW,26,33,22,1977,22.0,9,1,10,9,0,0,6,0,0.41,0.05,0.46,0.41,0.46,Matches,9a0eee14
Michael Owen,eng ENG,FW,19,27,22,1830,20.3,11,3,14,10,1,3,2,0,0.54,0.15,0.69,0.49,0.64,Matches,88b3f52c
David Thompson,eng ENG,MF,21,27,19,1707,19.0,3,3,6,3,0,0,9,1,0.16,0.16,0.32,0.16,0.32,Matches,5696222a
Jamie Redknapp,eng ENG,MF,26,22,18,1655,18.4,3,1,4,2,1,1,4,,0.16,0.05,0.22,0.11,0.16,Matches,c337443d
Rigobert Song,cm CMR,DF,23,18,14,1290,14.3,0,1,1,0,0,0,2,0,0.00,0.07,0.07,0.00,0.07,Matches,d884e39b
Vladimír Šmicer,cz CZE,FWMF,26,21,13,1176,13.1,1,4,5,1,0,0,1,0,0.08,0.31,0.38,0.08,0.38,Matches,134c46b4
Emile Heskey,eng ENG,FW,21,12,12,1021,11.3,3,1,4,,,,0,0,0.26,0.09,0.35,,,Matches,30184789
Vegard Heggem,no NOR,DFMF,24,22,10,1047,11.6,1,0,1,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,Matches,b7c6e000
Danny Murphy,eng ENG,MF,22,23,9,1030,11.4,3,2,5,3,0,0,3,0,0.26,0.17,0.44,0.26,0.44,Matches,03a97c40
Robbie Fowler,eng ENG,FW,24,14,8,814,9.0,3,0,3,3,0,0,1,0,0.33,0.00,0.33,0.33,0.33,Matches,7cd34266
Erik Meijer,nl NED,FW,29,20,7,793,8.8,0,1,1,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches,150df2bb
Steve Staunton,ie IRL,DFMF,30,12,7,602,6.7,0,1,1,0,0,0,4,1,0.00,0.15,0.15,0.00,0.15,Matches,cb617782
Brad Friedel,us USA,GK,28,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b8c0a975
Karl-Heinz Riedle,de GER,FW,33,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2c7f0e9f
Jon Newby,eng ENG,FW,20,1,0,14,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e5dbceec
Squad Total,,,24.3,38,418,3420,38.0,50,30,80,47,3,5,62,4,1.32,0.79,2.11,1.24,2.03,,-9999
Opponent Total,,,27.0,38,,3420,38.0,,,,,,,,,,,,,,,-9999
