,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Steve Palmer,eng ENG,DF,31,38,38,3412,37.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1f27a6dd
Rob Page,wls WAL,DF,24,36,36,3179,35.3,1,2,3,1,0,0,12,0,0.03,0.06,0.08,0.03,0.08,Matches,c7ce978a
Micah Hyde,jm JAM,MF,24,34,33,2922,32.5,3,4,7,3,0,0,7,1,0.09,0.12,0.22,0.09,0.22,Matches,eb0b35f4
Paul Robinson,eng ENG,DF,20,32,29,2677,29.7,0,1,1,0,0,0,9,0,0.00,0.03,0.03,0.00,0.03,Matches,80cdbbe1
Alec Chamberlain,eng ENG,GK,35,27,27,2430,27.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b74bad11
Richard Johnson,au AUS,MF,25,23,20,1809,20.1,3,1,4,2,1,1,4,0,0.15,0.05,0.20,0.10,0.15,Matches,218814da
Neil Cox,eng ENG,DF,27,21,20,1755,19.5,0,1,1,0,0,0,1,1,0.00,0.05,0.05,0.00,0.05,Matches,dee2b65d
Mark Williams,nir NIR,DF,28,22,20,1696,18.8,1,0,1,1,0,0,8,1,0.05,0.00,0.05,0.05,0.05,Matches,d9c9b095
Peter Kennedy,nir NIR,DFMF,25,18,17,1534,17.0,1,2,3,0,1,1,4,0,0.06,0.12,0.18,0.00,0.12,Matches,697680e9
Nordin Wooter,nl NED,FWMF,22,20,16,1406,15.6,1,1,2,1,0,0,0,0,0.06,0.06,0.13,0.06,0.13,Matches,5f9bff68
Michel Ngonge,cd COD,FWMF,31,23,16,1343,14.9,5,1,6,5,0,0,1,0,0.34,0.07,0.40,0.34,0.40,Matches,c28d6eff
Heiðar Helguson,is ISL,FW,21,16,14,1236,13.7,6,2,8,6,0,0,6,0,0.44,0.15,0.58,0.44,0.58,Matches,5491eca5
Tommy Smith,eng ENG,FWMF,19,22,13,1267,14.1,2,3,5,2,0,0,1,0,0.14,0.21,0.36,0.14,0.36,Matches,066be641
Clint Easton,eng ENG,DFMF,21,17,13,1096,12.2,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b334dc77
Allan Smart,sct SCO,FW,25,14,13,1061,11.8,5,1,6,5,0,0,1,0,0.42,0.08,0.51,0.42,0.51,Matches,ed7ccb79
David Perpetuini,eng ENG,DF,19,13,12,969,10.8,1,1,2,1,0,0,4,0,0.09,0.09,0.19,0.09,0.19,Matches,76114489
Nigel Gibbs,eng ENG,DF,33,17,11,1099,12.2,0,1,1,0,0,0,0,0,0.00,0.08,0.08,0.00,0.08,Matches,e7351045
Chris Day,eng ENG,GK,24,11,11,990,11.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6c9c2ba5
Des Lyttle,eng ENG,DF,27,11,11,937,10.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8cc40692
Charlie Miller,sct SCO,MF,23,14,9,823,9.1,0,2,2,0,0,0,3,0,0.00,0.22,0.22,0.00,0.22,Matches,f0747c44
Tommy Mooney,eng ENG,FW,27,12,8,838,9.3,2,1,3,2,0,0,2,0,0.21,0.11,0.32,0.21,0.32,Matches,690373bc
Darren Ward,eng ENG,DF,20,9,7,719,8.0,1,1,2,1,0,0,0,0,0.13,0.13,0.25,0.13,0.25,Matches,9ae008d4
Alexandre Bonnot,fr FRA,MF,26,12,7,625,6.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5bebb055
Xavier Gravelaine,fr FRA,FWMF,30,7,7,617,6.9,2,2,4,2,0,0,1,1,0.29,0.29,0.58,0.29,0.58,Matches,b13af7a1
Dominic Foley,ie IRL,FW,23,12,5,448,5.0,1,0,1,1,0,0,0,0,0.20,0.00,0.20,0.20,0.20,Matches,238da1d6
James Panayi,eng ENG,DF,19,2,2,109,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,037b8bee
Jóhann Birnir Guðmundsson,is ISL,MF,21,9,1,248,2.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5ad10220
Gifton Noel-Williams,eng ENG,FW,19,3,1,150,1.7,0,1,1,0,0,0,1,0,0.00,0.60,0.60,0.00,0.60,Matches,27f28090
Nick Wright,,FW,23,4,1,143,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c3098951
Adrian Bakalli,be BEL,MF,22,2,0,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a7f563eb
Steve Brooker,eng ENG,FW,18,1,0,6,0.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e4379211
Squad Total,,,26.2,38,419,3420,38.0,35,28,63,33,2,2,68,2,0.92,0.74,1.66,0.87,1.61,,-9999
Opponent Total,,,27.3,38,,3420,38.0,,,,,,,,,,,,,,,-9999
