,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Neil Sullivan,sct SCO,GK,29,37,37,3330,37.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2ea16583
Kenny Cunningham,ie IRL,DF,28,37,37,3269,36.3,0,4,4,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,Matches,984a2038
Trond Andersen,no NOR,DF,24,36,35,3087,34.3,0,3,3,0,0,0,4,0,0.00,0.09,0.09,0.00,0.09,Matches,c35d9dfb
Marcus Gayle,jm JAM,FWMF,28,36,35,3045,33.8,7,4,11,7,0,0,2,0,0.21,0.12,0.33,0.21,0.33,Matches,b80303a7
Jason Euell,jm JAM,FWMF,22,37,32,2994,33.3,4,5,9,4,0,0,8,1,0.12,0.15,0.27,0.12,0.27,Matches,d97fe8bd
Carl Cort,gy GUY,FW,21,34,32,2864,31.8,9,6,15,9,0,0,1,0,0.28,0.19,0.47,0.28,0.47,Matches,c07f2109
Alan Kimble,eng ENG,DF,32,28,24,2182,24.2,0,4,4,0,0,0,4,0,0.00,0.16,0.16,0.00,0.16,Matches,30dfbe94
Hermann Hreiðarsson,is ISL,DF,25,24,24,2160,24.0,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches,18e3787e
Robbie Earle,jm JAM,MF,34,25,23,1923,21.4,3,0,3,3,0,0,2,0,0.14,0.00,0.14,0.14,0.14,Matches,3a757429
Ben Thatcher,wls WAL,DF,23,20,19,1670,18.6,0,2,2,0,0,0,4,0,0.00,0.11,0.11,0.00,0.11,Matches,dc5460f9
Dean Blackwell,eng ENG,DF,29,17,16,1328,14.8,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,9ed3d8ed
John Hartson,wls WAL,FW,24,16,15,1257,14.0,9,4,13,9,0,0,5,2,0.64,0.29,0.93,0.64,0.93,Matches,10d28fb8
Andy Roberts,eng ENG,MF,25,16,14,1185,13.2,0,1,1,0,0,0,2,0,0.00,0.08,0.08,0.00,0.08,Matches,7666f4b8
Michael Hughes,nir NIR,MF,27,20,13,1166,13.0,2,1,3,2,0,0,1,0,0.15,0.08,0.23,0.15,0.23,Matches,65085487
Walid Badir,il ISR,DFMF,25,21,12,1054,11.7,1,0,1,1,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches,bd5367b3
Neal Ardley,eng ENG,MF,26,17,10,993,11.0,2,1,3,1,1,1,4,0,0.18,0.09,0.27,0.09,0.18,Matches,124a61d8
Andreas Lund,no NOR,FW,24,12,10,847,9.4,2,1,3,2,0,0,1,0,0.21,0.11,0.32,0.21,0.32,Matches,8b34ea85
Chris Willmott,eng ENG,DF,21,7,7,612,6.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a6900b24
Duncan Jupp,sct SCO,DF,24,9,6,680,7.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,303a2b38
Tore Pedersen,no NOR,DF,29,6,6,496,5.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,7476f53d
Carl Leaburn,eng ENG,FW,30,18,5,476,5.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2ec16bbc
Martin Andresen,no NOR,FWMF,22,14,4,511,5.7,1,0,1,1,0,0,1,0,0.18,0.00,0.18,0.18,0.18,Matches,74572e30
Damien Francis,jm JAM,MF,20,9,1,216,2.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,5a0cd907
Paul Heald,eng ENG,GK,30,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7c9385a5
Gareth Ainsworth,eng ENG,MF,26,2,0,63,0.7,2,0,2,2,0,0,1,0,2.86,0.00,2.86,2.86,2.86,Matches,8ddfb8b9
Wayne Gray,eng ENG,FW,18,1,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6de4b1d4
Squad Total,,,26.7,38,418,3420,38.0,44,33,77,43,1,1,46,4,1.16,0.87,2.03,1.13,2.00,,-9999
Opponent Total,,,27.1,38,,3420,38.0,,,,,,,,,,,,,,,-9999
