,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Claus Jensen,dk DEN,MF,23,38,37,3161,35.1,5,3,8,4,1,1,0,0,0.14,0.09,0.23,0.11,0.20,Matches,b8f8fb0d
Graham Stuart,eng ENG,FWMF,29,35,33,2937,32.6,5,8,13,3,2,2,7,0,0.15,0.25,0.40,0.09,0.34,Matches,159c714f
Richard Rufus,eng ENG,DF,25,32,32,2825,31.4,2,1,3,2,0,0,7,1,0.06,0.03,0.10,0.06,0.10,Matches,16e11f73
Chris Powell,eng ENG,DF,30,33,31,2769,30.8,0,2,2,0,0,0,1,0,0.00,0.07,0.07,0.00,0.07,Matches,721060d9
Mark Kinsella,ie IRL,MF,27,32,27,2490,27.7,2,2,4,2,0,0,4,0,0.07,0.07,0.14,0.07,0.14,Matches,3564689a
Jonatan Johansson,fi FIN,FW,24,31,27,2448,27.2,11,2,13,11,0,0,2,0,0.40,0.07,0.48,0.40,0.48,Matches,bc8c9864
Dean Kiely,ie IRL,GK,29,25,25,2205,24.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,0012caa1
Radostin Kishishev,bg BUL,DFMF,26,27,25,2103,23.4,0,3,3,0,0,0,4,0,0.00,0.13,0.13,0.00,0.13,Matches,d06e83b4
Mark Fish,za RSA,DFFW,26,24,24,2031,22.6,1,0,1,1,0,0,0,0,0.04,0.00,0.04,0.04,0.04,Matches,71e120b7
John Robinson,wls WAL,MF,28,29,21,1808,20.1,2,2,4,2,0,0,4,0,0.10,0.10,0.20,0.10,0.20,Matches,0a8ac335
Andy Todd,eng ENG,DF,25,23,19,1749,19.4,1,0,1,1,0,0,2,0,0.05,0.00,0.05,0.05,0.05,Matches,1b9ecd06
Mathias Svensson,se SWE,FW,25,22,18,1406,15.6,5,1,6,5,0,0,3,0,0.32,0.06,0.38,0.32,0.38,Matches,d735eec3
Shaun Bartlett,za RSA,FW,27,18,16,1437,16.0,7,1,8,7,0,0,0,0,0.44,0.06,0.50,0.44,0.50,Matches,0bbb893d
Steve Brown,eng ENG,DF,28,24,15,1550,17.2,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,a889aef3
Scott Parker,eng ENG,MF,19,20,15,1261,14.0,1,0,1,1,0,0,5,0,0.07,0.00,0.07,0.07,0.07,Matches,65faf2a1
Saša Ilić,SCG,GK,28,13,13,1170,13.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,233cc632
Paul Konchesky,eng ENG,DFFW,19,23,11,1082,12.0,0,2,2,0,0,0,3,0,0.00,0.17,0.17,0.00,0.17,Matches,941bcf75
Andy Hunt,eng ENG,FW,30,8,8,676,7.5,4,1,5,4,0,0,0,0,0.53,0.13,0.67,0.53,0.67,Matches,f7856d27
Carl Tiler,eng ENG,DF,30,7,7,569,6.3,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,319d0cea
Kevin Lisbie,jm JAM,FW,21,18,5,545,6.1,0,2,2,0,0,0,0,0,0.00,0.33,0.33,0.00,0.33,Matches,e509ea01
John Salako,eng ENG,MF,31,16,4,453,5.0,0,1,1,0,0,0,1,0,0.00,0.20,0.20,0.00,0.20,Matches,2749f5b7
Greg Shields,sct SCO,DF,23,4,2,205,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3a8c6a9d
Shaun Newton,eng ENG,MF,24,10,1,220,2.4,0,1,1,0,0,0,0,0,0.00,0.41,0.41,0.00,0.41,Matches,75de93be
Martin Pringle,se SWE,FW,29,8,1,211,2.3,1,0,1,1,0,0,0,0,0.43,0.00,0.43,0.43,0.43,Matches,2178adca
Charlie MacDonald,eng ENG,FW,19,3,1,88,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bf812107
Tony Caig,eng ENG,GK,26,1,0,45,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9d257620
Karim Bagheri,ir IRN,MF,26,1,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a06cda05
Squad Total,,,26.8,38,418,3420,38.0,47,33,80,44,3,3,49,2,1.24,0.87,2.11,1.16,2.03,,-9999
Opponent Total,,,27.0,38,,3420,38.0,,,,,,,,,,,,,,,-9999
