,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Craig Bellamy,wls WAL,FW,21,34,33,2758,30.6,6,1,7,4,2,2,7,0,0.20,0.03,0.23,0.13,0.16,Matches,b9eae55b
Gary Breen,ie IRL,DF,26,31,29,2625,29.2,1,2,3,1,0,0,8,0,0.03,0.07,0.10,0.03,0.10,Matches,9922c8b8
Mustapha Hadji,ma MAR,MF,28,29,28,2532,28.1,6,3,9,6,0,0,0,1,0.21,0.11,0.32,0.21,0.32,Matches,0b1d0491
Paul Williams,eng ENG,DF,29,30,27,2405,26.7,0,1,1,0,0,0,6,0,0.00,0.04,0.04,0.00,0.04,Matches,651f09cc
Paul Telfer,sct SCO,DFMF,28,31,27,2362,26.2,0,6,6,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matches,7b3990c5
Barry Quinn,ie IRL,DF,21,25,25,2120,23.6,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches,1f0d112e
Richard Shaw,eng ENG,DF,31,24,23,2115,23.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,88b5bd84
Chris Kirkland,eng ENG,GK,19,23,23,2003,22.3,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,710265d2
John Eustace,eng ENG,MF,20,32,22,2079,23.1,2,1,3,2,0,0,11,0,0.09,0.04,0.13,0.09,0.13,Matches,019cf2b4
David Thompson,eng ENG,MF,22,25,22,1860,20.7,3,3,6,3,0,0,11,1,0.15,0.15,0.29,0.15,0.29,Matches,5696222a
Marcus Hall,eng ENG,DF,24,21,21,1871,20.8,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,10a2c499
Lee Carsley,ie IRL,MF,26,21,21,1801,20.0,2,1,3,1,1,1,6,0,0.10,0.05,0.15,0.05,0.10,Matches,8393a60b
Marc Edworthy,eng ENG,DF,27,24,18,1811,20.1,1,0,1,1,0,0,1,0,0.05,0.00,0.05,0.05,0.05,Matches,fc761a49
Youssef Chippo,ma MAR,MF,27,32,18,1712,19.0,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,62b8d3c9
Magnus Hedman,se SWE,GK,27,15,15,1350,15.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,258a16fd
Carlton Palmer,eng ENG,MF,34,15,12,1156,12.8,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,45fdede4
John Hartson,wls WAL,FW,25,12,12,1080,12.0,6,0,6,6,0,0,4,0,0.50,0.00,0.50,0.50,0.50,Matches,10d28fb8
Cédric Roussel,be BEL,FW,22,16,10,959,10.7,2,0,2,2,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches,ac150720
John Aloisi,au AUS,FW,24,18,8,799,8.9,3,2,5,3,0,0,0,0,0.34,0.23,0.56,0.34,0.56,Matches,747e3a0d
Muhamed Konjić,ba BIH,DF,30,8,8,579,6.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d7eeab29
Ysrael Zúñiga,pe PER,FW,23,15,7,670,7.4,1,0,1,1,0,0,2,0,0.13,0.00,0.13,0.13,0.13,Matches,ca25d6b6
Jay Bothroyd,eng ENG,FW,18,8,3,247,2.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8cdc5afd
Iván Guerrero,hn HON,DF,22,3,3,227,2.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,5421d935
Gavin Strachan,sct SCO,MF,21,2,2,172,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d12f06f6
Colin Hendry,sct SCO,DF,34,2,1,98,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9acd6d0d
Alan Miller,eng ENG,GK,30,1,0,67,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ba82c15d
Calum Davenport,eng ENG,DF,17,1,0,45,0.5,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8f59901c
Robert Betts,eng ENG,MF,18,1,0,3,0.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2e362184
Squad Total,,,25.7,38,418,3420,38.0,33,22,55,30,3,3,74,2,0.87,0.58,1.45,0.79,1.37,,-9999
Opponent Total,,,27.2,38,,3420,38.0,,,,,,,,,,,,,,,-9999
