,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Gary Neville,eng ENG,DF,25,32,32,2849,31.7,1,1,2,1,0,0,4,0,0.03,0.03,0.06,0.03,0.06,Matches,1b013e33
Fabien Barthez,fr FRA,GK,29,30,30,2672,29.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,321646f0
David Beckham,eng ENG,MF,25,31,29,2648,29.4,9,12,21,8,1,1,3,0,0.31,0.41,0.71,0.27,0.68,Matches,53539318
Paul Scholes,eng ENG,MF,25,32,28,2450,27.2,6,5,11,6,0,1,3,0,0.22,0.18,0.40,0.22,0.40,Matches,24a3a72c
Roy Keane,ie IRL,MF,28,28,28,2380,26.4,2,7,9,2,0,0,2,1,0.08,0.26,0.34,0.08,0.34,Matches,8f218498
Wes Brown,eng ENG,DF,20,28,25,2264,25.2,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,659ccc97
Mikaël Silvestre,fr FRA,DF,22,30,25,2251,25.0,1,2,3,1,0,0,2,0,0.04,0.08,0.12,0.04,0.12,Matches,4dde97ea
Ryan Giggs,wls WAL,FWMF,26,31,24,2218,24.6,5,8,13,5,0,0,1,0,0.20,0.32,0.53,0.20,0.53,Matches,561de8d0
Phil Neville,eng ENG,DFMF,23,29,24,2185,24.3,1,0,1,1,0,0,4,0,0.04,0.00,0.04,0.04,0.04,Matches,3db5e0ec
Nicky Butt,eng ENG,DFMF,25,28,24,2036,22.6,3,2,5,3,0,0,8,0,0.13,0.09,0.22,0.13,0.22,Matches,616b3f9a
Teddy Sheringham,eng ENG,FW,34,29,23,2003,22.3,15,6,21,14,1,1,1,0,0.67,0.27,0.94,0.63,0.90,Matches,4e56eef6
Denis Irwin,ie IRL,DF,34,21,20,1758,19.5,0,2,2,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches,9d080c30
Ole Gunnar Solskjær,no NOR,FW,27,31,19,1755,19.5,10,4,14,10,0,0,1,0,0.51,0.21,0.72,0.51,0.72,Matches,65cb97b8
Dwight Yorke,tt TRI,FWMF,28,22,15,1473,16.4,9,4,13,9,0,0,2,0,0.55,0.24,0.79,0.55,0.79,Matches,2d0a99d3
Andy Cole,eng ENG,FW,28,19,15,1314,14.6,9,3,12,9,0,0,1,1,0.62,0.21,0.82,0.62,0.82,Matches,b6638a2c
Jaap Stam,nl NED,DF,28,15,15,1235,13.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,7c48a3ec
Ronny Johnsen,no NOR,DF,31,11,11,895,9.9,1,0,1,1,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches,02f25c21
Luke Chadwick,eng ENG,MF,19,16,6,623,6.9,2,0,2,2,0,0,0,1,0.29,0.00,0.29,0.29,0.29,Matches,9c35f696
Quinton Fortune,za RSA,MF,23,7,6,538,6.0,2,0,2,2,0,0,0,0,0.33,0.00,0.33,0.33,0.33,Matches,fa706d7f
Raimond van der Gouw,nl NED,GK,37,10,5,531,5.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0d2e1195
Ronnie Wallwork,eng ENG,DFMF,22,12,4,565,6.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,cb7b25cf
Jonathan Greening,eng ENG,MF,21,7,3,273,3.0,0,1,1,0,0,0,1,0,0.00,0.33,0.33,0.00,0.33,Matches,892c1d7a
Michael Stewart,sct SCO,MF,19,3,3,239,2.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,58db0909
Andy Goram,sct SCO,GK,36,2,2,124,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9ba8be22
David May,eng ENG,DF,30,2,1,99,1.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1c719a79
Paul Rachubka,eng ENG,GK,19,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f3229025
Henning Berg,no NOR,DF,30,1,0,45,0.5,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ad77f84e
David Healy,nir NIR,FW,20,1,0,32,0.4,0,0,0,,,,0,0,0.00,0.00,0.00,,,Matches,c757265f
Bojan Djordjic,se SWE,MF,18,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3d5616b6
Squad Total,,,26.9,38,418,3420,38.0,77,60,137,75,2,3,44,3,2.03,1.58,3.61,1.97,3.55,,-9999
Opponent Total,,,26.8,38,,3420,38.0,,,,,,,,,,,,,,,-9999
