,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Michael Gray,eng ENG,DFMF,25,36,36,3173,35.3,1,2,3,1,0,0,4,1,0.03,0.06,0.09,0.03,0.09,Matches,fefae709
Kevin Phillips,eng ENG,FW,27,34,34,3053,33.9,14,4,18,12,2,4,10,0,0.41,0.12,0.53,0.35,0.47,Matches,23d97ca1
Thomas Sørensen,dk DEN,GK,24,34,34,3018,33.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,31d82fec
Jody Craddock,eng ENG,DFMF,25,34,33,2972,33.0,0,1,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,Matches,573e5dd2
Niall Quinn,ie IRL,FW,33,34,32,2576,28.6,7,2,9,7,0,0,5,0,0.24,0.07,0.31,0.24,0.31,Matches,050093a9
Emerson Thome,br BRA,DF,28,31,30,2706,30.1,1,0,1,1,0,0,6,0,0.03,0.00,0.03,0.03,0.03,Matches,7dc1b3c9
Don Hutchison,sct SCO,MF,29,32,30,2664,29.6,8,6,14,8,0,0,11,1,0.27,0.20,0.47,0.27,0.47,Matches,158494ce
Kevin Kilbane,ie IRL,DFMF,23,30,26,2353,26.1,4,2,6,4,0,0,2,1,0.15,0.08,0.23,0.15,0.23,Matches,56cf4517
Julio Arca,ar ARG,DFMF,19,27,26,2145,23.8,2,4,6,2,0,0,5,0,0.08,0.17,0.25,0.08,0.25,Matches,7ac25aa9
Gavin McCann,eng ENG,MF,22,22,22,1928,21.4,3,3,6,3,0,0,3,0,0.14,0.14,0.28,0.14,0.28,Matches,d1e78f75
Darren Williams,eng ENG,DF,23,28,21,2039,22.7,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches,45364051
Chris Makin,eng ENG,DF,27,23,21,1909,21.2,0,2,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches,aecb9ffc
Alex Rae,sct SCO,MF,30,18,18,1568,17.4,2,3,5,2,0,0,2,1,0.11,0.17,0.29,0.11,0.29,Matches,a64175a1
Stefan Schwarz,se SWE,DFMF,31,20,17,1467,16.3,1,3,4,1,0,0,4,0,0.06,0.18,0.25,0.06,0.25,Matches,aeab7566
Stanislav Varga,sk SVK,DF,27,12,9,811,9.0,1,0,1,1,0,0,2,1,0.11,0.00,0.11,0.11,0.11,Matches,bcde5b12
Patrice Carteron,fr FRA,DF,30,8,8,720,8.0,1,1,2,1,0,0,0,0,0.12,0.12,0.25,0.12,0.25,Matches,84609abe
Darren Holloway,eng ENG,DF,22,5,5,400,4.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,5b1e1fe8
Jürgen Macho,at AUT,GK,22,5,4,402,4.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ce8143d7
Paul Butler,ie IRL,DF,27,3,3,270,3.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8623b652
Paul Thirlwell,eng ENG,MF,21,5,3,227,2.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3f658e48
Danny Dichio,eng ENG,FW,25,15,2,403,4.5,1,1,2,1,0,0,2,0,0.22,0.22,0.45,0.22,0.45,Matches,da431eb0
John Oster,wls WAL,MF,21,8,2,231,2.6,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,bbf029eb
Éric Roy,fr FRA,MF,32,3,1,149,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,adeca4c0
George McCartney,nir NIR,DF,19,2,1,105,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f6c4946d
Kevin Kyle,sct SCO,FW,19,3,0,59,0.7,0,1,1,0,0,0,0,0,0.00,1.53,1.53,0.00,1.53,Matches,b98c1020
Thomas Butler,ie IRL,MF,19,4,0,46,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d033d76b
Steve Bould,eng ENG,DF,37,1,0,44,0.5,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,42e0fd3a
Michael Reddy,ie IRL,FW,20,2,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a186df74
Squad Total,,,26.4,38,395,3420,38.0,46,32,78,44,2,4,73,5,1.21,0.84,2.05,1.16,2.00,,-9999
Opponent Total,,,27.0,38,,3420,38.0,,,,,,,,,,,,,,,-9999
