,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
George Boateng,nl NED,MF,25,37,37,3290,36.6,1,1,2,1,0,0,5,0,0.03,0.03,0.05,0.03,0.05,Matches,a44a9f65
Olof Mellberg,se SWE,DFMF,23,32,32,2835,31.5,0,1,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,Matches,1c95e93d
Steve Staunton,ie IRL,DFMF,32,33,30,2755,30.6,0,3,3,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches,cb617782
Darius Vassell,eng ENG,FWMF,21,36,30,2613,29.0,12,2,14,12,0,0,3,0,0.41,0.07,0.48,0.41,0.48,Matches,e342b5e7
Mark Delaney,wls WAL,DF,25,30,30,2558,28.4,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,882f42b8
Peter Schmeichel,dk DEN,GK,37,29,29,2610,29.0,1,0,1,1,0,0,1,0,0.03,0.00,0.03,0.03,0.03,Matches,f1fe7ffe
Juan Pablo Ángel,co COL,FW,25,29,26,2119,23.5,12,3,15,10,2,2,3,0,0.51,0.13,0.64,0.42,0.55,Matches,f0848ae1
Lee Hendrie,eng ENG,MF,24,29,25,2103,23.4,2,3,5,2,0,0,3,0,0.09,0.13,0.21,0.09,0.21,Matches,8716663c
Alan Wright,eng ENG,DF,29,23,23,2051,22.8,0,1,1,0,0,0,1,0,0.00,0.04,0.04,0.00,0.04,Matches,df6cf3fe
Paul Merson,eng ENG,FWMF,33,21,18,1577,17.5,2,2,4,2,0,0,0,0,0.11,0.11,0.23,0.11,0.23,Matches,eba7e6fd
Jlloyd Samuel,tt TRI,DFMF,20,23,17,1611,17.9,0,3,3,0,0,0,2,0,0.00,0.17,0.17,0.00,0.17,Matches,efc9ff16
Mustapha Hadji,ma MAR,MF,29,23,17,1559,17.3,2,2,4,2,0,0,3,0,0.12,0.12,0.23,0.12,0.23,Matches,0b1d0491
Hassan Kachloul,ma MAR,MF,28,22,17,1400,15.6,2,1,3,2,0,0,3,0,0.13,0.06,0.19,0.13,0.19,Matches,ea1a36dc
Gareth Barry,eng ENG,MF,20,20,16,1430,15.9,0,3,3,0,0,0,0,0,0.00,0.19,0.19,0.00,0.19,Matches,7dbbe367
Steve Stone,eng ENG,MF,29,22,14,1344,14.9,1,4,5,1,0,0,2,0,0.07,0.27,0.33,0.07,0.33,Matches,4592c48e
Alpay Özalan,tr TUR,DF,28,14,14,1201,13.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,e1a59314
Thomas Hitzlsperger,de GER,MF,19,12,11,935,10.4,1,2,3,1,0,,1,0,0.10,0.19,0.29,0.10,0.29,Matches,2757060a
Dion Dublin,eng ENG,DFFW,32,21,9,1025,11.4,4,3,7,4,0,0,2,1,0.35,0.26,0.61,0.35,0.61,Matches,a0886d18
Peter Enckelman,fi FIN,GK,24,9,9,810,9.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b50e147f
Ian Taylor,eng ENG,MF,33,16,7,904,10.0,3,1,4,3,0,0,2,0,0.30,0.10,0.40,0.30,0.40,Matches,daa71b88
Peter Crouch,eng ENG,FW,20,7,7,587,6.5,2,2,4,2,0,0,0,0,0.31,0.31,0.61,0.31,0.61,Matches,73d9bdc7
David Ginola,fr FRA,FWMF,34,5,0,122,1.4,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,189225b3
Boško Balaban,hr CRO,FW,22,5,0,88,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,30876d56
Squad Total,,,27.2,38,410,3420,38.0,44,38,82,42,2,2,42,2,1.16,1.00,2.16,1.11,2.11,,-9999
Opponent Total,,,27.0,38,,3420,38.0,,,,,,,,,,,,,,,-9999
