,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Simon Charlton,eng ENG,DF,29,36,35,3054,33.9,0,1,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,Matches,d52b42c9
Jussi Jääskeläinen,fi FIN,GK,26,34,34,3032,33.7,0,0,0,0,0,0,2,2,0.00,0.00,0.00,0.00,0.00,Matches,340d2a24
Kevin Nolan,eng ENG,MF,19,35,34,3028,33.6,8,1,9,8,0,0,5,0,0.24,0.03,0.27,0.24,0.27,Matches,3d307105
Guðni Bergsson,is ISL,DF,36,30,30,2649,29.4,1,3,4,1,0,0,1,0,0.03,0.10,0.14,0.03,0.14,Matches,bfc3b538
Ricardo Gardner,jm JAM,DFMF,22,31,29,2489,27.7,3,4,7,3,0,0,4,1,0.11,0.14,0.25,0.11,0.25,Matches,b6a1eaa0
Mike Whitlow,eng ENG,DF,33,29,28,2506,27.8,0,2,2,0,0,0,9,0,0.00,0.07,0.07,0.00,0.07,Matches,9d3d5f5d
Michael Ricketts,eng ENG,FW,22,37,26,2463,27.4,12,2,14,12,0,0,4,0,0.44,0.07,0.51,0.44,0.51,Matches,3099ed37
Per Frandsen,dk DEN,MF,31,29,25,2163,24.0,3,5,8,3,0,1,4,0,0.12,0.21,0.33,0.12,0.33,Matches,4df04be7
Paul Warhurst,eng ENG,DFMF,31,25,25,1857,20.6,0,1,1,0,0,0,7,1,0.00,0.05,0.05,0.00,0.05,Matches,86810d2a
Bruno N'Gotty,fr FRA,DF,30,26,24,2179,24.2,1,0,1,1,0,0,0,0,0.04,0.00,0.04,0.04,0.04,Matches,95682207
Anthony Barness,eng ENG,DF,28,25,19,1788,19.9,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1f2e31a8
Rod Wallace,eng ENG,FW,31,19,14,1228,13.6,3,2,5,3,0,0,2,0,0.22,0.15,0.37,0.22,0.37,Matches,89421101
Fredi Bobic,de GER,FW,29,16,14,1077,12.0,4,2,6,4,0,0,2,0,0.33,0.17,0.50,0.33,0.50,Matches,e3f9d3e8
Youri Djorkaeff,fr FRA,FWMF,33,12,12,982,10.9,4,1,5,4,0,0,0,0,0.37,0.09,0.46,0.37,0.46,Matches,e9f1bedd
Gareth Farrelly,ie IRL,MF,25,18,11,1108,12.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,8a1a3cf0
Nicky Southall,eng ENG,MF,29,18,10,1009,11.2,1,1,2,1,0,0,1,0,0.09,0.09,0.18,0.09,0.18,Matches,324e2484
Bo Hansen,dk DEN,FWMF,29,17,10,878,9.8,1,1,2,1,0,0,1,0,0.10,0.10,0.21,0.10,0.21,Matches,c2178c8f
Dean Holdsworth,eng ENG,FW,32,31,9,1072,11.9,2,0,2,2,0,0,4,1,0.17,0.00,0.17,0.17,0.17,Matches,fdb64aeb
Stig Tøfting,dk DEN,MF,31,6,6,475,5.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a8fe3e31
Henrik Pedersen,dk DEN,FW,26,11,5,494,5.5,0,1,1,0,0,0,0,0,0.00,0.18,0.18,0.00,0.18,Matches,8ef377c5
Djibril Diawara,fr FRA,DF,26,9,4,473,5.3,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,31ab7ffa
Jermaine Johnson,jm JAM,FWMF,21,9,4,425,4.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,3a954a65
Kevin Poole,eng ENG,GK,38,3,3,270,3.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f2143ffd
Colin Hendry,sct SCO,DF,35,3,3,203,2.3,0,1,1,0,0,0,2,0,0.00,0.44,0.44,0.00,0.44,Matches,9acd6d0d
Kostas Konstantinidis,gr GRE,DF,28,3,3,178,2.0,0,0,0,0,0,0,3,1,0.00,0.00,0.00,0.00,0.00,Matches,e28ce024
Steve Banks,eng ENG,GK,29,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3972a1f2
Mario Espartero,fr FRA,MF,23,3,0,59,0.7,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,505d8533
Jeff Smith,eng ENG,DFMF,21,1,0,32,0.4,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d723710b
Ian Marshall,eng ENG,DFFW,35,2,0,16,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,859cc903
Leam Richardson,eng ENG,DF,21,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,678b9096
Squad Total,,,28.6,38,407,3420,38.0,42,25,67,42,0,1,58,6,1.11,0.66,1.76,1.11,1.76,,-9999
Opponent Total,,,27.1,38,,3420,38.0,,,,,,,,,,,,,,,-9999
