,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Matt Holland,ie IRL,MF,27,38,38,3420,38.0,3,3,6,3,0,0,0,0,0.08,0.08,0.16,0.08,0.16,Matches,87c9a037
Hermann Hreiðarsson,is ISL,DF,27,38,38,3420,38.0,1,1,2,1,0,0,5,0,0.03,0.03,0.05,0.03,0.05,Matches,18e3787e
Chris Makin,eng ENG,DF,28,30,30,2419,26.9,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,aecb9ffc
Mark Venus,eng ENG,DF,34,29,29,2588,28.8,1,8,9,1,0,0,3,0,0.03,0.28,0.31,0.03,0.31,Matches,a92adc09
John McGreal,eng ENG,DF,29,27,27,2430,27.0,1,1,2,1,0,0,7,0,0.04,0.04,0.07,0.04,0.07,Matches,b0782688
Matteo Sereni,it ITA,GK,26,25,25,2217,24.6,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,5a846fbb
Jermaine Wright,eng ENG,DFMF,25,29,24,2237,24.9,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches,ed9cb8eb
Jamie Clapham,eng ENG,DF,25,32,22,2103,23.4,2,2,4,2,0,0,0,0,0.09,0.09,0.17,0.09,0.17,Matches,1df59e7b
Marcus Bent,eng ENG,FW,23,25,22,1925,21.4,9,1,10,9,0,,2,0,0.42,0.05,0.47,0.42,0.47,Matches,69166246
Finidi George,ng NGA,FWMF,30,25,21,1651,18.3,6,2,8,6,0,0,0,0,0.33,0.11,0.44,0.33,0.44,Matches,87fcf713
Alun Armstrong,eng ENG,FW,26,32,21,1615,17.9,4,0,4,4,0,0,1,0,0.22,0.00,0.22,0.22,0.22,Matches,36cbc674
Marcus Stewart,eng ENG,FW,28,28,20,1980,22.0,6,4,10,5,1,2,1,0,0.27,0.18,0.45,0.23,0.41,Matches,80463957
Martijn Reuser,nl NED,MF,26,24,18,1727,19.2,1,4,5,1,0,0,3,0,0.05,0.21,0.26,0.05,0.26,Matches,21404bef
Sixto Peralta,ar ARG,MF,22,22,16,1552,17.2,3,2,5,3,0,0,2,0,0.17,0.12,0.29,0.17,0.29,Matches,2ea4e6b1
Titus Bramble,eng ENG,DF,20,18,16,1493,16.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,83ac7c3c
Jim Magilton,nir NIR,DFMF,32,24,16,1463,16.3,0,1,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches,27240fa9
Andy Marshall,eng ENG,GK,26,13,13,1260,14.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a25b2b24
Fabian Wilnis,nl NED,DF,30,14,6,778,8.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,5c30b55b
Richard Naylor,eng ENG,DFFW,24,14,5,565,6.3,1,3,4,1,0,0,3,0,0.16,0.48,0.64,0.16,0.64,Matches,2a5b7959
Thomas Gaardsøe,dk DEN,DF,21,4,3,279,3.1,1,0,1,1,0,0,1,0,0.32,0.00,0.32,0.32,0.32,Matches,e9a92093
Darren Bent,eng ENG,FW,17,5,2,230,2.6,1,0,1,1,0,0,0,0,0.39,0.00,0.39,0.39,0.39,Matches,fe97f10b
Pablo Couñago,es ESP,FW,21,13,1,435,4.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,1633746c
Keith Branagan,ie IRL,GK,35,1,0,29,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2415cbc7
Tommy Miller,eng ENG,MF,22,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0ad6e1dc
Ulrich Le Pen,fr FRA,MF,27,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,db85a332
Darren Ambrose,eng ENG,FWMF,17,1,0,6,0.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,6e5117de
Squad Total,,,27.2,38,410,3420,38.0,41,32,73,40,1,3,42,1,1.08,0.84,1.92,1.05,1.89,,-9999
Opponent Total,,,27.0,38,,3420,38.0,,,,,,,,,,,,,,,-9999
