,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Wayne Bridge,eng ENG,DF,20,38,38,3420,38.0,0,2,2,0,0,0,0,0,0.00,0.05,0.05,0.00,0.05,Matches,86b982bc
Paul Jones,wls WAL,GK,34,36,36,3240,36.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3bf1ce9d
Claus Lundekvam,no NOR,DF,28,34,34,2884,32.0,0,0,0,0,0,0,2,1,0.00,0.00,0.00,0.00,0.00,Matches,22de8419
Anders Svensson,se SWE,MF,25,34,33,2803,31.1,4,5,9,4,0,0,0,0,0.13,0.16,0.29,0.13,0.29,Matches,2c29fd2a
Marians Pahars,lv LVA,FWMF,24,36,33,2745,30.5,14,4,18,12,2,2,2,0,0.46,0.13,0.59,0.39,0.52,Matches,bc95c25d
Paul Williams,eng ENG,DF,30,28,27,2440,27.1,0,2,2,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,Matches,651f09cc
Paul Telfer,sct SCO,DFMF,29,28,27,2374,26.4,1,2,3,1,0,0,1,0,0.04,0.08,0.11,0.04,0.11,Matches,7b3990c5
Chris Marsden,eng ENG,MF,32,28,27,2287,25.4,3,0,3,3,0,0,6,1,0.12,0.00,0.12,0.12,0.12,Matches,c1f59bed
Jason Dodd,eng ENG,DF,30,29,26,2423,26.9,0,4,4,0,0,0,3,0,0.00,0.15,0.15,0.00,0.15,Matches,df15c7a1
Matt Oakley,eng ENG,MF,23,27,26,2227,24.7,1,1,2,1,0,0,1,0,0.04,0.04,0.08,0.04,0.08,Matches,79974582
James Beattie,eng ENG,FW,23,28,24,2133,23.7,12,4,16,10,2,2,3,0,0.51,0.17,0.68,0.42,0.59,Matches,7c881089
Rory Delap,ie IRL,MF,25,28,24,2072,23.0,2,2,4,2,0,,3,2,0.09,0.09,0.17,0.09,0.17,Matches,9b0dac73
Kevin Davies,eng ENG,FW,24,23,18,1513,16.8,2,0,2,2,0,0,5,0,0.12,0.00,0.12,0.12,0.12,Matches,2f726a89
Tahar El Khalej,ma MAR,DFMF,33,14,12,1138,12.6,1,1,2,1,0,0,1,1,0.08,0.08,0.16,0.08,0.16,Matches,31388b4f
Brett Ormerod,eng ENG,FW,24,18,8,906,10.1,1,2,3,1,0,0,0,0,0.10,0.20,0.30,0.10,0.30,Matches,fde1ce8d
Jo Tessem,no NOR,MF,29,22,7,913,10.1,2,0,2,2,0,0,2,0,0.20,0.00,0.20,0.20,0.20,Matches,32290355
Fabrice Fernandes,fr FRA,MF,21,11,6,536,6.0,1,0,1,1,0,0,0,0,0.17,0.00,0.17,0.17,0.17,Matches,9838d388
Dean Richards,eng ENG,DF,27,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9fc6fda5
Uwe Rösler,de GER,FW,32,4,3,260,2.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,77a6a70d
Neil Moss,eng ENG,GK,26,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,0a63c6a4
Stuart Ripley,eng ENG,FWMF,33,5,1,165,1.8,0,1,1,0,0,0,0,0,0.00,0.55,0.55,0.00,0.55,Matches,6516188c
Mark Draper,eng ENG,MF,30,2,1,108,1.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,bf597500
Garry Monk,eng ENG,DF,22,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,a70de3a4
Agustín Delgado,ec ECU,FW,26,1,0,65,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a8d08004
Francis Benali,eng ENG,DF,32,3,0,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,91950851
Dan Petrescu,ro ROU,DF,33,2,0,55,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dc2e7399
Matt Le Tissier,eng ENG,FWMF,32,4,0,48,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d5e78451
Scott McDonald,au AUS,FWMF,17,2,0,27,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c770acfc
Paul Murray,eng ENG,MF,24,1,0,8,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,35da890c
Imants Bleidelis,lv LVA,MF,25,1,0,1,0.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,def622d5
Squad Total,,,27.5,38,390,3420,38.0,42,30,72,38,4,4,34,3,1.11,0.79,1.89,1.00,1.79,,-9999
Opponent Total,,,27.1,38,,3420,38.0,,,,,,,,,,,,,,,-9999
