,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Christian Dailly,sct SCO,DF,27,38,38,3375,37.5,0,1,1,0,0,0,3,0,0.00,0.03,0.03,0.00,0.03,Matches,0210c453
Sébastien Schemmel,fr FRA,DF,26,35,35,3059,34.0,1,6,7,1,0,0,6,0,0.03,0.18,0.21,0.03,0.21,Matches,3a12ed68
Trevor Sinclair,eng ENG,MF,28,34,34,3010,33.4,5,7,12,5,0,0,5,0,0.15,0.21,0.36,0.15,0.36,Matches,d2f7373c
Tomáš Řepka,cz CZE,DF,27,31,31,2749,30.5,0,0,0,0,0,0,11,2,0.00,0.00,0.00,0.00,0.00,Matches,d1494d48
Michael Carrick,eng ENG,MF,20,30,30,2654,29.5,2,2,4,2,0,0,4,0,0.07,0.07,0.14,0.07,0.14,Matches,ab7263c1
Joe Cole,eng ENG,MF,19,30,29,2608,29.0,0,3,3,0,0,0,5,0,0.00,0.10,0.10,0.00,0.10,Matches,2c2f117b
Nigel Winterburn,eng ENG,DF,37,31,29,2606,29.0,0,1,1,0,0,0,4,0,0.00,0.03,0.03,0.00,0.03,Matches,0672e24e
Frédéric Kanouté,ml MLI,FW,23,27,27,2196,24.4,11,3,14,11,0,0,4,0,0.45,0.12,0.57,0.45,0.57,Matches,1a24d5b6
David James,eng ENG,GK,30,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,86841dfb
Paolo Di Canio,it ITA,FW,33,26,26,2254,25.0,9,6,15,5,4,5,5,1,0.36,0.24,0.60,0.20,0.44,Matches,9bbe0ecf
Don Hutchison,sct SCO,MF,30,24,24,2024,22.5,1,2,3,1,0,0,3,0,0.04,0.09,0.13,0.04,0.13,Matches,158494ce
Jermain Defoe,eng ENG,FW,18,35,14,1640,18.2,10,0,10,10,0,0,0,0,0.55,0.00,0.55,0.55,0.55,Matches,f1e8372d
Steve Lomas,nir NIR,MF,27,15,14,1246,13.8,4,0,4,4,0,0,3,0,0.29,0.00,0.29,0.29,0.29,Matches,9e58673a
Shaka Hislop,tt TRI,GK,32,12,12,1080,12.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7f44f7dd
Ian Pearce,eng ENG,DF,27,9,8,788,8.8,2,0,2,2,0,0,3,0,0.23,0.00,0.23,0.23,0.23,Matches,3537c18f
Vladimír Labant,sk SVK,DF,27,12,7,709,7.9,0,2,2,0,0,0,1,0,0.00,0.25,0.25,0.00,0.25,Matches,4841987f
John Moncur,eng ENG,MF,34,19,7,668,7.4,0,0,0,0,0,0,6,0,0.00,0.00,0.00,0.00,0.00,Matches,e982f824
Scott Minto,eng ENG,DF,29,5,5,422,4.7,0,1,1,0,0,0,1,0,0.00,0.21,0.21,0.00,0.21,Matches,8cd0120b
Rigobert Song,cm CMR,DF,25,5,5,405,4.5,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,d884e39b
Laurent Courtois,fr FRA,MF,22,7,5,394,4.4,0,1,1,0,0,0,0,0,0.00,0.23,0.23,0.00,0.23,Matches,fdd8f774
Hayden Foxe,au AUS,DF,24,6,4,411,4.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,fa38e5ea
Paul Kitson,eng ENG,FW,30,7,3,297,3.3,3,0,3,3,0,0,0,0,0.91,0.00,0.91,0.91,0.91,Matches,86707c0d
Svetoslav Todorov,bg BUL,FW,22,5,2,221,2.5,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,504688a9
Ragnvald Soma,no NOR,DF,21,3,1,125,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9f6e2d34
Richard Garcia,au AUS,FWMF,19,2,1,85,0.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c3ae2db4
Grant McCann,nir NIR,MF,21,3,0,72,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e016d510
Shaun Byrne,ie IRL,DFMF,20,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7510c631
Titi Camara,gn GUI,FW,28,1,0,7,0.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,9a0eee14
Squad Total,,,27.4,38,419,3420,38.0,48,34,82,44,4,5,68,3,1.26,0.89,2.16,1.16,2.05,,-9999
Opponent Total,,,27.2,38,,3420,38.0,,,,,,,,,,,,,,,-9999
