,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Dean Kiely,ie IRL,GK,31,38,38,3362,37.4,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches,0012caa1
Chris Powell,eng ENG,DF,32,37,35,3179,35.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,721060d9
Jason Euell,jm JAM,FWMF,25,36,35,3116,34.6,10,2,12,7,3,4,6,0,0.29,0.06,0.35,0.20,0.26,Matches,d97fe8bd
Claus Jensen,dk DEN,MF,25,35,32,2897,32.2,6,7,13,6,0,0,1,0,0.19,0.22,0.40,0.19,0.40,Matches,b8f8fb0d
Richard Rufus,eng ENG,DF,27,30,29,2641,29.3,2,0,2,2,0,0,7,0,0.07,0.00,0.07,0.07,0.07,Matches,16e11f73
Luke Young,eng ENG,DF,23,32,29,2574,28.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,409a29d7
Scott Parker,eng ENG,MF,21,28,28,2443,27.1,4,3,7,4,0,0,10,0,0.15,0.11,0.26,0.15,0.26,Matches,65faf2a1
Radostin Kishishev,bg BUL,DFMF,28,34,27,2204,24.5,2,0,2,2,0,0,4,0,0.08,0.00,0.08,0.08,0.08,Matches,d06e83b4
Shaun Bartlett,za RSA,FW,29,31,25,2138,23.8,4,2,6,4,0,0,3,0,0.17,0.08,0.25,0.17,0.25,Matches,0bbb893d
Kevin Lisbie,jm JAM,FW,23,32,24,2183,24.3,4,3,7,4,0,0,3,0,0.16,0.12,0.29,0.16,0.29,Matches,e509ea01
Mark Fish,za RSA,DFFW,28,23,23,1911,21.2,2,0,2,2,0,0,2,0,0.09,0.00,0.09,0.09,0.09,Matches,71e120b7
Jonathan Fortune,eng ENG,DF,21,26,22,2053,22.8,1,0,1,1,0,0,3,0,0.04,0.00,0.04,0.04,0.04,Matches,dfa0cd77
Paul Konchesky,eng ENG,DFFW,21,30,17,1636,18.2,3,1,4,3,0,0,4,1,0.17,0.06,0.22,0.17,0.22,Matches,941bcf75
Gary Rowett,eng ENG,DF,28,12,12,996,11.1,1,0,1,1,0,0,1,0,0.09,0.00,0.09,0.09,0.09,Matches,92c33b52
Jonatan Johansson,fi FIN,FW,26,31,10,1052,11.7,3,2,5,3,0,0,0,0,0.26,0.17,0.43,0.26,0.43,Matches,bc8c9864
John Robinson,wls WAL,MF,30,13,10,921,10.2,0,1,1,0,0,0,2,0,0.00,0.10,0.10,0.00,0.10,Matches,0a8ac335
Chris Bart-Williams,eng ENG,DFMF,28,13,7,611,6.8,1,0,1,0,1,1,0,0,0.15,0.00,0.15,0.00,0.00,Matches,250d1973
Robbie Mustoe,eng ENG,MF,33,6,6,490,5.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,2c02df03
Mathias Svensson,se SWE,FW,27,15,4,427,4.7,0,1,1,0,0,0,3,0,0.00,0.21,0.21,0.00,0.21,Matches,d735eec3
Graham Stuart,eng ENG,FWMF,31,4,3,214,2.4,0,1,1,0,0,0,0,0,0.00,0.42,0.42,0.00,0.42,Matches,159c714f
Tahar El Khalej,ma MAR,DFMF,34,3,2,195,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,31388b4f
Steve Brown,eng ENG,DF,30,3,0,124,1.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a889aef3
Ben Roberts,eng ENG,GK,27,1,0,58,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c6816db7
Jesper Blomqvist,se SWE,DFMF,28,3,0,53,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b51b5dd2
Osei Sankofa,eng ENG,DF,17,1,0,18,0.2,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,91c2769d
Jamal Campbell-Ryce,jm JAM,FWMF,19,1,0,5,0.1,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d02c06d8
Squad Total,,,27.0,38,420,3420,38.0,43,24,67,39,4,5,56,1,1.13,0.63,1.76,1.03,1.66,,-9999
Opponent Total,,,27.1,38,,3420,38.0,,,,,,,,,,,,,,,-9999
