,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Alan Stubbs,eng ENG,DF,30,35,34,2938,32.6,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,474865f9
Richard Wright,eng ENG,GK,24,33,33,2970,33.0,0,1,1,0,0,0,1,0,0.00,0.03,0.03,0.00,0.03,Matches,d9e2e2ae
David Unsworth,eng ENG,DF,28,33,32,2770,30.8,5,2,7,1,4,4,5,1,0.16,0.06,0.23,0.03,0.10,Matches,05fcbb55
Kevin Campbell,eng ENG,FW,32,36,31,2736,30.4,10,4,14,10,0,0,3,0,0.33,0.13,0.46,0.33,0.46,Matches,b209e651
Thomas Gravesen,dk DEN,MF,26,33,30,2712,30.1,1,8,9,1,0,0,11,0,0.03,0.27,0.30,0.03,0.30,Matches,b769b5bd
David Weir,sct SCO,DF,32,31,27,2538,28.2,0,1,1,0,0,0,7,2,0.00,0.04,0.04,0.00,0.04,Matches,ba286fd8
Tomasz Radzinski,ca CAN,FW,28,30,27,2300,25.6,11,3,14,11,0,0,0,0,0.43,0.12,0.55,0.43,0.55,Matches,c3bb247b
Gary Naysmith,sct SCO,DFMF,23,28,24,2094,23.3,1,2,3,1,0,0,4,1,0.04,0.09,0.13,0.04,0.13,Matches,71cbf286
Tony Hibbert,eng ENG,DF,21,24,23,2051,22.8,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches,c878c4bf
Joseph Yobo,ng NGA,DF,21,24,22,1882,20.9,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,acd633df
Lee Carsley,ie IRL,MF,28,24,21,1866,20.7,3,1,4,3,0,0,1,0,0.14,0.05,0.19,0.14,0.19,Matches,8393a60b
Mark Pembridge,wls WAL,MF,31,21,19,1656,18.4,1,1,2,1,0,0,2,0,0.05,0.05,0.11,0.05,0.11,Matches,0f9d5dee
Wayne Rooney,eng ENG,FWMF,16,33,14,1599,17.8,6,4,10,6,0,0,6,1,0.34,0.23,0.56,0.34,0.56,Matches,f07be45a
Steve Watson,eng ENG,DFMF,28,18,14,1333,14.8,5,1,6,5,0,0,1,0,0.34,0.07,0.41,0.34,0.41,Matches,302d8e76
Alessandro Pistone,it ITA,DF,27,15,10,946,10.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,956096ee
Scot Gemmill,sct SCO,MF,31,16,10,936,10.4,0,3,3,0,0,0,2,0,0.00,0.29,0.29,0.00,0.29,Matches,27e0c651
Brian McBride,us USA,FW,30,8,7,557,6.2,4,1,5,4,0,0,0,0,0.65,0.16,0.81,0.65,0.81,Matches,c3c36568
Niclas Alexandersson,se SWE,MF,30,7,4,311,3.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8fce0898
Tobias Linderoth,se SWE,MF,23,5,2,296,3.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,f41a16b2
Paul Gerrard,eng ENG,GK,29,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fb9646e3
Steve Simonsen,eng ENG,GK,23,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b37c3eea
Espen Baardsen,no NOR,GK,24,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7bfd3eff
Li Tie,cn CHN,FWMF,24,1,1,90,1.0,0,3,3,0,0,0,1,0,0.00,3.00,3.00,0.00,3.00,Matches,b9c52f4a
Li Weifeng,cn CHN,DF,24,1,1,90,1.0,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2e415448
Duncan Ferguson,sct SCO,FW,30,7,0,188,2.1,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,9593e964
Rodrigo Beckham,br BRA,MF,25,4,0,52,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,80c74875
Nick Chadwick,eng ENG,FW,19,1,0,16,0.2,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,b6602cb4
Leon Osman,eng ENG,MF,21,2,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a014c247
Squad Total,,,27.4,38,392,3420,38.0,48,32,80,44,4,4,56,5,1.26,0.84,2.11,1.16,2.00,,-9999
Opponent Total,,,26.9,38,,3420,38.0,,,,,,,,,,,,,,,-9999
