,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Paul Robinson,eng ENG,GK,22,38,38,3420,38.0,0,1,1,0,0,0,0,0,0.00,0.03,0.03,0.00,0.03,Matches,3515ba56
Alan Smith,eng ENG,FWMF,21,33,33,2737,30.4,3,5,8,3,0,1,13,2,0.10,0.16,0.26,0.10,0.26,Matches,fdac06ea
Danny Mills,eng ENG,DF,25,33,32,2816,31.3,1,1,2,1,0,0,6,0,0.03,0.03,0.06,0.03,0.06,Matches,240e4301
Harry Kewell,au AUS,FWMF,23,31,31,2703,30.0,14,7,21,14,0,0,3,0,0.47,0.23,0.70,0.47,0.70,Matches,51ef13b9
Eirik Bakke,no NOR,MF,24,34,31,2643,29.4,1,3,4,1,0,0,10,0,0.03,0.10,0.14,0.03,0.14,Matches,5a10a72e
Mark Viduka,au AUS,FW,26,33,29,2588,28.8,20,3,23,17,3,3,6,0,0.70,0.10,0.80,0.59,0.70,Matches,c4c545c7
Ian Harte,ie IRL,DF,24,27,24,2201,24.5,3,3,6,2,1,1,3,0,0.12,0.12,0.25,0.08,0.20,Matches,fd4fa092
Gary Kelly,ie IRL,DF,28,25,24,2186,24.3,0,5,5,0,0,0,0,0,0.00,0.21,0.21,0.00,0.21,Matches,1832e33c
Jason Wilcox,eng ENG,FWMF,31,25,23,2024,22.5,1,2,3,1,0,0,3,0,0.04,0.09,0.13,0.04,0.13,Matches,6b9fa9ad
Dominic Matteo,sct SCO,DFMF,28,20,20,1732,19.2,0,2,2,0,0,0,3,0,0.00,0.10,0.10,0.00,0.10,Matches,f6ea8457
Jonathan Woodgate,eng ENG,DF,22,18,18,1590,17.7,1,1,2,1,0,0,2,0,0.06,0.06,0.11,0.06,0.11,Matches,9482a3bd
Lucas Radebe,za RSA,DF,33,19,16,1515,16.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,84d2a0f0
Teddy Lučić,se SWE,DF,29,17,16,1359,15.1,1,0,1,1,0,0,1,0,0.07,0.00,0.07,0.07,0.07,Matches,25a2a558
Nick Barmby,eng ENG,FWMF,28,19,16,1348,15.0,4,2,6,4,0,0,2,0,0.27,0.13,0.40,0.27,0.40,Matches,4af0a400
Lee Bowyer,eng ENG,MF,25,15,15,1342,14.9,3,2,5,3,0,0,7,0,0.20,0.13,0.34,0.20,0.34,Matches,f4fd57ba
Paul Okon,au AUS,MF,30,15,15,1281,14.2,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,61d7a6b1
Michael Duberry,eng ENG,DF,26,14,11,1032,11.5,0,1,1,0,0,0,1,0,0.00,0.09,0.09,0.00,0.09,Matches,db61b520
Stephen McPhail,ie IRL,MF,22,13,7,662,7.4,0,1,1,0,0,0,1,0,0.00,0.14,0.14,0.00,0.14,Matches,60c96516
Raúl Bravo,es ESP,DF,21,5,5,400,4.4,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,65b9e56b
Olivier Dacourt,fr FRA,MF,27,7,4,369,4.1,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,3a114b3c
Seth Johnson,eng ENG,FWMF,23,9,3,365,4.1,1,0,1,1,0,0,1,0,0.25,0.00,0.25,0.25,0.25,Matches,5915b54c
Robbie Fowler,eng ENG,FW,27,8,2,238,2.6,2,0,2,,,,1,0,0.76,0.00,0.76,,,Matches,7cd34266
Jacob Burns,au AUS,MF,24,2,2,127,1.4,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,400a4f05
James Milner,eng ENG,DFMF,16,18,1,524,5.8,2,0,2,2,0,0,0,0,0.34,0.00,0.34,0.34,0.34,Matches,2f90f6b8
Michael Bridges,eng ENG,FWMF,23,5,1,145,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a57b3014
Simon Johnson,eng ENG,MF,19,4,1,131,1.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dca18241
Robbie Keane,ie IRL,FW,22,3,0,67,0.7,1,0,1,1,0,0,0,0,1.34,0.00,1.34,1.34,1.34,Matches,f45e1bb2
Jamie McMaster,eng ENG,MF,19,4,0,49,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dbae44b4
Matthew Kilgallon,eng ENG,DF,18,2,0,5,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7c6a3c44
Squad Total,,,25.8,38,401,3420,38.0,54,39,93,50,4,5,73,1,1.42,1.03,2.45,1.32,2.34,,-9999
Opponent Total,,,27.1,38,,3420,38.0,,,,,,,,,,,,,,,-9999
