,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
James Beattie,eng ENG,FW,24,38,35,3198,35.5,23,2,25,18,5,5,3,0,0.65,0.06,0.70,0.51,0.56,Matches,7c881089
Fabrice Fernandes,fr FRA,MF,22,37,35,2956,32.8,3,3,6,3,0,0,3,0,0.09,0.09,0.18,0.09,0.18,Matches,9838d388
Wayne Bridge,eng ENG,DF,21,34,34,3050,33.9,1,2,3,1,0,0,6,0,0.03,0.06,0.09,0.03,0.09,Matches,86b982bc
Michael Svensson,se SWE,DF,26,34,33,3016,33.5,2,1,3,2,0,0,4,1,0.06,0.03,0.09,0.06,0.09,Matches,123a0e8f
Claus Lundekvam,no NOR,DF,29,33,33,2907,32.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,22de8419
Chris Marsden,eng ENG,MF,33,30,30,2637,29.3,1,3,4,1,0,0,8,0,0.03,0.10,0.14,0.03,0.14,Matches,c1f59bed
Matt Oakley,eng ENG,MF,24,31,28,2508,27.9,0,3,3,0,0,0,2,0,0.00,0.11,0.11,0.00,0.11,Matches,79974582
Paul Telfer,sct SCO,DFMF,30,33,26,2392,26.6,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,7b3990c5
Anders Svensson,se SWE,MF,26,33,26,2220,24.7,2,3,5,2,0,0,3,0,0.08,0.12,0.20,0.08,0.20,Matches,2c29fd2a
Antti Niemi,fi FIN,GK,30,25,25,2246,25.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,79c3c101
Rory Delap,ie IRL,MF,26,24,22,1900,21.1,0,1,1,0,0,0,2,0,0.00,0.05,0.05,0.00,0.05,Matches,9b0dac73
Brett Ormerod,eng ENG,FW,25,31,22,1765,19.6,5,4,9,5,0,0,3,0,0.25,0.20,0.46,0.25,0.46,Matches,fde1ce8d
Paul Jones,wls WAL,GK,35,14,13,1174,13.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3bf1ce9d
Jason Dodd,eng ENG,DF,31,15,13,1140,12.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,df15c7a1
Paul Williams,eng ENG,DF,31,11,10,897,10.0,0,0,0,0,0,0,4,1,0.00,0.00,0.00,0.00,0.00,Matches,651f09cc
Jo Tessem,no NOR,MF,30,27,9,1107,12.3,2,0,2,2,0,0,0,0,0.16,0.00,0.16,0.16,0.16,Matches,32290355
David Prutton,eng ENG,MF,20,12,9,888,9.9,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,7123fdc0
Marians Pahars,lv LVA,FWMF,25,9,5,460,5.1,1,0,1,0,1,1,3,1,0.20,0.00,0.20,0.00,0.00,Matches,bc95c25d
Danny Higginbotham,gi GIB,DF,23,9,3,379,4.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,688135a1
Agustín Delgado,ec ECU,FW,27,6,2,184,2.0,1,0,1,1,0,0,0,0,0.49,0.00,0.49,0.49,0.49,Matches,a8d08004
Francis Benali,eng ENG,DF,33,2,2,180,2.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,91950851
Chris Baird,nir NIR,DFMF,20,3,1,159,1.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,55fd8c81
Kevin Davies,eng ENG,FW,25,9,1,150,1.7,1,0,1,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,Matches,2f726a89
Garry Monk,eng ENG,DF,23,1,1,65,0.7,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a70de3a4
Andrei Kanchelskis,ru RUS,DFMF,33,1,0,34,0.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,82fa1e78
Tahar El Khalej,ma MAR,DFMF,34,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,31388b4f
Squad Total,,,27.2,38,417,3420,38.0,42,24,66,36,6,6,49,3,1.11,0.63,1.74,0.95,1.58,,-9999
Opponent Total,,,27.0,38,,3420,38.0,,,,,,,,,,,,,,,-9999
