,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Michael Gray,eng ENG,DFMF,27,32,32,2786,31.0,1,2,3,1,0,0,2,0,0.03,0.06,0.10,0.03,0.10,Matches,fefae709
Kevin Phillips,eng ENG,FW,29,32,32,2748,30.5,6,4,10,5,1,2,3,0,0.20,0.13,0.33,0.16,0.29,Matches,23d97ca1
Kevin Kilbane,ie IRL,DFMF,25,30,30,2643,29.4,1,2,3,1,0,0,6,0,0.03,0.07,0.10,0.03,0.10,Matches,56cf4517
Gavin McCann,eng ENG,MF,24,30,29,2467,27.4,1,2,3,1,0,1,10,0,0.04,0.07,0.11,0.04,0.11,Matches,d1e78f75
Phil Babb,ie IRL,DF,31,26,26,2313,25.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,37af386a
Jody Craddock,eng ENG,DFMF,27,25,25,2250,25.0,1,0,1,1,0,0,2,0,0.04,0.00,0.04,0.04,0.04,Matches,573e5dd2
Stephen Wright,eng ENG,DF,22,26,25,2182,24.2,0,0,0,0,0,0,8,0,0.00,0.00,0.00,0.00,0.00,Matches,4722b94a
Tore André Flo,no NOR,FW,29,29,23,1995,22.2,4,1,5,4,0,0,0,0,0.18,0.05,0.23,0.18,0.23,Matches,83e490ef
Thomas Sørensen,dk DEN,GK,26,21,21,1813,20.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,31d82fec
Joachim Björklund,se SWE,DF,31,20,19,1592,17.7,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,bedacbef
George McCartney,nir NIR,DF,21,24,16,1553,17.3,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,f6c4946d
Darren Williams,eng ENG,DF,25,16,12,1213,13.5,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,45364051
Paul Thirlwell,eng ENG,MF,23,19,12,1149,12.8,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,3f658e48
Jürgen Macho,at AUT,GK,24,13,12,1143,12.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,ce8143d7
Michael Proctor,eng ENG,FW,21,21,11,1017,11.3,2,1,3,2,0,0,2,0,0.18,0.09,0.27,0.18,0.27,Matches,6bb9597b
Sean Thornton,ie IRL,MF,19,11,11,945,10.5,1,0,1,1,0,0,0,0,0.10,0.00,0.10,0.10,0.10,Matches,ea7bd692
Claudio Reyna,us USA,MF,29,11,11,928,10.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,75a3a799
Kevin Kyle,sct SCO,FW,21,17,9,866,9.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,b98c1020
Marcus Stewart,eng ENG,FW,29,19,9,844,9.4,1,0,1,1,0,0,2,1,0.11,0.00,0.11,0.11,0.11,Matches,80463957
Jason McAteer,ie IRL,MF,31,9,9,708,7.9,1,1,2,1,0,0,3,0,0.13,0.13,0.25,0.13,0.25,Matches,8a09067c
Matt Piper,eng ENG,MF,20,13,8,783,8.7,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,86973a1d
Talal El Karkouri,ma MAR,DFMF,26,8,8,653,7.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,a6292419
Julio Arca,ar ARG,DFMF,21,13,7,783,8.7,0,1,1,0,0,0,0,0,0.00,0.11,0.11,0.00,0.11,Matches,7ac25aa9
Thomas Butler,ie IRL,MF,21,7,7,570,6.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d033d76b
David Bellion,fr FRA,FW,19,11,5,588,6.5,1,0,1,1,0,0,0,0,0.15,0.00,0.15,0.15,0.15,Matches,a901d685
Mart Poom,ee EST,GK,30,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,f60f19b7
Chris Black,eng ENG,MF,19,2,2,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,90259a8e
John Oster,wls WAL,MF,23,3,1,111,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,bbf029eb
Thomas Myhre,no NOR,GK,28,2,1,104,1.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dc3fc546
Emerson Thome,br BRA,DF,30,1,1,68,0.8,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,7dc1b3c9
Niall Quinn,ie IRL,FW,35,8,0,180,2.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,050093a9
Richie Ryan,ie IRL,MF,17,2,0,59,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,963ce2a6
Jonjo Dickman,eng ENG,MF,20,1,0,44,0.5,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,02a3cd5e
Ben Clark,eng ENG,DF,19,1,0,26,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,3cd1c96c
Squad Total,,,26.0,38,413,3420,38.0,21,16,37,20,1,3,60,0,0.55,0.42,0.97,0.53,0.95,,-9999
Opponent Total,,,27.2,38,,3420,38.0,,,,,,,,,,,,,,,-9999
