,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Russell Hoult,eng ENG,GK,29,37,37,3275,36.4,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,92f8fb89
Sean Gregan,eng ENG,DF,28,36,36,3187,35.4,1,0,1,1,0,0,10,0,0.03,0.00,0.03,0.03,0.03,Matches,ea44eeb9
Neil Clement,eng ENG,DF,23,36,34,3149,35.0,3,1,4,3,0,0,4,0,0.09,0.03,0.11,0.09,0.11,Matches,d33e645f
Jason Roberts,gd GRN,FW,24,32,31,2717,30.2,3,1,4,3,0,0,4,1,0.10,0.03,0.13,0.10,0.13,Matches,62487637
Andy Johnson,wls WAL,MF,28,32,30,2704,30.0,1,1,2,1,0,0,6,1,0.03,0.03,0.07,0.03,0.07,Matches,8333a39e
Darren Moore,jm JAM,DF,28,29,29,2458,27.3,2,1,3,2,0,0,2,0,0.07,0.04,0.11,0.07,0.11,Matches,66f7c69b
Derek McInnes,sct SCO,MF,31,29,28,2354,26.2,2,3,5,2,0,0,6,1,0.08,0.11,0.19,0.08,0.19,Matches,6e77c866
Jason Koumas,wls WAL,MF,22,32,27,2356,26.2,4,5,9,4,0,0,4,0,0.15,0.19,0.34,0.15,0.34,Matches,e3c6ba7b
Igor Bališ,sk SVK,DFMF,32,28,27,2319,25.8,2,0,2,1,1,1,0,0,0.08,0.00,0.08,0.04,0.04,Matches,353f4ee4
Lárus Sigurðsson,is ISL,DF,29,29,23,2143,23.8,0,1,1,0,0,0,4,0,0.00,0.04,0.04,0.00,0.04,Matches,5901455c
Ronnie Wallwork,eng ENG,DFMF,24,27,23,2116,23.5,0,2,2,0,0,0,2,0,0.00,0.09,0.09,0.00,0.09,Matches,cb7b25cf
Phil Gilchrist,eng ENG,DF,28,22,22,1948,21.6,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,dfff734f
Danny Dichio,eng ENG,FW,27,28,19,1894,21.0,5,0,5,5,0,0,6,0,0.24,0.00,0.24,0.24,0.24,Matches,da431eb0
Lee Hughes,eng ENG,FW,26,23,14,1140,12.7,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,fd08b4e6
Scott Dobie,sct SCO,FW,23,31,10,1191,13.2,5,0,5,5,0,0,0,0,0.38,0.00,0.38,0.38,0.38,Matches,64640563
Adam Chambers,eng ENG,DFMF,21,13,10,894,9.9,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches,c04ec549
Ifeanyi Udeze,ng NGA,DF,22,11,7,508,5.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,62067577
Lee Marshall,eng ENG,DFMF,23,9,4,396,4.4,1,0,1,1,0,0,1,0,0.23,0.00,0.23,0.23,0.23,Matches,40416d99
James Chambers,eng ENG,DF,21,8,2,298,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,4f2a1eb0
Des Lyttle,eng ENG,DF,30,4,2,202,2.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,8cc40692
Bob Taylor,eng ENG,FW,35,4,2,114,1.3,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,034eeba4
Joe Murphy,ie IRL,GK,20,2,1,145,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,fd957dfb
Jordão,pt POR,MF,30,3,0,30,0.3,0,0,0,0,0,,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d132b0ae
Squad Total,,,27.2,38,418,3420,38.0,29,11,40,28,1,1,49,4,0.76,0.29,1.05,0.74,1.03,,-9999
Opponent Total,,,27.0,38,,3420,38.0,,,,,,,,,,,,,,,-9999
