,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Kenny Cunningham,ie IRL,DF,32,36,36,3211,35.7,0,2,2,0,0,0,2,1,0.00,0.06,0.06,0.00,0.06,Matches,984a2038
Damien Johnson,nir NIR,MF,24,35,35,3072,34.1,1,4,5,1,0,0,6,0,0.03,0.12,0.15,0.03,0.15,Matches,c1c0a75f
Maik Taylor,nir NIR,GK,31,34,34,2959,32.9,0,0,0,0,0,0,0,2,0.00,0.00,0.00,0.00,0.00,Matches,755ea891
Mikael Forssell,fi FIN,FW,22,32,32,2794,31.0,17,1,18,16,1,1,1,0,0.55,0.03,0.58,0.52,0.55,Matches,1454df8d
Stephen Clemence,eng ENG,MF,25,35,32,2728,30.3,2,1,3,2,0,0,4,0,0.07,0.03,0.10,0.07,0.10,Matches,31f20410
Robbie Savage,wls WAL,MF,28,31,31,2675,29.7,3,4,7,1,2,2,12,0,0.10,0.13,0.24,0.03,0.17,Matches,f60a24de
Matt Upson,eng ENG,DF,24,30,30,2686,29.8,0,1,1,0,0,0,2,0,0.00,0.03,0.03,0.00,0.03,Matches,1a6e6d03
Stan Lazaridis,au AUS,DFMF,30,30,25,2125,23.6,2,5,7,2,0,0,0,0,0.08,0.21,0.30,0.08,0.30,Matches,5350fc7f
Jamie Clapham,eng ENG,DF,27,25,22,2015,22.4,0,1,1,0,0,0,0,0,0.00,0.04,0.04,0.00,0.04,Matches,1df59e7b
David Dunn,eng ENG,MF,23,21,20,1790,19.9,2,1,3,1,1,2,2,0,0.10,0.05,0.15,0.05,0.10,Matches,7ecdf483
Clinton Morrison,ie IRL,FW,24,32,19,1802,20.0,4,4,8,4,0,0,1,0,0.20,0.20,0.40,0.20,0.40,Matches,e80d5b3b
Bryan Hughes,eng ENG,MF,27,26,17,1679,18.7,3,1,4,3,0,0,0,0,0.16,0.05,0.21,0.16,0.21,Matches,2afff071
Olivier Tébily,ci CIV,DF,27,27,17,1553,17.3,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches,10b7ae2e
Jeff Kenna,ie IRL,DF,32,17,14,1200,13.3,2,0,2,2,0,0,1,0,0.15,0.00,0.15,0.15,0.15,Matches,cf4038bb
Christophe Dugarry,fr FRA,FWMF,31,14,12,992,11.0,1,1,2,1,0,0,4,1,0.09,0.09,0.18,0.09,0.18,Matches,4c5db7e2
Martin Taylor,eng ENG,DF,23,12,11,993,11.0,1,0,1,1,0,0,0,0,0.09,0.00,0.09,0.09,0.09,Matches,08840bbf
Darren Purse,eng ENG,DF,26,9,9,802,8.9,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,70137152
Stern John,tt TRI,FW,26,29,7,830,9.2,4,0,4,4,0,0,0,0,0.43,0.00,0.43,0.43,0.43,Matches,e4e2ac24
Aliou Cissé,sn SEN,DFMF,27,15,5,535,5.9,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,0717f817
Ian Bennett,eng ENG,GK,31,6,4,461,5.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,28d29138
Martin Grainger,eng ENG,DF,30,4,3,250,2.8,1,1,2,1,0,0,0,0,0.36,0.36,0.72,0.36,0.72,Matches,0e6df4ab
Geoff Horsfield,eng ENG,FW,29,3,2,147,1.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,eb3a9b6d
Darren Carter,eng ENG,DFMF,19,5,1,74,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,52fefc5b
Jovan Kirovski,us USA,FW,27,6,0,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,393c5930
Paul Devlin,sct SCO,MF,31,2,0,20,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,58be3ded
Andrew Barrowman,sct SCO,FW,18,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,dd2a2b08
Luciano Figueroa,ar ARG,FW,22,1,0,3,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c4e3421a
Squad Total,,,27.4,38,428,3420,38.0,43,29,72,39,4,5,46,5,1.13,0.76,1.89,1.03,1.79,,-9999
Opponent Total,,,27.2,38,,3420,38.0,,,,,,,,,,,,,,,-9999
