,,,,,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Frank Lampard,eng ENG,MF,25,38,38,3374,37.5,10,5,15,8,2,2,3,0,0.27,0.13,0.40,0.21,0.35,Matches,268df6b1
John Terry,eng ENG,DF,22,33,33,2965,32.9,2,2,4,2,0,0,5,0,0.06,0.06,0.12,0.06,0.12,Matches,68517cfd
Wayne Bridge,eng ENG,DF,22,33,33,2964,32.9,1,4,5,1,0,0,1,0,0.03,0.12,0.15,0.03,0.15,Matches,86b982bc
Claude Makélélé,fr FRA,MF,30,30,26,2398,26.6,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches,c27d01de
Carlo Cudicini,it ITA,GK,29,26,26,2340,26.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,df77463a
William Gallas,fr FRA,DF,25,29,23,2091,23.2,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches,286fb7e0
Jimmy Floyd Hasselbaink,nl NED,FW,31,30,22,1989,22.1,12,5,17,10,2,2,6,0,0.54,0.23,0.77,0.45,0.68,Matches,db8a04d1
Adrian Mutu,ro ROU,FWMF,24,25,21,1759,19.5,6,4,10,6,0,0,5,0,0.31,0.20,0.51,0.31,0.51,Matches,7af7fbd8
Mario Melchiot,nl NED,DF,26,23,20,1838,20.4,2,0,2,2,0,0,1,0,0.10,0.00,0.10,0.10,0.10,Matches,1f5e2ed9
Geremi,cm CMR,DFMF,24,25,19,1745,19.4,1,4,5,1,0,0,0,1,0.05,0.21,0.26,0.05,0.26,Matches,3571f3d1
Jesper Grønkjær,dk DEN,FWMF,25,31,19,1656,18.4,2,2,4,2,0,0,5,0,0.11,0.11,0.22,0.11,0.22,Matches,afe43b0f
Joe Cole,eng ENG,MF,21,35,18,1648,18.3,1,5,6,1,0,0,3,0,0.05,0.27,0.33,0.05,0.33,Matches,2c2f117b
Eiður Guðjohnsen,is ISL,FWMF,24,26,17,1572,17.5,6,2,8,6,0,0,2,1,0.34,0.11,0.46,0.34,0.46,Matches,32fc9ff2
Glen Johnson,eng ENG,DF,18,19,17,1505,16.7,3,1,4,3,0,0,3,0,0.18,0.06,0.24,0.18,0.24,Matches,8cceca90
Damien Duff,ie IRL,FWMF,24,23,17,1459,16.2,5,9,14,5,0,0,0,0,0.31,0.56,0.86,0.31,0.86,Matches,057a6936
Marcel Desailly,fr FRA,DFMF,34,15,15,1331,14.8,0,1,1,0,0,0,0,0,0.00,0.07,0.07,0.00,0.07,Matches,9dfb97aa
Hernán Crespo,ar ARG,FW,28,19,13,1146,12.7,10,0,10,10,0,0,1,0,0.79,0.00,0.79,0.79,0.79,Matches,09089343
Robert Huth,de GER,DF,18,16,8,795,8.8,0,0,0,0,0,0,8,1,0.00,0.00,0.00,0.00,0.00,Matches,0bd1ea64
Marco Ambrosio,it ITA,GK,30,8,8,720,8.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,055b2cff
Scott Parker,eng ENG,MF,22,11,7,603,6.7,1,0,1,1,0,0,2,0,0.15,0.00,0.15,0.15,0.15,Matches,65faf2a1
Juan Sebastián Verón,ar ARG,MF,28,7,5,483,5.4,1,0,1,1,0,0,0,0,0.19,0.00,0.19,0.19,0.19,Matches,f11a57c1
Celestine Babayaro,ng NGA,DFMF,24,6,5,440,4.9,1,2,3,1,0,0,0,0,0.20,0.41,0.61,0.20,0.61,Matches,dd4e6b97
Neil Sullivan,sct SCO,GK,33,4,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2ea16583
Emmanuel Petit,fr FRA,DFMF,32,4,3,264,2.9,0,1,1,0,0,0,1,0,0.00,0.34,0.34,0.00,0.34,Matches,291358c4
Alexis Nicolas,cy CYP,MF,20,2,1,91,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,a18d30fa
Mario Stanić,hr CRO,FWMF,31,2,0,25,0.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,c5c88be5
Filipe Oliveira,pt POR,DFMF,19,1,0,11,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,d0351477
Squad Total,,,25.9,38,438,3420,38.0,67,58,125,63,4,4,46,3,1.76,1.53,3.29,1.66,3.18,,-9999
Opponent Total,,,27.3,38,,3420,38.0,,,,,,,,,,,,,,,-9999
