,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
Sylvain Distin,fr FRA,DF,25,38,38,3420,38.0,2,0,2,2,0,0,6,0,0.05,0.00,0.05,0.05,0.05,Matches,002d06bb
Michael Tarnat,de GER,DFMF,33,32,32,2861,31.8,3,5,8,3,0,0,5,0,0.09,0.16,0.25,0.09,0.25,Matches,2572fceb
Shaun Wright-Phillips,eng ENG,FWMF,21,34,32,2847,31.6,7,2,9,7,0,0,2,1,0.22,0.06,0.28,0.22,0.28,Matches,e1e0b05f
Nicolas Anelka,fr FRA,FW,24,32,31,2737,30.4,16,4,20,12,4,4,1,1,0.53,0.13,0.66,0.39,0.53,Matches,931ed5e9
Sun Jihai,cn CHN,DF,25,33,29,2635,29.3,1,5,6,1,0,0,8,0,0.03,0.17,0.20,0.03,0.20,Matches,fd08c217
Richard Dunne,ie IRL,DF,23,29,28,2500,27.8,0,0,0,0,0,0,5,0,0.00,0.00,0.00,0.00,0.00,Matches,6cbc015d
Joey Barton,eng ENG,MF,20,28,24,2186,24.3,1,2,3,1,0,0,8,0,0.04,0.08,0.12,0.04,0.12,Matches,93bfa675
Robbie Fowler,eng ENG,FW,28,31,23,1911,21.2,7,0,7,7,0,0,2,0,0.33,0.00,0.33,0.33,0.33,Matches,7cd34266
Paul Bosvelt,nl NED,DFMF,33,25,22,1914,21.3,0,1,1,0,0,0,3,0,0.00,0.05,0.05,0.00,0.05,Matches,56d1e956
Trevor Sinclair,eng ENG,MF,30,29,20,1993,22.1,1,2,3,1,0,0,2,0,0.05,0.09,0.14,0.05,0.14,Matches,d2f7373c
Steve McManaman,eng ENG,MF,31,22,20,1615,17.9,0,1,1,0,0,0,1,0,0.00,0.06,0.06,0.00,0.06,Matches,9be05f40
David Seaman,eng ENG,GK,39,19,19,1595,17.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,2d578837
Claudio Reyna,us USA,MF,30,23,19,1564,17.4,1,1,2,1,0,0,0,0,0.06,0.06,0.12,0.06,0.12,Matches,75a3a799
Antoine Sibierski,fr FRA,FWMF,28,33,18,1745,19.4,5,4,9,5,0,0,1,0,0.26,0.21,0.46,0.26,0.46,Matches,22936ff2
David Sommeil,gp GLP,DF,28,18,18,1620,18.0,1,0,1,1,0,0,3,0,0.06,0.00,0.06,0.06,0.06,Matches,f4c68930
David James,eng ENG,GK,32,17,17,1530,17.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,86841dfb
Paulo Wanchope,cr CRC,FW,27,22,12,1195,13.3,6,2,8,6,0,0,1,0,0.45,0.15,0.60,0.45,0.60,Matches,3ab888b3
Jon Macken,ie IRL,FW,25,15,7,658,7.3,1,2,3,1,0,0,0,0,0.14,0.27,0.41,0.14,0.41,Matches,b3e2544a
Daniel Van Buyten,be BEL,DF,25,5,5,435,4.8,0,0,0,0,0,0,0,1,0.00,0.00,0.00,0.00,0.00,Matches,18a7d190
Kevin Stuhr Ellegaard,dk DEN,GK,20,4,2,295,3.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,040f6bc4
Eyal Berkovic,il ISR,MF,31,4,1,149,1.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,10e485ae
Danny Tiatto,au AUS,DFMF,30,5,1,148,1.6,0,1,1,0,0,0,1,0,0.00,0.61,0.61,0.00,0.61,Matches,98538ebb
Stephen Elliott,ie IRL,FW,19,2,0,18,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,605d320e
Stephen Jordan,eng ENG,DF,21,2,0,10,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,1a3d94b5
Squad Total,,,27.9,38,418,3420,38.0,52,37,89,48,4,4,50,3,1.37,0.97,2.34,1.26,2.24,,-9999
Opponent Total,,,27.5,38,,3420,38.0,,,,,,,,,,,,,,,-9999
